timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/07/16 19:16:54.746, 0, 0, 11178, 2, 11176, 40, 79.59, P0
2020/07/16 19:16:54.749, 0, 0, 11176, 18, 11158, 39, 80.31, P0
2020/07/16 19:16:55.751, 0, 0, 11178, 2, 11176, 40, 79.69, P0
2020/07/16 19:16:55.757, 0, 0, 11176, 18, 11158, 39, 80.60, P0
2020/07/16 19:16:56.759, 0, 0, 11178, 2, 11176, 40, 80.16, P0
2020/07/16 19:16:56.761, 0, 0, 11176, 18, 11158, 39, 81.16, P0
2020/07/16 19:16:57.764, 0, 0, 11178, 12, 11166, 40, 80.74, P0
2020/07/16 19:16:57.766, 0, 0, 11176, 29, 11147, 39, 81.57, P0
2020/07/16 19:16:58.768, 0, 0, 11178, 12, 11166, 40, 80.65, P0
2020/07/16 19:16:58.770, 0, 0, 11176, 29, 11147, 39, 81.25, P0
2020/07/16 19:16:59.772, 0, 0, 11178, 12, 11166, 40, 80.06, P0
2020/07/16 19:16:59.774, 0, 0, 11176, 29, 11147, 40, 80.67, P0
2020/07/16 19:17:00.776, 0, 0, 11178, 161, 11017, 41, 76.59, P2
2020/07/16 19:17:00.778, 0, 0, 11176, 29, 11147, 40, 80.50, P0
2020/07/16 19:17:01.785, 2, 0, 11178, 483, 10695, 41, 76.68, P2
2020/07/16 19:17:01.787, 0, 0, 11176, 29, 11147, 40, 80.87, P0
2020/07/16 19:17:02.789, 0, 0, 11178, 1037, 10141, 41, 77.17, P2
2020/07/16 19:17:02.796, 5, 0, 11176, 390, 10786, 40, 78.37, P2
2020/07/16 19:17:03.798, 68, 40, 11178, 11101, 77, 43, 113.67, P2
2020/07/16 19:17:03.804, 72, 42, 11176, 11148, 28, 42, 148.49, P2
