timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/07/16 19:16:25.667, 0, 0, 11178, 2, 11176, 37, 76.88, P0
2020/07/16 19:16:25.670, 5, 1, 11176, 18, 11158, 36, 86.19, P0
2020/07/16 19:16:26.672, 0, 0, 11178, 2, 11176, 37, 79.29, P0
2020/07/16 19:16:26.676, 0, 0, 11176, 18, 11158, 36, 80.01, P0
2020/07/16 19:16:27.682, 0, 0, 11178, 4, 11174, 37, 79.29, P0
2020/07/16 19:16:27.684, 0, 0, 11176, 18, 11158, 36, 80.31, P0
2020/07/16 19:16:28.687, 0, 0, 11178, 12, 11166, 37, 59.95, P0
2020/07/16 19:16:28.689, 0, 0, 11176, 29, 11147, 36, 61.24, P0
2020/07/16 19:16:29.692, 0, 0, 11178, 12, 11166, 37, 60.12, P0
2020/07/16 19:16:29.694, 0, 0, 11176, 29, 11147, 36, 61.14, P0
2020/07/16 19:16:30.697, 0, 0, 11178, 12, 11166, 37, 59.74, P0
2020/07/16 19:16:30.703, 0, 0, 11176, 29, 11147, 36, 60.56, P0
2020/07/16 19:16:31.705, 0, 0, 11178, 12, 11166, 37, 53.27, P2
2020/07/16 19:16:31.707, 0, 0, 11176, 29, 11147, 36, 53.87, P2
2020/07/16 19:16:32.714, 0, 0, 11178, 12, 11166, 37, 53.17, P2
2020/07/16 19:16:32.716, 0, 0, 11176, 29, 11147, 36, 53.97, P2
2020/07/16 19:16:33.719, 0, 0, 11178, 12, 11166, 37, 53.56, P2
2020/07/16 19:16:33.721, 0, 0, 11176, 29, 11147, 36, 54.55, P2
2020/07/16 19:16:34.723, 0, 0, 11178, 12, 11166, 36, 14.94, P5
2020/07/16 19:16:34.726, 0, 0, 11176, 29, 11147, 36, 15.53, P5
2020/07/16 19:16:35.729, 0, 0, 11178, 12, 11166, 36, 15.13, P5
2020/07/16 19:16:35.732, 0, 0, 11176, 29, 11147, 35, 15.53, P5
2020/07/16 19:16:36.736, 0, 0, 11178, 12, 11166, 36, 10.39, P8
2020/07/16 19:16:36.739, 0, 0, 11176, 29, 11147, 35, 10.59, P8
2020/07/16 19:16:37.743, 4, 0, 11178, 243, 10935, 37, 58.22, P2
2020/07/16 19:16:37.745, 0, 0, 11176, 29, 11147, 35, 10.20, P8
2020/07/16 19:16:38.749, 4, 0, 11178, 561, 10617, 37, 58.41, P2
2020/07/16 19:16:38.751, 0, 0, 11176, 29, 11147, 35, 10.59, P8
2020/07/16 19:16:39.754, 0, 0, 11178, 1855, 9323, 38, 67.81, P2
2020/07/16 19:16:39.756, 7, 0, 11176, 358, 10818, 36, 60.17, P2
2020/07/16 19:16:40.758, 98, 25, 11178, 11057, 121, 40, 223.86, P2
2020/07/16 19:16:40.772, 92, 17, 11176, 10688, 488, 38, 194.68, P2
