timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/07/16 21:09:04.351, 1, 0, 11178, 2, 11176, 53, 24.84, P8
2020/07/16 21:09:04.354, 1, 0, 11176, 18, 11158, 61, 17.00, P8
2020/07/16 21:09:05.357, 0, 0, 11178, 2, 11176, 53, 12.82, P8
2020/07/16 21:09:05.361, 0, 0, 11176, 18, 11158, 60, 14.09, P8
2020/07/16 21:09:06.364, 0, 0, 11178, 2, 11176, 53, 12.04, P8
2020/07/16 21:09:06.367, 0, 0, 11176, 18, 11158, 60, 14.86, P8
2020/07/16 21:09:07.371, 0, 0, 11178, 12, 11166, 53, 11.85, P8
2020/07/16 21:09:07.374, 0, 0, 11176, 29, 11147, 60, 15.06, P8
2020/07/16 21:09:08.378, 0, 0, 11178, 12, 11166, 53, 11.85, P8
2020/07/16 21:09:08.381, 0, 0, 11176, 29, 11147, 60, 14.67, P8
2020/07/16 21:09:09.385, 0, 0, 11178, 12, 11166, 53, 12.91, P8
2020/07/16 21:09:09.389, 0, 0, 11176, 29, 11147, 60, 13.80, P8
2020/07/16 21:09:10.392, 4, 0, 11178, 345, 10833, 54, 62.78, P2
2020/07/16 21:09:10.398, 0, 0, 11176, 29, 11147, 60, 13.70, P8
2020/07/16 21:09:11.402, 2, 0, 11178, 609, 10569, 54, 62.01, P2
2020/07/16 21:09:11.404, 0, 0, 11176, 29, 11147, 60, 14.28, P8
2020/07/16 21:09:12.408, 0, 0, 11178, 609, 10569, 54, 61.53, P2
2020/07/16 21:09:12.410, 0, 0, 11176, 29, 11147, 60, 14.86, P8
2020/07/16 21:09:13.413, 0, 0, 11178, 609, 10569, 54, 61.24, P2
2020/07/16 21:09:13.415, 0, 0, 11176, 29, 11147, 60, 14.86, P8
2020/07/16 21:09:14.419, 0, 0, 11178, 609, 10569, 54, 61.82, P2
2020/07/16 21:09:14.426, 0, 0, 11176, 29, 11147, 60, 14.08, P8
2020/07/16 21:09:15.429, 0, 0, 11178, 609, 10569, 54, 62.40, P2
2020/07/16 21:09:15.431, 0, 0, 11176, 29, 11147, 59, 13.60, P8
2020/07/16 21:09:16.434, 0, 0, 11178, 609, 10569, 54, 62.49, P2
2020/07/16 21:09:16.437, 0, 0, 11176, 29, 11147, 59, 13.99, P8
2020/07/16 21:09:17.440, 0, 0, 11178, 609, 10569, 54, 61.91, P2
2020/07/16 21:09:17.442, 0, 0, 11176, 29, 11147, 59, 14.86, P8
2020/07/16 21:09:18.446, 0, 0, 11178, 609, 10569, 54, 61.33, P2
2020/07/16 21:09:18.453, 0, 0, 11176, 29, 11147, 59, 15.44, P8
2020/07/16 21:09:19.457, 0, 0, 11178, 609, 10569, 54, 61.43, P2
2020/07/16 21:09:19.459, 0, 0, 11176, 29, 11147, 59, 15.15, P8
2020/07/16 21:09:20.462, 0, 0, 11178, 609, 10569, 54, 62.01, P2
2020/07/16 21:09:20.464, 0, 0, 11176, 29, 11147, 59, 14.66, P8
2020/07/16 21:09:21.468, 0, 0, 11178, 609, 10569, 54, 62.49, P2
2020/07/16 21:09:21.470, 0, 0, 11176, 29, 11147, 59, 14.08, P8
2020/07/16 21:09:22.473, 0, 0, 11178, 609, 10569, 54, 62.30, P2
2020/07/16 21:09:22.475, 0, 0, 11176, 29, 11147, 59, 14.18, P8
2020/07/16 21:09:23.479, 0, 0, 11178, 609, 10569, 54, 61.72, P2
2020/07/16 21:09:23.483, 0, 0, 11176, 29, 11147, 59, 14.77, P8
2020/07/16 21:09:24.486, 0, 0, 11178, 609, 10569, 54, 61.33, P2
2020/07/16 21:09:24.489, 0, 0, 11176, 29, 11147, 59, 14.77, P8
2020/07/16 21:09:25.492, 0, 0, 11178, 609, 10569, 54, 61.62, P2
2020/07/16 21:09:25.494, 0, 0, 11176, 29, 11147, 59, 14.18, P8
2020/07/16 21:09:26.497, 0, 0, 11178, 609, 10569, 54, 62.20, P2
2020/07/16 21:09:26.499, 0, 0, 11176, 29, 11147, 59, 13.70, P8
2020/07/16 21:09:27.503, 0, 0, 11178, 609, 10569, 54, 62.49, P2
2020/07/16 21:09:27.505, 0, 0, 11176, 29, 11147, 58, 13.50, P8
2020/07/16 21:09:28.508, 0, 0, 11178, 609, 10569, 53, 56.30, P2
2020/07/16 21:09:28.517, 0, 0, 11176, 29, 11147, 58, 14.08, P8
2020/07/16 21:09:29.520, 0, 0, 11178, 609, 10569, 53, 55.72, P2
2020/07/16 21:09:29.522, 0, 0, 11176, 29, 11147, 58, 14.67, P8
2020/07/16 21:09:30.526, 0, 0, 11178, 609, 10569, 53, 15.92, P5
2020/07/16 21:09:30.529, 0, 0, 11176, 29, 11147, 58, 14.57, P8
2020/07/16 21:09:31.532, 0, 0, 11178, 609, 10569, 53, 16.21, P5
2020/07/16 21:09:31.535, 0, 0, 11176, 29, 11147, 58, 13.89, P8
2020/07/16 21:09:32.539, 0, 0, 11178, 609, 10569, 53, 16.60, P5
2020/07/16 21:09:32.542, 0, 0, 11176, 29, 11147, 58, 13.41, P8
2020/07/16 21:09:33.545, 0, 0, 11178, 609, 10569, 52, 12.52, P8
2020/07/16 21:09:33.548, 0, 0, 11176, 29, 11147, 58, 13.60, P8
2020/07/16 21:09:34.552, 0, 0, 11178, 609, 10569, 52, 12.23, P8
2020/07/16 21:09:34.555, 0, 0, 11176, 29, 11147, 58, 14.28, P8
2020/07/16 21:09:35.559, 0, 0, 11178, 609, 10569, 52, 11.75, P8
2020/07/16 21:09:35.562, 0, 0, 11176, 29, 11147, 58, 14.67, P8
2020/07/16 21:09:36.566, 0, 0, 11178, 609, 10569, 52, 11.65, P8
2020/07/16 21:09:36.569, 0, 0, 11176, 29, 11147, 58, 14.28, P8
2020/07/16 21:09:37.572, 0, 0, 11178, 609, 10569, 52, 12.14, P8
2020/07/16 21:09:37.576, 0, 0, 11176, 29, 11147, 58, 13.60, P8
2020/07/16 21:09:38.579, 0, 0, 11178, 609, 10569, 52, 12.72, P8
2020/07/16 21:09:38.582, 0, 0, 11176, 29, 11147, 58, 13.31, P8
2020/07/16 21:09:39.586, 0, 0, 11178, 609, 10569, 52, 12.62, P8
2020/07/16 21:09:39.589, 0, 0, 11176, 29, 11147, 58, 13.70, P8
2020/07/16 21:09:40.593, 0, 0, 11178, 609, 10569, 52, 11.94, P8
2020/07/16 21:09:40.596, 0, 0, 11176, 29, 11147, 58, 14.18, P8
2020/07/16 21:09:41.599, 0, 0, 11178, 609, 10569, 52, 11.46, P8
2020/07/16 21:09:41.603, 0, 0, 11176, 29, 11147, 58, 14.38, P8
2020/07/16 21:09:42.606, 0, 0, 11178, 609, 10569, 52, 11.85, P8
2020/07/16 21:09:42.610, 0, 0, 11176, 29, 11147, 57, 14.28, P8
2020/07/16 21:09:43.613, 0, 0, 11178, 609, 10569, 52, 12.23, P8
2020/07/16 21:09:43.616, 0, 0, 11176, 29, 11147, 57, 13.41, P8
2020/07/16 21:09:44.620, 0, 0, 11178, 609, 10569, 51, 12.43, P8
2020/07/16 21:09:44.623, 0, 0, 11176, 29, 11147, 57, 13.79, P8
2020/07/16 21:09:45.627, 0, 0, 11178, 609, 10569, 51, 12.14, P8
2020/07/16 21:09:45.631, 0, 0, 11176, 29, 11147, 57, 14.18, P8
2020/07/16 21:09:46.634, 0, 0, 11178, 609, 10569, 51, 11.65, P8
2020/07/16 21:09:46.637, 0, 0, 11176, 29, 11147, 57, 14.57, P8
2020/07/16 21:09:47.641, 0, 0, 11178, 609, 10569, 51, 11.46, P8
2020/07/16 21:09:47.644, 0, 0, 11176, 29, 11147, 57, 14.48, P8
2020/07/16 21:09:48.648, 0, 0, 11178, 609, 10569, 51, 12.04, P8
2020/07/16 21:09:48.652, 0, 0, 11176, 29, 11147, 57, 13.89, P8
2020/07/16 21:09:49.656, 0, 0, 11178, 609, 10569, 51, 12.82, P8
2020/07/16 21:09:49.659, 0, 0, 11176, 29, 11147, 57, 13.41, P8
2020/07/16 21:09:50.663, 0, 0, 11178, 609, 10569, 51, 12.82, P8
2020/07/16 21:09:50.666, 0, 0, 11176, 29, 11147, 57, 13.31, P8
2020/07/16 21:09:51.670, 0, 0, 11178, 609, 10569, 51, 12.62, P8
2020/07/16 21:09:51.673, 0, 0, 11176, 29, 11147, 57, 14.28, P8
2020/07/16 21:09:52.676, 0, 0, 11178, 609, 10569, 51, 11.55, P8
2020/07/16 21:09:52.680, 0, 0, 11176, 29, 11147, 57, 14.38, P8
2020/07/16 21:09:53.683, 0, 0, 11178, 609, 10569, 51, 11.55, P8
2020/07/16 21:09:53.686, 0, 0, 11176, 29, 11147, 57, 14.67, P8
2020/07/16 21:09:54.690, 0, 0, 11178, 609, 10569, 51, 12.04, P8
2020/07/16 21:09:54.693, 0, 0, 11176, 29, 11147, 57, 14.09, P8
2020/07/16 21:09:55.696, 0, 0, 11178, 609, 10569, 51, 12.43, P8
2020/07/16 21:09:55.700, 0, 0, 11176, 29, 11147, 57, 13.70, P8
2020/07/16 21:09:56.703, 0, 0, 11178, 609, 10569, 50, 12.23, P8
2020/07/16 21:09:56.706, 0, 0, 11176, 29, 11147, 57, 14.38, P8
2020/07/16 21:09:57.710, 0, 0, 11178, 609, 10569, 50, 11.65, P8
2020/07/16 21:09:57.713, 0, 0, 11176, 29, 11147, 56, 14.67, P8
2020/07/16 21:09:58.717, 0, 0, 11178, 609, 10569, 50, 11.26, P8
2020/07/16 21:09:58.720, 0, 0, 11176, 29, 11147, 56, 14.38, P8
2020/07/16 21:09:59.723, 0, 0, 11178, 609, 10569, 50, 11.65, P8
2020/07/16 21:09:59.727, 0, 0, 11176, 29, 11147, 56, 13.89, P8
2020/07/16 21:10:00.730, 0, 0, 11178, 609, 10569, 50, 12.04, P8
