timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/07/16 21:37:45.712, 7, 3, 11178, 2, 11176, 51, 24.64, P8
2020/07/16 21:37:45.715, 1, 0, 11176, 18, 11158, 61, 22.04, P8
2020/07/16 21:37:46.719, 0, 0, 11178, 2, 11176, 51, 12.14, P8
2020/07/16 21:37:46.722, 0, 0, 11176, 18, 11158, 61, 14.38, P8
2020/07/16 21:37:47.725, 0, 0, 11178, 2, 11176, 51, 11.55, P8
2020/07/16 21:37:47.729, 0, 0, 11176, 18, 11158, 60, 14.96, P8
2020/07/16 21:37:48.732, 0, 0, 11178, 12, 11166, 51, 11.26, P8
2020/07/16 21:37:48.736, 0, 0, 11176, 29, 11147, 60, 15.25, P8
2020/07/16 21:37:49.739, 0, 0, 11178, 12, 11166, 51, 11.94, P8
2020/07/16 21:37:49.743, 0, 0, 11176, 29, 11147, 60, 14.77, P8
2020/07/16 21:37:50.746, 0, 0, 11178, 12, 11166, 51, 15.63, P8
2020/07/16 21:37:50.754, 0, 0, 11176, 29, 11147, 60, 14.38, P8
2020/07/16 21:37:51.762, 0, 0, 11178, 12, 11166, 51, 14.37, P8
2020/07/16 21:37:51.766, 0, 0, 11176, 29, 11147, 60, 13.99, P8
2020/07/16 21:37:52.769, 0, 0, 11178, 12, 11166, 51, 13.11, P8
2020/07/16 21:37:52.773, 0, 0, 11176, 29, 11147, 60, 14.48, P8
2020/07/16 21:37:53.776, 7, 0, 11178, 425, 10753, 51, 60.85, P2
2020/07/16 21:37:53.783, 0, 0, 11176, 29, 11147, 60, 15.25, P8
2020/07/16 21:37:54.787, 0, 0, 11178, 685, 10493, 51, 61.04, P2
2020/07/16 21:37:54.789, 0, 0, 11176, 29, 11147, 60, 15.05, P8
2020/07/16 21:37:55.793, 0, 0, 11178, 685, 10493, 51, 61.62, P2
2020/07/16 21:37:55.795, 0, 0, 11176, 29, 11147, 59, 14.57, P8
2020/07/16 21:37:56.798, 0, 0, 11178, 685, 10493, 51, 62.11, P2
2020/07/16 21:37:56.800, 0, 0, 11176, 29, 11147, 59, 13.99, P8
