timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/07/15 18:10:48.221, 0, 0, 11178, 4669, 6509, 56, 62.39, P2
2020/07/15 18:10:48.224, 0, 0, 11176, 3120, 8056, 57, 64.95, P2
2020/07/15 18:10:49.226, 0, 0, 11178, 4669, 6509, 56, 62.00, P2
2020/07/15 18:10:49.228, 0, 0, 11176, 3120, 8056, 57, 64.45, P2
2020/07/15 18:10:50.230, 0, 0, 11178, 4669, 6509, 56, 61.31, P2
2020/07/15 18:10:50.236, 0, 0, 11176, 3120, 8056, 57, 63.89, P2
2020/07/15 18:10:51.244, 0, 0, 11178, 4669, 6509, 56, 61.22, P2
2020/07/15 18:10:51.246, 0, 0, 11176, 3120, 8056, 57, 63.79, P2
2020/07/15 18:10:52.248, 0, 0, 11178, 4669, 6509, 56, 61.71, P2
2020/07/15 18:10:52.250, 0, 0, 11176, 3120, 8056, 57, 64.28, P2
2020/07/15 18:10:53.253, 0, 0, 11178, 4824, 6354, 56, 62.58, P2
2020/07/15 18:10:53.255, 0, 0, 11176, 3120, 8056, 57, 64.94, P2
2020/07/15 18:10:54.257, 4, 0, 11178, 5122, 6056, 56, 62.38, P2
2020/07/15 18:10:54.263, 0, 0, 11176, 3120, 8056, 57, 64.94, P2
2020/07/15 18:10:55.271, 0, 0, 11178, 5240, 5938, 56, 62.87, P2
2020/07/15 18:10:55.273, 0, 0, 11176, 3120, 8056, 57, 64.36, P2
2020/07/15 18:10:56.275, 0, 0, 11178, 5240, 5938, 56, 61.42, P2
2020/07/15 18:10:56.277, 0, 0, 11176, 3120, 8056, 57, 63.79, P2
2020/07/15 18:10:57.279, 0, 0, 11178, 5240, 5938, 56, 61.31, P2
2020/07/15 18:10:57.281, 0, 0, 11176, 3120, 8056, 57, 63.87, P2
2020/07/15 18:10:58.283, 0, 0, 11178, 5240, 5938, 56, 61.90, P2
2020/07/15 18:10:58.290, 0, 0, 11176, 3120, 8056, 57, 64.47, P2
2020/07/15 18:10:59.292, 0, 0, 11178, 5240, 5938, 56, 62.39, P2
2020/07/15 18:10:59.294, 0, 0, 11176, 3120, 8056, 57, 64.94, P2
2020/07/15 18:11:00.299, 0, 0, 11178, 5240, 5938, 56, 62.18, P2
2020/07/15 18:11:00.302, 0, 0, 11176, 3120, 8056, 57, 64.74, P2
2020/07/15 18:11:01.304, 0, 0, 11178, 5240, 5938, 56, 61.71, P2
2020/07/15 18:11:01.306, 0, 0, 11176, 3120, 8056, 57, 64.16, P2
2020/07/15 18:11:02.308, 0, 0, 11178, 5240, 5938, 56, 61.32, P2
2020/07/15 18:11:02.310, 0, 0, 11176, 3120, 8056, 57, 63.78, P2
2020/07/15 18:11:03.312, 0, 0, 11178, 5240, 5938, 56, 61.61, P2
2020/07/15 18:11:03.320, 0, 0, 11176, 3120, 8056, 57, 64.07, P2
2020/07/15 18:11:04.326, 0, 0, 11178, 5240, 5938, 56, 62.19, P2
2020/07/15 18:11:04.328, 0, 0, 11176, 3120, 8056, 57, 64.66, P2
2020/07/15 18:11:05.330, 0, 0, 11178, 5240, 5938, 56, 62.47, P2
2020/07/15 18:11:05.332, 0, 0, 11176, 3120, 8056, 57, 64.94, P2
2020/07/15 18:11:06.334, 0, 0, 11178, 5240, 5938, 56, 62.08, P2
2020/07/15 18:11:06.337, 0, 0, 11176, 3120, 8056, 57, 64.55, P2
2020/07/15 18:11:07.339, 0, 0, 11178, 5240, 5938, 56, 61.52, P2
2020/07/15 18:11:07.341, 0, 0, 11176, 3120, 8056, 57, 63.97, P2
2020/07/15 18:11:08.343, 0, 0, 11178, 5240, 5938, 56, 61.32, P2
2020/07/15 18:11:08.349, 0, 0, 11176, 3120, 8056, 57, 63.87, P2
2020/07/15 18:11:09.355, 0, 0, 11178, 5240, 5938, 56, 61.71, P2
2020/07/15 18:11:09.357, 0, 0, 11176, 3120, 8056, 57, 64.36, P2
2020/07/15 18:11:10.359, 0, 0, 11178, 5240, 5938, 56, 62.39, P2
2020/07/15 18:11:10.362, 0, 0, 11176, 3120, 8056, 57, 64.84, P2
2020/07/15 18:11:11.364, 0, 0, 11178, 5240, 5938, 56, 62.47, P2
2020/07/15 18:11:11.366, 0, 0, 11176, 3120, 8056, 57, 64.94, P2
2020/07/15 18:11:12.368, 0, 0, 11178, 5240, 5938, 56, 62.00, P2
2020/07/15 18:11:12.370, 0, 0, 11176, 3120, 8056, 57, 64.37, P2
2020/07/15 18:11:13.372, 0, 0, 11178, 5240, 5938, 56, 61.42, P2
2020/07/15 18:11:13.378, 0, 0, 11176, 3120, 8056, 57, 63.78, P2
2020/07/15 18:11:14.385, 0, 0, 11178, 5240, 5938, 56, 61.42, P2
2020/07/15 18:11:14.387, 0, 0, 11176, 3120, 8056, 57, 63.99, P2
2020/07/15 18:11:15.389, 0, 0, 11178, 5242, 5936, 56, 62.00, P2
2020/07/15 18:11:15.392, 5, 0, 11176, 3529, 7647, 57, 64.66, P2
2020/07/15 18:11:16.394, 50, 23, 11178, 5586, 5592, 57, 137.09, P2
2020/07/15 18:11:16.396, 46, 21, 11176, 3957, 7219, 58, 117.08, P2
2020/07/15 18:11:17.398, 48, 22, 11178, 5586, 5592, 58, 111.59, P2
2020/07/15 18:11:17.401, 43, 19, 11176, 3957, 7219, 59, 120.81, P2
2020/07/15 18:11:18.403, 51, 24, 11178, 5586, 5592, 58, 128.59, P2
2020/07/15 18:11:18.405, 43, 18, 11176, 3957, 7219, 59, 120.50, P2
2020/07/15 18:11:19.407, 51, 23, 11178, 5586, 5592, 59, 135.14, P2
2020/07/15 18:11:19.415, 46, 20, 11176, 3957, 7219, 59, 123.44, P2
2020/07/15 18:11:20.417, 46, 21, 11178, 5586, 5592, 58, 131.18, P2
2020/07/15 18:11:20.419, 42, 18, 11176, 3957, 7219, 59, 122.67, P2
2020/07/15 18:11:21.421, 50, 23, 11178, 5586, 5592, 59, 162.67, P2
2020/07/15 18:11:21.423, 45, 20, 11176, 3957, 7219, 59, 158.83, P2
2020/07/15 18:11:22.425, 43, 19, 11178, 5586, 5592, 59, 100.69, P2
2020/07/15 18:11:22.427, 38, 16, 11176, 3957, 7219, 60, 95.81, P2
2020/07/15 18:11:23.429, 42, 19, 11178, 5586, 5592, 59, 120.10, P2
2020/07/15 18:11:23.431, 40, 18, 11176, 3957, 7219, 60, 110.31, P2
2020/07/15 18:11:24.433, 40, 18, 11178, 5586, 5592, 59, 127.48, P2
2020/07/15 18:11:24.436, 36, 15, 11176, 3957, 7219, 60, 119.35, P2
2020/07/15 18:11:25.438, 45, 21, 11178, 5586, 5592, 59, 129.50, P2
2020/07/15 18:11:25.440, 36, 15, 11176, 3957, 7219, 60, 151.24, P2
2020/07/15 18:11:26.446, 44, 20, 11178, 5586, 5592, 59, 111.77, P2
2020/07/15 18:11:26.450, 41, 18, 11176, 3957, 7219, 60, 104.24, P2
2020/07/15 18:11:27.452, 47, 21, 11178, 5586, 5592, 59, 135.99, P2
2020/07/15 18:11:27.454, 43, 18, 11176, 3957, 7219, 60, 142.69, P2
2020/07/15 18:11:28.457, 42, 19, 11178, 5586, 5592, 59, 126.57, P2
2020/07/15 18:11:28.459, 34, 15, 11176, 3957, 7219, 60, 113.18, P2
2020/07/15 18:11:29.461, 42, 19, 11178, 5586, 5592, 59, 129.05, P2
2020/07/15 18:11:29.463, 39, 17, 11176, 3957, 7219, 60, 119.67, P2
2020/07/15 18:11:30.465, 46, 21, 11178, 5586, 5592, 59, 143.04, P2
2020/07/15 18:11:30.469, 40, 17, 11176, 3957, 7219, 60, 115.50, P2
2020/07/15 18:11:31.475, 45, 21, 11178, 5586, 5592, 59, 136.07, P2
2020/07/15 18:11:31.478, 36, 15, 11176, 3957, 7219, 61, 125.82, P2
2020/07/15 18:11:32.480, 44, 19, 11178, 5586, 5592, 59, 137.72, P2
2020/07/15 18:11:32.482, 35, 15, 11176, 3957, 7219, 61, 128.67, P2
2020/07/15 18:11:33.484, 54, 24, 11178, 5586, 5592, 59, 122.42, P2
2020/07/15 18:11:33.489, 46, 20, 11176, 3957, 7219, 61, 111.45, P2
2020/07/15 18:11:34.491, 41, 19, 11178, 5586, 5592, 59, 131.66, P2
2020/07/15 18:11:34.493, 36, 15, 11176, 3957, 7219, 61, 116.47, P2
2020/07/15 18:11:35.495, 50, 22, 11178, 5586, 5592, 59, 139.46, P2
2020/07/15 18:11:35.497, 43, 18, 11176, 3957, 7219, 61, 130.90, P2
2020/07/15 18:11:36.500, 45, 21, 11178, 5586, 5592, 59, 116.97, P2
2020/07/15 18:11:36.502, 37, 16, 11176, 3957, 7219, 61, 100.85, P2
2020/07/15 18:11:37.509, 45, 20, 11178, 5586, 5592, 59, 108.19, P2
2020/07/15 18:11:37.511, 35, 15, 11176, 3957, 7219, 61, 100.63, P2
2020/07/15 18:11:38.513, 46, 20, 11178, 5586, 5592, 60, 143.15, P2
2020/07/15 18:11:38.520, 44, 19, 11176, 3957, 7219, 62, 148.26, P2
2020/07/15 18:11:39.522, 52, 24, 11178, 5586, 5592, 60, 131.32, P2
2020/07/15 18:11:39.524, 40, 17, 11176, 3957, 7219, 62, 124.41, P2
2020/07/15 18:11:40.526, 50, 23, 11178, 5586, 5592, 59, 152.79, P2
2020/07/15 18:11:40.528, 40, 17, 11176, 3957, 7219, 62, 158.87, P2
2020/07/15 18:11:41.530, 48, 22, 11178, 5586, 5592, 60, 146.37, P2
