timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/07/16 20:50:48.076, 10, 1, 11178, 2, 11176, 72, 94.42, P0
2020/07/16 20:50:48.082, 37, 4, 11176, 18, 11158, 83, 104.85, P0
2020/07/16 20:50:49.084, 0, 0, 11178, 2, 11176, 71, 89.50, P0
2020/07/16 20:50:49.086, 0, 0, 11176, 18, 11158, 83, 98.66, P0
2020/07/16 20:50:50.089, 0, 0, 11178, 4, 11174, 71, 89.30, P0
2020/07/16 20:50:50.096, 0, 0, 11176, 18, 11158, 82, 98.76, P0
2020/07/16 20:50:51.102, 0, 0, 11178, 12, 11166, 70, 66.56, P0
2020/07/16 20:50:51.104, 0, 0, 11176, 29, 11147, 82, 74.17, P0
2020/07/16 20:50:52.107, 0, 0, 11178, 12, 11166, 70, 65.69, P0
2020/07/16 20:50:52.109, 0, 0, 11176, 29, 11147, 81, 73.88, P0
2020/07/16 20:50:53.111, 2, 0, 11178, 187, 10991, 69, 66.17, P2
2020/07/16 20:50:53.113, 0, 0, 11176, 29, 11147, 81, 73.21, P0
2020/07/16 20:50:54.116, 6, 0, 11178, 503, 10675, 69, 66.65, P2
2020/07/16 20:50:54.123, 0, 0, 11176, 29, 11147, 81, 65.93, P2
2020/07/16 20:50:55.125, 0, 0, 11178, 857, 10321, 69, 67.13, P2
2020/07/16 20:50:55.128, 6, 0, 11176, 388, 10788, 81, 74.37, P2
2020/07/16 20:50:56.130, 89, 36, 11178, 4839, 6339, 70, 207.74, P2
2020/07/16 20:50:56.135, 78, 25, 11176, 3416, 7760, 82, 219.67, P2
2020/07/16 20:50:57.137, 98, 40, 11178, 4839, 6339, 72, 256.33, P2
2020/07/16 20:50:57.140, 86, 22, 11176, 3416, 7760, 83, 281.86, P2
2020/07/16 20:50:58.144, 82, 34, 11178, 4839, 6339, 72, 122.82, P2
2020/07/16 20:50:58.166, 91, 28, 11176, 3416, 7760, 83, 109.78, P2
2020/07/16 20:50:59.176, 84, 38, 11178, 4839, 6339, 72, 109.10, P2
2020/07/16 20:50:59.178, 99, 34, 11176, 3416, 7760, 83, 98.28, P2
2020/07/16 20:51:00.180, 84, 35, 11178, 4839, 6339, 72, 247.52, P2
2020/07/16 20:51:00.183, 86, 27, 11176, 3416, 7760, 83, 183.88, P2
