timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/07/16 19:32:04.004, 29, 3, 11178, 2, 11176, 47, 88.68, P0
2020/07/16 19:32:04.006, 9, 1, 11176, 18, 11158, 47, 87.86, P0
2020/07/16 19:32:05.012, 0, 0, 11178, 2, 11176, 47, 82.00, P0
2020/07/16 19:32:05.014, 0, 0, 11176, 18, 11158, 47, 83.02, P0
2020/07/16 19:32:06.016, 0, 0, 11178, 2, 11176, 47, 81.03, P0
2020/07/16 19:32:06.018, 0, 0, 11176, 18, 11158, 47, 82.44, P0
2020/07/16 19:32:07.020, 0, 0, 11178, 12, 11166, 47, 81.16, P0
2020/07/16 19:32:07.023, 0, 0, 11176, 29, 11147, 47, 82.63, P0
2020/07/16 19:32:08.025, 0, 0, 11178, 12, 11166, 47, 81.82, P0
2020/07/16 19:32:08.031, 0, 0, 11176, 29, 11147, 47, 83.33, P0
2020/07/16 19:32:09.038, 0, 0, 11178, 12, 11166, 47, 82.19, P0
2020/07/16 19:32:09.040, 0, 0, 11176, 29, 11147, 47, 83.60, P0
2020/07/16 19:32:10.042, 0, 0, 11178, 12, 11166, 47, 82.02, P0
2020/07/16 19:32:10.045, 0, 0, 11176, 29, 11147, 47, 83.40, P0
2020/07/16 19:32:11.047, 0, 0, 11178, 12, 11166, 47, 81.52, P0
2020/07/16 19:32:11.049, 0, 0, 11176, 29, 11147, 47, 82.73, P0
2020/07/16 19:32:12.051, 0, 0, 11178, 12, 11166, 47, 81.22, P0
2020/07/16 19:32:12.053, 0, 0, 11176, 29, 11147, 48, 82.53, P0
2020/07/16 19:32:13.055, 0, 0, 11178, 12, 11166, 47, 81.52, P0
2020/07/16 19:32:13.057, 0, 0, 11176, 29, 11147, 48, 83.02, P0
2020/07/16 19:32:14.059, 4, 0, 11178, 331, 10847, 48, 78.72, P2
2020/07/16 19:32:14.062, 0, 0, 11176, 29, 11147, 48, 83.60, P0
2020/07/16 19:32:15.068, 17, 1, 11178, 915, 10263, 48, 79.11, P2
2020/07/16 19:32:15.077, 0, 0, 11176, 164, 11012, 48, 82.73, P2
2020/07/16 19:32:16.079, 0, 0, 11178, 915, 10263, 48, 78.63, P2
2020/07/16 19:32:16.081, 4, 0, 11176, 528, 10648, 48, 80.02, P2
2020/07/16 19:32:17.083, 0, 0, 11178, 10305, 873, 48, 68.10, P2
2020/07/16 19:32:17.085, 0, 0, 11176, 10318, 858, 48, 71.12, P2
