timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/07/16 19:18:16.956, 0, 0, 11178, 2, 11176, 47, 88.58, P0
2020/07/16 19:18:16.963, 0, 0, 11176, 18, 11158, 46, 83.79, P0
2020/07/16 19:18:17.965, 0, 0, 11178, 2, 11176, 47, 82.68, P0
2020/07/16 19:18:17.967, 0, 0, 11176, 18, 11158, 46, 83.03, P0
2020/07/16 19:18:18.969, 0, 0, 11178, 4, 11174, 47, 81.90, P0
2020/07/16 19:18:18.972, 0, 0, 11176, 18, 11158, 46, 82.71, P0
2020/07/16 19:18:19.984, 0, 0, 11178, 12, 11166, 47, 60.23, P0
2020/07/16 19:18:19.986, 0, 0, 11176, 29, 11147, 46, 61.26, P0
2020/07/16 19:18:20.988, 0, 0, 11178, 12, 11166, 46, 60.05, P0
2020/07/16 19:18:20.994, 0, 0, 11176, 29, 11147, 46, 61.24, P0
2020/07/16 19:18:21.996, 0, 0, 11178, 12, 11166, 46, 60.54, P0
2020/07/16 19:18:21.998, 0, 0, 11176, 29, 11147, 46, 61.82, P0
2020/07/16 19:18:23.000, 0, 0, 11178, 12, 11166, 46, 55.31, P2
2020/07/16 19:18:23.002, 0, 0, 11176, 29, 11147, 45, 55.81, P2
2020/07/16 19:18:24.005, 0, 0, 11178, 12, 11166, 46, 55.21, P2
2020/07/16 19:18:24.007, 0, 0, 11176, 29, 11147, 46, 55.62, P2
2020/07/16 19:18:25.013, 0, 0, 11178, 12, 11166, 46, 54.72, P2
2020/07/16 19:18:25.015, 0, 0, 11176, 29, 11147, 46, 54.93, P2
2020/07/16 19:18:26.018, 0, 0, 11178, 12, 11166, 46, 14.56, P5
2020/07/16 19:18:26.021, 0, 0, 11176, 29, 11147, 45, 15.34, P5
2020/07/16 19:18:27.024, 0, 0, 11178, 12, 11166, 46, 14.55, P5
2020/07/16 19:18:27.027, 0, 0, 11176, 29, 11147, 45, 15.63, P5
2020/07/16 19:18:28.031, 0, 0, 11178, 12, 11166, 46, 10.97, P8
2020/07/16 19:18:28.034, 0, 0, 11176, 29, 11147, 45, 12.04, P8
2020/07/16 19:18:29.037, 0, 0, 11178, 12, 11166, 46, 11.74, P8
2020/07/16 19:18:29.041, 0, 0, 11176, 29, 11147, 45, 12.24, P8
2020/07/16 19:18:30.044, 0, 0, 11178, 12, 11166, 46, 11.45, P8
2020/07/16 19:18:30.048, 0, 0, 11176, 29, 11147, 45, 11.85, P8
2020/07/16 19:18:31.051, 0, 0, 11178, 12, 11166, 46, 10.68, P8
2020/07/16 19:18:31.055, 0, 0, 11176, 29, 11147, 45, 10.98, P8
2020/07/16 19:18:32.058, 0, 0, 11178, 12, 11166, 46, 10.39, P8
2020/07/16 19:18:32.062, 0, 0, 11176, 29, 11147, 45, 10.98, P8
2020/07/16 19:18:33.065, 0, 0, 11178, 12, 11166, 46, 10.77, P8
2020/07/16 19:18:33.068, 0, 0, 11176, 29, 11147, 45, 11.46, P8
2020/07/16 19:18:34.072, 0, 0, 11178, 12, 11166, 45, 11.16, P8
2020/07/16 19:18:34.075, 0, 0, 11176, 29, 11147, 45, 12.14, P8
2020/07/16 19:18:35.079, 0, 0, 11178, 12, 11166, 45, 11.55, P8
2020/07/16 19:18:35.082, 0, 0, 11176, 29, 11147, 45, 12.62, P8
2020/07/16 19:18:36.086, 0, 0, 11178, 12, 11166, 45, 11.26, P8
2020/07/16 19:18:36.089, 0, 0, 11176, 29, 11147, 45, 11.65, P8
2020/07/16 19:18:37.093, 0, 0, 11178, 12, 11166, 45, 10.19, P8
2020/07/16 19:18:37.096, 0, 0, 11176, 29, 11147, 45, 11.36, P8
2020/07/16 19:18:38.100, 0, 0, 11178, 12, 11166, 45, 10.39, P8
2020/07/16 19:18:38.103, 0, 0, 11176, 29, 11147, 45, 11.65, P8
2020/07/16 19:18:39.106, 0, 0, 11178, 12, 11166, 45, 10.77, P8
2020/07/16 19:18:39.110, 0, 0, 11176, 29, 11147, 45, 11.94, P8
2020/07/16 19:18:40.113, 0, 0, 11178, 12, 11166, 45, 11.45, P8
2020/07/16 19:18:40.117, 0, 0, 11176, 29, 11147, 45, 12.33, P8
2020/07/16 19:18:41.120, 3, 0, 11178, 233, 10945, 46, 60.44, P2
2020/07/16 19:18:41.122, 0, 0, 11176, 29, 11147, 45, 11.95, P8
2020/07/16 19:18:42.126, 4, 0, 11178, 529, 10649, 46, 60.06, P2
2020/07/16 19:18:42.128, 0, 0, 11176, 29, 11147, 45, 11.46, P8
2020/07/16 19:18:43.131, 0, 0, 11178, 3703, 7475, 47, 77.67, P2
2020/07/16 19:18:43.133, 6, 0, 11176, 274, 10902, 45, 60.56, P2
2020/07/16 19:18:44.139, 0, 0, 11178, 3705, 7473, 47, 77.85, P2
2020/07/16 19:18:44.141, 4, 0, 11176, 832, 10344, 45, 61.05, P2
2020/07/16 19:18:45.143, 0, 0, 11178, 11071, 107, 48, 78.53, P2
2020/07/16 19:18:45.149, 0, 0, 11176, 11042, 134, 46, 77.01, P2
