timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/07/16 19:17:58.159, 29, 3, 11178, 2, 11176, 45, 85.96, P0
2020/07/16 19:17:58.161, 26, 3, 11176, 18, 11158, 44, 87.73, P0
2020/07/16 19:17:59.164, 0, 0, 11178, 2, 11176, 45, 80.45, P0
2020/07/16 19:17:59.169, 0, 0, 11176, 18, 11158, 44, 82.44, P0
2020/07/16 19:18:00.171, 0, 0, 11178, 2, 11176, 45, 80.74, P0
2020/07/16 19:18:00.179, 0, 0, 11176, 18, 11158, 44, 82.73, P0
2020/07/16 19:18:01.187, 0, 0, 11178, 12, 11166, 45, 80.83, P0
2020/07/16 19:18:01.193, 0, 0, 11176, 29, 11147, 44, 82.44, P0
2020/07/16 19:18:02.195, 0, 0, 11178, 12, 11166, 45, 80.19, P0
2020/07/16 19:18:02.197, 0, 0, 11176, 29, 11147, 44, 82.05, P0
2020/07/16 19:18:03.199, 0, 0, 11178, 12, 11166, 45, 79.78, P0
2020/07/16 19:18:03.202, 0, 0, 11176, 29, 11147, 44, 81.68, P0
2020/07/16 19:18:04.204, 0, 0, 11178, 12, 11166, 45, 79.86, P0
2020/07/16 19:18:04.206, 0, 0, 11176, 29, 11147, 44, 81.95, P0
2020/07/16 19:18:05.208, 0, 0, 11178, 12, 11166, 46, 80.45, P0
2020/07/16 19:18:05.210, 0, 0, 11176, 29, 11147, 45, 82.61, P0
2020/07/16 19:18:06.216, 0, 0, 11178, 12, 11166, 46, 80.94, P0
2020/07/16 19:18:06.221, 0, 0, 11176, 29, 11147, 45, 82.82, P0
2020/07/16 19:18:07.223, 0, 0, 11178, 12, 11166, 46, 80.74, P0
2020/07/16 19:18:07.225, 0, 0, 11176, 29, 11147, 45, 82.53, P0
2020/07/16 19:18:08.227, 0, 0, 11178, 12, 11166, 46, 80.16, P0
2020/07/16 19:18:08.230, 0, 0, 11176, 29, 11147, 45, 81.95, P0
2020/07/16 19:18:09.232, 0, 0, 11178, 12, 11166, 46, 79.77, P0
2020/07/16 19:18:09.234, 0, 0, 11176, 29, 11147, 45, 81.76, P0
2020/07/16 19:18:10.236, 0, 0, 11178, 12, 11166, 46, 81.12, P0
2020/07/16 19:18:10.238, 0, 0, 11176, 29, 11147, 45, 82.34, P0
2020/07/16 19:18:11.244, 0, 0, 11178, 12, 11166, 46, 81.71, P0
2020/07/16 19:18:11.250, 0, 0, 11176, 29, 11147, 45, 82.90, P0
2020/07/16 19:18:12.253, 0, 0, 11178, 12, 11166, 46, 82.10, P0
2020/07/16 19:18:12.255, 0, 0, 11176, 29, 11147, 45, 83.00, P0
2020/07/16 19:18:13.257, 4, 0, 11178, 227, 10951, 47, 78.34, P2
2020/07/16 19:18:13.259, 0, 0, 11176, 29, 11147, 46, 82.42, P0
2020/07/16 19:18:14.261, 4, 0, 11178, 553, 10625, 47, 77.75, P2
2020/07/16 19:18:14.264, 0, 0, 11176, 29, 11147, 46, 82.05, P0
2020/07/16 19:18:15.271, 0, 0, 11178, 1945, 9233, 47, 77.56, P2
2020/07/16 19:18:15.273, 6, 0, 11176, 384, 10792, 46, 78.85, P2
2020/07/16 19:18:16.275, 79, 56, 11178, 10159, 1019, 48, 78.53, P2
2020/07/16 19:18:16.281, 99, 54, 11176, 10310, 866, 47, 74.80, P2
