timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/07/16 20:25:12.502, 49, 5, 11178, 2, 11176, 64, 92.09, P0
2020/07/16 20:25:12.509, 40, 4, 11176, 18, 11158, 77, 101.26, P0
2020/07/16 20:25:13.512, 0, 0, 11178, 2, 11176, 64, 87.56, P0
2020/07/16 20:25:13.514, 0, 0, 11176, 18, 11158, 77, 94.98, P0
2020/07/16 20:25:14.516, 0, 0, 11178, 2, 11176, 64, 87.75, P0
2020/07/16 20:25:14.518, 0, 0, 11176, 18, 11158, 77, 95.17, P0
2020/07/16 20:25:15.520, 0, 0, 11178, 12, 11166, 64, 65.18, P0
2020/07/16 20:25:15.522, 0, 0, 11176, 29, 11147, 77, 95.75, P0
2020/07/16 20:25:16.530, 0, 0, 11178, 12, 11166, 63, 64.41, P0
2020/07/16 20:25:16.536, 0, 0, 11176, 29, 11147, 77, 95.75, P0
2020/07/16 20:25:17.538, 0, 0, 11178, 12, 11166, 63, 63.93, P0
2020/07/16 20:25:17.541, 0, 0, 11176, 29, 11147, 77, 95.17, P0
2020/07/16 20:25:18.543, 0, 0, 11178, 12, 11166, 63, 57.54, P2
2020/07/16 20:25:18.548, 0, 0, 11176, 29, 11147, 77, 94.40, P0
2020/07/16 20:25:19.555, 0, 0, 11178, 12, 11166, 63, 58.32, P2
2020/07/16 20:25:19.557, 0, 0, 11176, 29, 11147, 77, 94.40, P0
2020/07/16 20:25:20.559, 0, 0, 11178, 12, 11166, 62, 58.80, P2
2020/07/16 20:25:20.561, 0, 0, 11176, 29, 11147, 77, 94.98, P0
2020/07/16 20:25:21.564, 0, 0, 11178, 12, 11166, 62, 18.44, P5
2020/07/16 20:25:21.567, 0, 0, 11176, 29, 11147, 77, 95.59, P0
2020/07/16 20:25:22.569, 0, 0, 11178, 12, 11166, 62, 17.76, P5
2020/07/16 20:25:22.572, 0, 0, 11176, 29, 11147, 76, 95.18, P0
2020/07/16 20:25:23.574, 0, 0, 11178, 12, 11166, 61, 13.30, P8
2020/07/16 20:25:23.577, 0, 0, 11176, 29, 11147, 76, 94.50, P0
2020/07/16 20:25:24.585, 0, 0, 11178, 12, 11166, 61, 13.49, P8
2020/07/16 20:25:24.588, 0, 0, 11176, 29, 11147, 76, 94.04, P0
2020/07/16 20:25:25.590, 0, 0, 11178, 12, 11166, 61, 14.08, P8
2020/07/16 20:25:25.594, 0, 0, 11176, 29, 11147, 76, 94.21, P0
2020/07/16 20:25:26.596, 0, 0, 11178, 12, 11166, 61, 14.46, P8
2020/07/16 20:25:26.599, 0, 0, 11176, 29, 11147, 76, 94.69, P0
2020/07/16 20:25:27.601, 0, 0, 11178, 12, 11166, 61, 13.88, P8
2020/07/16 20:25:27.604, 0, 0, 11176, 29, 11147, 76, 95.11, P0
2020/07/16 20:25:28.612, 0, 0, 11178, 12, 11166, 60, 13.78, P8
2020/07/16 20:25:28.616, 0, 0, 11176, 29, 11147, 76, 94.60, P0
2020/07/16 20:25:29.618, 0, 0, 11178, 12, 11166, 60, 12.91, P8
2020/07/16 20:25:29.621, 0, 0, 11176, 29, 11147, 76, 93.92, P0
2020/07/16 20:25:30.624, 0, 0, 11178, 12, 11166, 60, 13.69, P8
2020/07/16 20:25:30.627, 0, 0, 11176, 29, 11147, 76, 93.14, P0
2020/07/16 20:25:31.629, 0, 0, 11178, 12, 11166, 60, 14.47, P8
2020/07/16 20:25:31.633, 0, 0, 11176, 29, 11147, 76, 93.56, P0
2020/07/16 20:25:32.640, 0, 0, 11178, 12, 11166, 60, 14.37, P8
2020/07/16 20:25:32.643, 0, 0, 11176, 29, 11147, 75, 94.04, P0
2020/07/16 20:25:33.645, 0, 0, 11178, 12, 11166, 59, 13.69, P8
2020/07/16 20:25:33.649, 0, 0, 11176, 29, 11147, 76, 94.21, P0
2020/07/16 20:25:34.651, 0, 0, 11178, 12, 11166, 59, 13.01, P8
2020/07/16 20:25:34.654, 0, 0, 11176, 29, 11147, 75, 93.53, P0
2020/07/16 20:25:35.656, 0, 0, 11178, 12, 11166, 59, 12.91, P8
2020/07/16 20:25:35.660, 0, 0, 11176, 29, 11147, 75, 92.88, P0
2020/07/16 20:25:36.667, 0, 0, 11178, 12, 11166, 59, 13.49, P8
2020/07/16 20:25:36.670, 0, 0, 11176, 29, 11147, 75, 92.85, P0
2020/07/16 20:25:37.673, 0, 0, 11178, 12, 11166, 59, 13.97, P8
2020/07/16 20:25:37.676, 0, 0, 11176, 29, 11147, 75, 93.46, P0
2020/07/16 20:25:38.678, 0, 0, 11178, 12, 11166, 59, 13.78, P8
2020/07/16 20:25:38.682, 0, 0, 11176, 29, 11147, 75, 93.92, P0
