, 98, 36, 11178, 7129, 4049, 66, 244.72, P2
2020/07/17 12:06:20.689, 75, 14, 11176, 5282, 5894, 76, 258.48, P2
2020/07/17 12:06:21.695, 98, 48, 11178, 7129, 4049, 66, 191.59, P2
2020/07/17 12:06:21.697, 76, 28, 11176, 5282, 5894, 76, 251.58, P2
2020/07/17 12:06:22.703, 98, 46, 11178, 7129, 4049, 66, 292.85, P2
2020/07/17 12:06:22.711, 99, 46, 11176, 5282, 5894, 76, 177.06, P2
2020/07/17 12:06:23.725, 83, 49, 11178, 7129, 4049, 66, 221.66, P2
2020/07/17 12:06:23.727, 99, 51, 11176, 5282, 5894, 76, 231.43, P2
2020/07/17 12:06:24.729, 83, 52, 11178, 7129, 4049, 66, 109.70, P2
2020/07/17 12:06:24.737, 76, 24, 11176, 5282, 5894, 76, 94.60, P2
2020/07/17 12:06:25.743, 82, 37, 11178, 7129, 4049, 66, 147.04, P2
2020/07/17 12:06:25.747, 91, 39, 11176, 5282, 5894, 76, 95.16, P2
2020/07/17 12:06:26.749, 96, 48, 11178, 7129, 4049, 67, 114.78, P2
2020/07/17 12:06:26.758, 99, 47, 11176, 5282, 5894, 77, 107.76, P2
2020/07/17 12:06:27.776, 83, 53, 11178, 7129, 4049, 66, 250.16, P2
2020/07/17 12:06:27.781, 99, 52, 11176, 5282, 5894, 77, 257.89, P2
2020/07/17 12:06:28.790, 83, 42, 11178, 7129, 4049, 66, 242.49, P2
2020/07/17 12:06:28.792, 97, 34, 11176, 5282, 5894, 77, 256.94, P2
2020/07/17 12:06:29.797, 97, 37, 11178, 7129, 4049, 66, 256.92, P2
2020/07/17 12:06:29.805, 75, 13, 11176, 5282, 5894, 76, 269.63, P2
2020/07/17 12:06:30.817, 98, 47, 11178, 7129, 4049, 66, 139.66, P2
2020/07/17 12:06:30.819, 75, 28, 11176, 5282, 5894, 76, 154.37, P2
2020/07/17 12:06:31.821, 98, 46, 11178, 7129, 4049, 66, 157.46, P2
2020/07/17 12:06:31.823, 99, 45, 11176, 5282, 5894, 76, 92.74, P2
2020/07/17 12:06:32.827, 82, 51, 11178, 7129, 4049, 67, 105.24, P2
2020/07/17 12:06:32.834, 99, 51, 11176, 5282, 5894, 77, 105.69, P2
2020/07/17 12:06:33.843, 83, 52, 11178, 7129, 4049, 67, 248.87, P2
2020/07/17 12:06:33.848, 99, 45, 11176, 5282, 5894, 77, 250.46, P2
2020/07/17 12:06:34.850, 82, 37, 11178, 7129, 4049, 67, 255.28, P2
2020/07/17 12:06:34.854, 85, 27, 11176, 5282, 5894, 77, 244.07, P2
2020/07/17 12:06:35.861, 97, 48, 11178, 7129, 4049, 67, 253.00, P2
2020/07/17 12:06:35.864, 75, 20, 11176, 5282, 5894, 77, 263.47, P2
2020/07/17 12:06:36.867, 97, 37, 11178, 7129, 4049, 67, 284.03, P2
2020/07/17 12:06:36.870, 76, 17, 11176, 5282, 5894, 77, 282.27, P2
2020/07/17 12:06:37.872, 96, 50, 11178, 7129, 4049, 66, 137.14, P2
2020/07/17 12:06:37.874, 82, 34, 11176, 5282, 5894, 77, 150.71, P2
2020/07/17 12:06:38.876, 99, 46, 11178, 7129, 4049, 67, 164.33, P2
2020/07/17 12:06:38.880, 99, 45, 11176, 5282, 5894, 77, 91.68, P2
2020/07/17 12:06:39.882, 83, 52, 11178, 7129, 4049, 67, 105.82, P2
2020/07/17 12:06:39.888, 99, 51, 11176, 5282, 5894, 77, 104.32, P2
2020/07/17 12:06:40.898, 83, 48, 11178, 7129, 4049, 67, 237.29, P2
2020/07/17 12:06:40.900, 99, 41, 11176, 5282, 5894, 78, 238.57, P2
2020/07/17 12:06:41.904, 83, 41, 11178, 7129, 4049, 67, 257.69, P2
2020/07/17 12:06:41.906, 79, 26, 11176, 5282, 5894, 77, 240.04, P2
2020/07/17 12:06:42.908, 98, 47, 11178, 7129, 4049, 67, 218.96, P2
2020/07/17 12:06:42.911, 76, 18, 11176, 5282, 5894, 77, 248.98, P2
2020/07/17 12:06:43.915, 98, 38, 11178, 7129, 4049, 67, 280.95, P2
2020/07/17 12:06:43.917, 76, 16, 11176, 5282, 5894, 77, 289.16, P2
2020/07/17 12:06:44.923, 98, 52, 11178, 7129, 4049, 67, 212.76, P2
2020/07/17 12:06:44.930, 83, 35, 11176, 5282, 5894, 77, 209.29, P2
2020/07/17 12:06:45.933, 99, 47, 11178, 7129, 4049, 67, 117.20, P2
2020/07/17 12:06:45.938, 99, 45, 11176, 5282, 5894, 77, 94.19, P2
2020/07/17 12:06:46.940, 83, 52, 11178, 7129, 4049, 67, 119.62, P2
2020/07/17 12:06:46.944, 99, 51, 11176, 5282, 5894, 78, 96.30, P2
2020/07/17 12:06:47.951, 83, 51, 11178, 7129, 4049, 68, 147.24, P2
2020/07/17 12:06:47.953, 99, 45, 11176, 5282, 5894, 78, 131.96, P2
2020/07/17 12:06:48.961, 82, 39, 11178, 7129, 4049, 68, 236.21, P2
2020/07/17 12:06:48.967, 85, 28, 11176, 5282, 5894, 78, 241.77, P2
2020/07/17 12:06:49.976, 98, 47, 11178, 7129, 4049, 67, 265.50, P2
2020/07/17 12:06:49.980, 76, 20, 11176, 5282, 5894, 78, 247.77, P2
2020/07/17 12:06:50.987, 98, 37, 11178, 7129, 4049, 68, 111.49, P2
2020/07/17 12:06:50.990, 76, 15, 11176, 5282, 5894, 78, 138.91, P2
2020/07/17 12:06:51.995, 94, 48, 11178, 7129, 4049, 67, 101.76, P2
2020/07/17 12:06:52.002, 99, 45, 11176, 5282, 5894, 77, 95.64, P2
2020/07/17 12:06:53.004, 83, 52, 11178, 7129, 4049, 68, 172.53, P2
2020/07/17 12:06:53.010, 99, 51, 11176, 5282, 5894, 78, 91.66, P2
2020/07/17 12:06:54.013, 83, 49, 11178, 7129, 4049, 68, 103.89, P2
2020/07/17 12:06:54.018, 99, 43, 11176, 5282, 5894, 78, 108.40, P2
2020/07/17 12:06:55.024, 82, 40, 11178, 7129, 4049, 68, 259.71, P2
2020/07/17 12:06:55.026, 82, 25, 11176, 5282, 5894, 78, 246.79, P2
2020/07/17 12:06:56.031, 97, 48, 11178, 7129, 4049, 68, 244.93, P2
2020/07/17 12:06:56.037, 76, 19, 11176, 5282, 5894, 78, 262.73, P2
2020/07/17 12:06:57.039, 98, 38, 11178, 7129, 4049, 68, 180.27, P2
2020/07/17 12:06:57.041, 76, 17, 11176, 5282, 5894, 78, 208.54, P2
2020/07/17 12:06:58.043, 98, 49, 11178, 7129, 4049, 68, 261.55, P2
2020/07/17 12:06:58.045, 84, 35, 11176, 5282, 5894, 78, 254.96, P2
2020/07/17 12:06:59.047, 99, 46, 11178, 7129, 4049, 68, 105.41, P2
2020/07/17 12:06:59.049, 99, 45, 11176, 5282, 5894, 78, 121.31, P2
2020/07/17 12:07:00.052, 83, 51, 11178, 7129, 4049, 68, 173.69, P2
2020/07/17 12:07:00.054, 99, 52, 11176, 5282, 5894, 78, 92.53, P2
2020/07/17 12:07:01.056, 83, 53, 11178, 7129, 4049, 68, 108.62, P2
2020/07/17 12:07:01.058, 99, 41, 11176, 5282, 5894, 78, 105.69, P2
2020/07/17 12:07:02.060, 82, 38, 11178, 7129, 4049, 68, 257.50, P2
2020/07/17 12:07:02.064, 79, 25, 11176, 5282, 5894, 78, 247.78, P2
2020/07/17 12:07:03.066, 96, 47, 11178, 7129, 4049, 68, 266.94, P2
2020/07/17 12:07:03.069, 74, 16, 11176, 5282, 5894, 78, 259.25, P2
2020/07/17 12:07:04.071, 98, 37, 11178, 7129, 4049, 68, 113.83, P2
2020/07/17 12:07:04.074, 76, 19, 11176, 5282, 5894, 78, 117.90, P2
2020/07/17 12:07:05.076, 98, 50, 11178, 7129, 4049, 68, 254.19, P2
2020/07/17 12:07:05.078, 85, 36, 11176, 5282, 5894, 78, 252.16, P2
2020/07/17 12:07:06.080, 99, 46, 11178, 7129, 4049, 68, 102.05, P2
2020/07/17 12:07:06.082, 99, 44, 11176, 5282, 5894, 78, 97.19, P2
2020/07/17 12:07:07.084, 83, 52, 11178, 7129, 4049, 68, 163.08, P2
2020/07/17 12:07:07.087, 99, 51, 11176, 5282, 5894, 78, 94.86, P2
2020/07/17 12:07:08.089, 83, 52, 11178, 7129, 4049, 69, 121.66, P2
2020/07/17 12:07:08.091, 99, 40, 11176, 5282, 5894, 79, 120.96, P2
2020/07/17 12:07:09.093, 82, 36, 11178, 7129, 4049, 69, 236.52, P2
2020/07/17 12:07:09.098, 77, 26, 11176, 5282, 5894, 79, 259.90, P2
2020/07/17 12:07:10.107, 94, 48, 11178, 7129, 4049, 68, 265.88, P2
2020/07/17 12:07:10.109, 76, 16, 11176, 5282, 5894, 79, 247.12, P2
2020/07/17 12:07:11.112, 98, 38, 11178, 7129, 4049, 68, 136.09, P2
2020/07/17 12:07:11.122, 76, 20, 11176, 5282, 5894, 79, 241.65, P2
2020/07/17 12:07:12.132, 98, 46, 11178, 7129, 4049, 68, 278.93, P2
2020/07/17 12:07:12.135, 88, 38, 11176, 5282, 5894, 78, 288.13, P2
2020/07/17 12:07:13.138, 98, 47, 11178, 7129, 4049, 68, 162.61, P2
2020/07/17 12:07:13.140, 99, 44, 11176, 5282, 5894, 78, 167.14, P2
2020/07/17 12:07:14.143, 82, 52, 11178, 7129, 4049, 69, 108.93, P2
2020/07/17 12:07:14.145, 74, 36, 11176, 5282, 5894, 79, 108.40, P2
2020/07/17 12:07:15.149, 82, 37, 11178, 7129, 4049, 69, 262.52, P2
2020/07/17 12:07:15.151, 75, 25, 11176, 5282, 5894, 79, 241.89, P2
2020/07/17 12:07:16.155, 95, 48, 11178, 7129, 4049, 69, 236.15, P2
2020/07/17 12:07:16.163, 76, 14, 11176, 5282, 5894, 79, 250.38, P2
2020/07/17 12:07:17.165, 98, 38, 11178, 7129, 4049, 69, 158.40, P2
2020/07/17 12:07:17.167, 76, 21, 11176, 5282, 5894, 79, 191.60, P2
2020/07/17 12:07:18.169, 98, 47, 11178, 7129, 4049, 68, 260.88, P2
2020/07/17 12:07:18.172, 88, 38, 11176, 5282, 5894, 79, 262.65, P2
2020/07/17 12:07:19.177, 98, 47, 11178, 7129, 4049, 68, 120.56, P2
2020/07/17 12:07:19.179, 99, 44, 11176, 5282, 5894, 78, 136.19, P2
2020/07/17 12:07:20.181, 83, 48, 11178, 7129, 4049, 69, 141.89, P2
2020/07/17 12:07:20.191, 99, 52, 11176, 5282, 5894, 79, 95.37, P2
2020/07/17 12:07:21.202, 83, 53, 11178, 7129, 4049, 69, 109.19, P2
2020/07/17 12:07:21.204, 99, 40, 11176, 5282, 5894, 79, 98.65, P2
2020/07/17 12:07:22.209, 83, 41, 11178, 7129, 4049, 69, 194.61, P2
2020/07/17 12:07:22.211, 81, 25, 11176, 5282, 5894, 79, 169.23, P2
2020/07/17 12:07:23.215, 90, 48, 11178, 7129, 4049, 69, 252.10, P2
2020/07/17 12:07:23.218, 76, 18, 11176, 5282, 5894, 79, 243.96, P2
2020/07/17 12:07:24.222, 98, 37, 11178, 7129, 4049, 69, 296.43, P2
2020/07/17 12:07:24.224, 76, 18, 11176, 5282, 5894, 79, 284.56, P2
2020/07/17 12:07:25.230, 98, 43, 11178, 7129, 4049, 69, 249.46, P2
2020/07/17 12:07:25.232, 86, 36, 11176, 5282, 5894, 79, 232.39, P2
2020/07/17 12:07:26.234, 98, 47, 11178, 7129, 4049, 68, 197.17, P2
2020/07/17 12:07:26.236, 99, 45, 11176, 5282, 5894, 79, 200.99, P2
2020/07/17 12:07:27.238, 83, 48, 11178, 7129, 4049, 69, 126.75, P2
2020/07/17 12:07:27.243, 99, 52, 11176, 5282, 5894, 79, 95.18, P2
2020/07/17 12:07:28.245, 83, 53, 11178, 7129, 4049, 69, 102.34, P2
2020/07/17 12:07:28.247, 99, 41, 11176, 5282, 5894, 79, 106.08, P2
2020/07/17 12:07:29.249, 83, 39, 11178, 7129, 4049, 69, 201.86, P2
2020/07/17 12:07:29.257, 78, 25, 11176, 5282, 5894, 80, 157.94, P2
2020/07/17 12:07:30.265, 93, 48, 11178, 7129, 4049, 69, 238.64, P2
2020/07/17 12:07:30.267, 76, 15, 11176, 5282, 5894, 80, 240.56, P2
2020/07/17 12:07:31.269, 98, 37, 11178, 7129, 4049, 69, 277.60, P2
