timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/07/13 17:20:07.631, 0, 0, 11178, 2, 11176, 36, 10.97, P8
2020/07/13 17:20:07.636, 0, 0, 11176, 18, 11158, 35, 10.88, P8
2020/07/13 17:20:08.640, 0, 0, 11178, 2, 11176, 36, 10.29, P8
2020/07/13 17:20:08.643, 0, 0, 11176, 18, 11158, 35, 11.07, P8
2020/07/13 17:20:09.646, 0, 0, 11178, 12, 11166, 36, 11.16, P8
2020/07/13 17:20:09.650, 0, 0, 11176, 29, 11147, 35, 19.61, P8
2020/07/13 17:20:10.660, 0, 0, 11178, 12, 11166, 36, 9.81, P8
2020/07/13 17:20:10.664, 0, 0, 11176, 29, 11147, 35, 12.91, P8
2020/07/13 17:20:11.668, 0, 0, 11178, 12, 11166, 36, 10.48, P8
2020/07/13 17:20:11.672, 0, 0, 11176, 29, 11147, 35, 10.88, P8
2020/07/13 17:20:12.675, 0, 0, 11178, 12, 11166, 36, 11.35, P8
2020/07/13 17:20:12.679, 0, 0, 11176, 29, 11147, 35, 10.49, P8
2020/07/13 17:20:13.682, 0, 0, 11178, 12, 11166, 36, 11.06, P8
2020/07/13 17:20:13.686, 0, 0, 11176, 29, 11147, 35, 10.97, P8
2020/07/13 17:20:14.689, 0, 0, 11178, 12, 11166, 36, 10.39, P8
2020/07/13 17:20:14.693, 0, 0, 11176, 29, 11147, 35, 11.56, P8
2020/07/13 17:20:15.696, 4, 0, 11178, 449, 10729, 36, 58.22, P2
2020/07/13 17:20:15.698, 0, 0, 11176, 29, 11147, 35, 11.46, P8
2020/07/13 17:20:16.702, 0, 0, 11178, 1107, 10071, 37, 58.31, P2
2020/07/13 17:20:16.709, 5, 0, 11176, 334, 10842, 36, 59.68, P2
2020/07/13 17:20:17.712, 57, 29, 11178, 5605, 5573, 37, 72.33, P2
2020/07/13 17:20:17.714, 48, 16, 11176, 5076, 6100, 37, 100.39, P2
2020/07/13 17:20:18.716, 97, 36, 11178, 7129, 4049, 39, 244.29, P2
2020/07/13 17:20:18.719, 92, 39, 11176, 5282, 5894, 38, 243.24, P2
2020/07/13 17:20:19.721, 98, 48, 11178, 7129, 4049, 40, 96.77, P2
2020/07/13 17:20:19.723, 99, 48, 11176, 5282, 5894, 39, 83.12, P2
2020/07/13 17:20:20.725, 99, 45, 11178, 7129, 4049, 41, 138.29, P2
2020/07/13 17:20:20.727, 99, 52, 11176, 5282, 5894, 40, 82.80, P2
2020/07/13 17:20:21.729, 83, 53, 11178, 7129, 4049, 42, 110.21, P2
2020/07/13 17:20:21.736, 96, 34, 11176, 5282, 5894, 41, 108.41, P2
2020/07/13 17:20:22.738, 83, 51, 11178, 7129, 4049, 42, 246.35, P2
2020/07/13 17:20:22.740, 74, 25, 11176, 5282, 5894, 41, 252.39, P2
2020/07/13 17:20:23.742, 98, 40, 11178, 7129, 4049, 42, 248.66, P2
2020/07/13 17:20:23.745, 83, 33, 11176, 5282, 5894, 41, 267.55, P2
2020/07/13 17:20:24.747, 98, 42, 11178, 7129, 4049, 42, 103.16, P2
2020/07/13 17:20:24.749, 99, 45, 11176, 5282, 5894, 41, 107.61, P2
2020/07/13 17:20:25.751, 98, 47, 11178, 7129, 4049, 43, 154.76, P2
2020/07/13 17:20:25.758, 99, 51, 11176, 5282, 5894, 41, 79.79, P2
2020/07/13 17:20:26.762, 83, 47, 11178, 7129, 4049, 44, 94.35, P2
2020/07/13 17:20:26.764, 99, 42, 11176, 5282, 5894, 42, 93.27, P2
2020/07/13 17:20:27.767, 83, 53, 11178, 7129, 4049, 44, 245.76, P2
2020/07/13 17:20:27.769, 80, 26, 11176, 5282, 5894, 42, 241.25, P2
2020/07/13 17:20:28.772, 83, 38, 11178, 7129, 4049, 44, 239.47, P2
2020/07/13 17:20:28.777, 76, 15, 11176, 5282, 5894, 42, 240.69, P2
2020/07/13 17:20:29.779, 95, 49, 11178, 7129, 4049, 44, 115.38, P2
2020/07/13 17:20:29.781, 76, 20, 11176, 5282, 5894, 43, 122.11, P2
2020/07/13 17:20:30.783, 98, 37, 11178, 7129, 4049, 44, 245.65, P2
2020/07/13 17:20:30.786, 92, 39, 11176, 5282, 5894, 43, 249.97, P2
2020/07/13 17:20:31.788, 97, 49, 11178, 7129, 4049, 45, 94.26, P2
2020/07/13 17:20:31.790, 99, 47, 11176, 5282, 5894, 43, 83.88, P2
2020/07/13 17:20:32.792, 99, 46, 11178, 7129, 4049, 45, 163.43, P2
2020/07/13 17:20:32.803, 99, 52, 11176, 5282, 5894, 43, 79.71, P2
2020/07/13 17:20:33.805, 83, 52, 11178, 7129, 4049, 46, 101.03, P2
2020/07/13 17:20:33.809, 94, 32, 11176, 5282, 5894, 44, 96.46, P2
2020/07/13 17:20:34.811, 83, 50, 11178, 7129, 4049, 46, 246.56, P2
2020/07/13 17:20:34.817, 76, 24, 11176, 5282, 5894, 45, 248.17, P2
2020/07/13 17:20:35.819, 82, 39, 11178, 7129, 4049, 46, 244.52, P2
2020/07/13 17:20:35.825, 76, 14, 11176, 5282, 5894, 44, 249.88, P2
