timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/07/16 20:24:17.938, 0, 0, 11178, 2, 11176, 73, 96.55, P0
2020/07/16 20:24:17.943, 16, 2, 11176, 18, 11158, 84, 91.88, P0
2020/07/16 20:24:18.948, 0, 0, 11178, 2, 11176, 73, 89.98, P0
2020/07/16 20:24:18.950, 0, 0, 11176, 18, 11158, 84, 79.98, P0
2020/07/16 20:24:19.970, 0, 0, 11178, 12, 11166, 72, 89.01, P0
2020/07/16 20:24:19.973, 0, 0, 11176, 29, 11147, 83, 79.40, P0
2020/07/16 20:24:20.975, 0, 0, 11178, 12, 11166, 71, 68.00, P0
2020/07/16 20:24:20.977, 0, 0, 11176, 29, 11147, 83, 78.74, P0
2020/07/16 20:24:21.989, 0, 0, 11178, 12, 11166, 71, 68.19, P0
2020/07/16 20:24:21.992, 0, 0, 11176, 29, 11147, 83, 73.59, P0
2020/07/16 20:24:22.998, 0, 0, 11178, 12, 11166, 70, 68.68, P0
2020/07/16 20:24:23.000, 0, 0, 11176, 29, 11147, 83, 73.79, P0
2020/07/16 20:24:24.002, 0, 0, 11178, 12, 11166, 70, 60.45, P2
2020/07/16 20:24:24.004, 0, 0, 11176, 29, 11147, 82, 74.37, P0
2020/07/16 20:24:25.006, 0, 0, 11178, 153, 11025, 70, 67.23, P2
2020/07/16 20:24:25.008, 0, 0, 11176, 29, 11147, 82, 67.58, P2
2020/07/16 20:24:26.011, 4, 0, 11178, 465, 10713, 69, 66.26, P2
2020/07/16 20:24:26.013, 0, 0, 11176, 29, 11147, 82, 67.09, P2
2020/07/16 20:24:27.020, 0, 0, 11178, 1107, 10071, 69, 66.07, P2
2020/07/16 20:24:27.024, 4, 0, 11176, 350, 10826, 82, 74.86, P2
2020/07/16 20:24:28.026, 72, 40, 11178, 7381, 3797, 70, 130.18, P2
2020/07/16 20:24:28.032, 70, 31, 11176, 8354, 2822, 82, 138.94, P2
