timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/07/16 19:17:19.694, 33, 4, 11178, 2, 11176, 43, 86.35, P0
2020/07/16 19:17:19.697, 33, 4, 11176, 18, 11158, 42, 82.07, P0
2020/07/16 19:17:20.699, 0, 0, 11178, 2, 11176, 43, 80.64, P0
2020/07/16 19:17:20.701, 0, 0, 11176, 18, 11158, 42, 82.63, P0
2020/07/16 19:17:21.704, 0, 0, 11178, 12, 11166, 43, 80.16, P0
2020/07/16 19:17:21.706, 0, 0, 11176, 29, 11147, 42, 81.95, P0
2020/07/16 19:17:22.708, 0, 0, 11178, 12, 11166, 43, 62.28, P0
2020/07/16 19:17:22.710, 0, 0, 11176, 29, 11147, 42, 65.49, P0
2020/07/16 19:17:23.712, 0, 0, 11178, 12, 11166, 43, 61.87, P0
2020/07/16 19:17:23.714, 0, 0, 11176, 29, 11147, 42, 65.30, P0
2020/07/16 19:17:24.717, 0, 0, 11178, 12, 11166, 43, 62.16, P0
2020/07/16 19:17:24.722, 0, 0, 11176, 29, 11147, 42, 65.78, P0
2020/07/16 19:17:25.726, 0, 0, 11178, 12, 11166, 43, 54.53, P2
2020/07/16 19:17:25.731, 0, 0, 11176, 29, 11147, 42, 55.33, P2
2020/07/16 19:17:26.733, 0, 0, 11178, 12, 11166, 43, 54.73, P2
2020/07/16 19:17:26.735, 0, 0, 11176, 29, 11147, 42, 55.33, P2
2020/07/16 19:17:27.737, 0, 0, 11178, 12, 11166, 43, 54.24, P2
2020/07/16 19:17:27.739, 0, 0, 11176, 29, 11147, 42, 54.74, P2
2020/07/16 19:17:28.741, 0, 0, 11178, 12, 11166, 42, 14.37, P5
2020/07/16 19:17:28.745, 0, 0, 11176, 29, 11147, 41, 15.15, P5
2020/07/16 19:17:29.748, 0, 0, 11178, 12, 11166, 42, 14.17, P5
2020/07/16 19:17:29.751, 0, 0, 11176, 29, 11147, 41, 15.24, P5
2020/07/16 19:17:30.755, 0, 0, 11178, 12, 11166, 42, 10.68, P8
2020/07/16 19:17:30.758, 0, 0, 11176, 29, 11147, 41, 11.27, P8
2020/07/16 19:17:31.761, 0, 0, 11178, 12, 11166, 42, 11.16, P8
2020/07/16 19:17:31.765, 0, 0, 11176, 29, 11147, 41, 11.85, P8
2020/07/16 19:17:32.768, 0, 0, 11178, 12, 11166, 42, 11.26, P8
2020/07/16 19:17:32.772, 0, 0, 11176, 29, 11147, 41, 11.85, P8
2020/07/16 19:17:33.775, 0, 0, 11178, 12, 11166, 42, 10.58, P8
2020/07/16 19:17:33.778, 0, 0, 11176, 29, 11147, 41, 11.27, P8
2020/07/16 19:17:34.782, 0, 0, 11178, 12, 11166, 42, 9.90, P8
2020/07/16 19:17:34.785, 0, 0, 11176, 29, 11147, 41, 10.78, P8
2020/07/16 19:17:35.788, 0, 0, 11178, 12, 11166, 42, 10.09, P8
2020/07/16 19:17:35.792, 0, 0, 11176, 29, 11147, 41, 11.36, P8
2020/07/16 19:17:36.795, 0, 0, 11178, 12, 11166, 42, 10.68, P8
2020/07/16 19:17:36.798, 0, 0, 11176, 29, 11147, 41, 11.94, P8
2020/07/16 19:17:37.802, 0, 0, 11178, 12, 11166, 42, 11.07, P8
2020/07/16 19:17:37.805, 0, 0, 11176, 29, 11147, 41, 12.33, P8
2020/07/16 19:17:38.809, 0, 0, 11178, 12, 11166, 41, 11.06, P8
2020/07/16 19:17:38.812, 0, 0, 11176, 29, 11147, 41, 11.56, P8
2020/07/16 19:17:39.816, 0, 0, 11178, 12, 11166, 42, 10.77, P8
2020/07/16 19:17:39.819, 0, 0, 11176, 29, 11147, 41, 10.97, P8
2020/07/16 19:17:40.822, 0, 0, 11178, 12, 11166, 42, 10.19, P8
2020/07/16 19:17:40.826, 0, 0, 11176, 29, 11147, 41, 10.78, P8
2020/07/16 19:17:41.829, 0, 0, 11178, 12, 11166, 41, 11.16, P8
2020/07/16 19:17:41.833, 0, 0, 11176, 29, 11147, 41, 11.36, P8
2020/07/16 19:17:42.836, 0, 0, 11178, 12, 11166, 42, 11.65, P8
2020/07/16 19:17:42.840, 0, 0, 11176, 29, 11147, 40, 11.85, P8
2020/07/16 19:17:43.843, 3, 0, 11178, 283, 10895, 42, 60.06, P2
2020/07/16 19:17:43.850, 0, 0, 11176, 29, 11147, 41, 11.75, P8
2020/07/16 19:17:44.853, 4, 0, 11178, 893, 10285, 42, 60.64, P2
2020/07/16 19:17:44.855, 0, 0, 11176, 29, 11147, 41, 11.17, P8
2020/07/16 19:17:45.859, 0, 0, 11178, 1059, 10119, 42, 58.98, P2
2020/07/16 19:17:45.861, 5, 0, 11176, 502, 10674, 41, 60.07, P2
2020/07/16 19:17:46.863, 0, 0, 11178, 11117, 61, 43, 63.64, P2
2020/07/16 19:17:46.865, 0, 0, 11176, 11102, 74, 42, 71.41, P2
