timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/07/16 20:26:34.885, 11, 1, 11178, 2, 11176, 57, 66.15, P0
2020/07/16 20:26:34.887, 0, 0, 11176, 18, 11158, 71, 90.91, P0
2020/07/16 20:26:35.890, 0, 0, 11178, 2, 11176, 57, 66.05, P0
2020/07/16 20:26:35.892, 0, 0, 11176, 18, 11158, 71, 91.59, P0
2020/07/16 20:26:36.894, 0, 0, 11178, 2, 11176, 57, 62.46, P0
2020/07/16 20:26:36.896, 0, 0, 11176, 18, 11158, 71, 90.91, P0
2020/07/16 20:26:37.898, 0, 0, 11178, 12, 11166, 57, 62.09, P0
2020/07/16 20:26:37.901, 0, 0, 11176, 29, 11147, 71, 90.33, P0
2020/07/16 20:26:38.903, 0, 0, 11178, 12, 11166, 57, 56.86, P2
2020/07/16 20:26:38.905, 0, 0, 11176, 29, 11147, 71, 90.04, P0
2020/07/16 20:26:39.907, 0, 0, 11178, 12, 11166, 57, 57.44, P2
2020/07/16 20:26:39.909, 0, 0, 11176, 29, 11147, 71, 90.33, P0
2020/07/16 20:26:40.915, 0, 0, 11178, 12, 11166, 57, 57.63, P2
2020/07/16 20:26:40.921, 0, 0, 11176, 29, 11147, 70, 62.44, P2
2020/07/16 20:26:41.923, 0, 0, 11178, 12, 11166, 56, 17.18, P5
2020/07/16 20:26:41.926, 0, 0, 11176, 29, 11147, 70, 62.63, P2
2020/07/16 20:26:42.929, 0, 0, 11178, 12, 11166, 56, 16.40, P5
2020/07/16 20:26:42.948, 0, 0, 11176, 29, 11147, 70, 36.88, P5
2020/07/16 20:26:43.953, 5, 0, 11178, 399, 10779, 57, 62.40, P2
2020/07/16 20:26:43.956, 0, 0, 11176, 29, 11147, 69, 23.21, P5
2020/07/16 20:26:44.959, 0, 0, 11178, 1095, 10083, 57, 62.78, P2
2020/07/16 20:26:44.961, 2, 0, 11176, 246, 10930, 69, 68.54, P2
2020/07/16 20:26:45.963, 0, 0, 11178, 1117, 10061, 57, 69.06, P2
2020/07/16 20:26:45.966, 4, 0, 11176, 1098, 10078, 69, 72.30, P2
2020/07/16 20:26:46.973, 95, 44, 11178, 8167, 3011, 59, 104.06, P2
2020/07/16 20:26:46.976, 83, 28, 11176, 5806, 5370, 71, 90.53, P2
2020/07/16 20:26:47.979, 95, 45, 11178, 8167, 3011, 60, 272.45, P2
2020/07/16 20:26:47.982, 67, 9, 11176, 5806, 5370, 71, 279.19, P2
