timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/07/16 19:19:33.629, 0, 0, 11178, 2, 11176, 51, 89.17, P0
2020/07/16 19:19:33.637, 73, 8, 11176, 18, 11158, 50, 89.68, P0
2020/07/16 19:19:34.640, 0, 0, 11178, 2, 11176, 51, 82.68, P0
2020/07/16 19:19:34.642, 0, 0, 11176, 18, 11158, 50, 83.31, P0
2020/07/16 19:19:35.644, 0, 0, 11178, 2, 11176, 51, 82.58, P0
2020/07/16 19:19:35.646, 0, 0, 11176, 18, 11158, 50, 83.50, P0
2020/07/16 19:19:36.648, 0, 0, 11178, 12, 11166, 51, 83.26, P0
2020/07/16 19:19:36.651, 0, 0, 11176, 29, 11147, 50, 84.18, P0
2020/07/16 19:19:37.657, 0, 0, 11178, 12, 11166, 51, 83.47, P0
2020/07/16 19:19:37.664, 0, 0, 11176, 29, 11147, 50, 84.28, P0
2020/07/16 19:19:38.666, 0, 0, 11178, 12, 11166, 52, 83.18, P0
2020/07/16 19:19:38.668, 0, 0, 11176, 29, 11147, 50, 83.80, P0
2020/07/16 19:19:39.670, 0, 0, 11178, 12, 11166, 52, 82.58, P0
2020/07/16 19:19:39.672, 0, 0, 11176, 29, 11147, 50, 83.21, P0
2020/07/16 19:19:40.675, 0, 0, 11178, 12, 11166, 52, 82.56, P0
2020/07/16 19:19:40.677, 0, 0, 11176, 29, 11147, 50, 83.31, P0
2020/07/16 19:19:41.679, 5, 0, 11178, 307, 10871, 52, 79.60, P2
2020/07/16 19:19:41.681, 0, 0, 11176, 29, 11147, 50, 83.99, P0
2020/07/16 19:19:42.684, 14, 0, 11178, 1061, 10117, 52, 80.18, P2
2020/07/16 19:19:42.686, 0, 0, 11176, 29, 11147, 51, 84.48, P0
2020/07/16 19:19:43.688, 0, 0, 11178, 1061, 10117, 52, 80.08, P2
2020/07/16 19:19:43.690, 0, 0, 11176, 29, 11147, 51, 84.28, P0
2020/07/16 19:19:44.692, 0, 0, 11178, 1061, 10117, 52, 79.50, P2
2020/07/16 19:19:44.699, 0, 0, 11176, 29, 11147, 51, 83.77, P0
2020/07/16 19:19:45.701, 0, 0, 11178, 1061, 10117, 52, 79.11, P2
2020/07/16 19:19:45.703, 0, 0, 11176, 29, 11147, 51, 83.29, P0
2020/07/16 19:19:46.705, 0, 0, 11178, 1061, 10117, 52, 79.21, P2
2020/07/16 19:19:46.707, 0, 0, 11176, 29, 11147, 51, 83.77, P0
2020/07/16 19:19:47.709, 0, 0, 11178, 1061, 10117, 52, 79.79, P2
2020/07/16 19:19:47.711, 0, 0, 11176, 29, 11147, 51, 84.35, P0
2020/07/16 19:19:48.714, 0, 0, 11178, 1061, 10117, 52, 80.27, P2
2020/07/16 19:19:48.716, 0, 0, 11176, 29, 11147, 51, 84.67, P0
2020/07/16 19:19:49.718, 0, 0, 11178, 1061, 10117, 53, 80.08, P2
2020/07/16 19:19:49.720, 0, 0, 11176, 29, 11147, 51, 84.26, P0
2020/07/16 19:19:50.722, 0, 0, 11178, 1061, 10117, 53, 79.60, P2
