timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], power.draw [W]
2020/06/08 18:40:23.590, 0, 0, 11178, 2, 11176, 10.39
2020/06/08 18:40:23.595, 0, 0, 11176, 18, 11158, 10.68
2020/06/08 18:40:28.599, 0, 0, 11178, 2, 11176, 10.00
2020/06/08 18:40:28.602, 0, 0, 11176, 18, 11158, 10.10
2020/06/08 18:40:33.606, 0, 0, 11178, 2, 11176, 10.19
2020/06/08 18:40:33.609, 0, 0, 11176, 18, 11158, 10.10
2020/06/08 18:40:38.613, 0, 0, 11178, 2, 11176, 10.68
2020/06/08 18:40:38.616, 0, 0, 11176, 18, 11158, 10.49
2020/06/08 18:40:43.620, 0, 0, 11178, 2, 11176, 10.68
2020/06/08 18:40:43.626, 0, 0, 11176, 18, 11158, 13.01
2020/06/08 18:40:48.630, 0, 0, 11178, 10715, 463, 71.75
2020/06/08 18:40:48.632, 0, 0, 11176, 170, 11006, 60.36
2020/06/08 18:40:53.634, 0, 0, 11178, 10715, 463, 61.21
2020/06/08 18:40:53.642, 0, 0, 11176, 170, 11006, 60.36
2020/06/08 18:40:58.644, 0, 0, 11178, 10715, 463, 66.14
2020/06/08 18:40:58.651, 0, 0, 11176, 170, 11006, 60.17
2020/06/08 18:41:03.653, 0, 0, 11178, 10761, 417, 80.85
2020/06/08 18:41:03.655, 0, 0, 11176, 170, 11006, 54.55
2020/06/08 18:41:08.658, 99, 63, 11178, 10761, 417, 166.90
2020/06/08 18:41:08.660, 0, 0, 11176, 170, 11006, 10.58
2020/06/08 18:41:13.663, 100, 66, 11178, 10761, 417, 263.89
2020/06/08 18:41:13.666, 0, 0, 11176, 170, 11006, 10.10
2020/06/08 18:41:18.670, 97, 77, 11178, 10761, 417, 270.09
2020/06/08 18:41:18.672, 0, 0, 11176, 170, 11006, 10.58
2020/06/08 18:41:23.676, 100, 65, 11178, 10761, 417, 182.17
2020/06/08 18:41:23.680, 0, 0, 11176, 170, 11006, 10.77
2020/06/08 18:41:28.684, 98, 78, 11178, 10761, 417, 269.97
2020/06/08 18:41:28.689, 0, 0, 11176, 170, 11006, 11.07
2020/06/08 18:41:33.692, 99, 64, 11178, 10761, 417, 268.26
2020/06/08 18:41:33.694, 0, 0, 11176, 170, 11006, 11.45
2020/06/08 18:41:38.698, 100, 66, 11178, 10761, 417, 254.47
2020/06/08 18:41:38.700, 0, 0, 11176, 170, 11006, 11.26
2020/06/08 18:41:43.704, 97, 76, 11178, 10761, 417, 266.50
2020/06/08 18:41:43.708, 0, 0, 11176, 170, 11006, 10.97
2020/06/08 18:41:48.718, 99, 62, 11178, 10761, 417, 153.61
2020/06/08 18:41:48.720, 0, 0, 11176, 170, 11006, 10.39
2020/06/08 18:41:53.724, 100, 72, 11178, 10761, 417, 273.05
2020/06/08 18:41:53.731, 0, 0, 11176, 170, 11006, 10.29
2020/06/08 18:41:58.738, 97, 72, 11178, 10761, 417, 273.44
2020/06/08 18:41:58.740, 0, 0, 11176, 170, 11006, 10.10
2020/06/08 18:42:03.744, 100, 64, 11178, 10761, 417, 268.48
2020/06/08 18:42:03.753, 0, 0, 11176, 170, 11006, 10.58
2020/06/08 18:42:08.757, 97, 76, 11178, 10761, 417, 283.96
2020/06/08 18:42:08.765, 0, 0, 11176, 170, 11006, 11.06
2020/06/08 18:42:13.769, 99, 64, 11178, 10761, 417, 180.89
2020/06/08 18:42:13.771, 0, 0, 11176, 170, 11006, 11.84
2020/06/08 18:42:18.774, 97, 77, 11178, 10761, 417, 270.06
2020/06/08 18:42:18.778, 0, 0, 11176, 170, 11006, 11.45
2020/06/08 18:42:23.792, 99, 62, 11178, 10761, 417, 275.17
2020/06/08 18:42:23.799, 0, 0, 11176, 170, 11006, 10.87
2020/06/08 18:42:28.806, 100, 69, 11178, 10761, 417, 275.60
2020/06/08 18:42:28.814, 0, 0, 11176, 170, 11006, 10.39
2020/06/08 18:42:33.817, 97, 74, 11178, 10761, 417, 262.54
2020/06/08 18:42:33.821, 0, 0, 11176, 170, 11006, 10.10
2020/06/08 18:42:38.825, 99, 62, 11178, 10761, 417, 184.82
2020/06/08 18:42:38.831, 0, 0, 11176, 170, 11006, 10.29
2020/06/08 18:42:43.838, 100, 73, 11178, 10761, 417, 246.15
2020/06/08 18:42:43.844, 0, 0, 11176, 170, 11006, 10.38
2020/06/08 18:42:48.851, 99, 67, 11178, 10761, 417, 265.21
2020/06/08 18:42:48.854, 0, 0, 11176, 170, 11006, 10.77
2020/06/08 18:42:53.861, 100, 67, 11178, 10761, 417, 273.74
