timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/06/09 20:07:00.255, 0, 0, 11178, 2, 11176, 33, 9.90, P8
2020/06/09 20:07:00.259, 0, 0, 11176, 18, 11158, 32, 11.27, P8
2020/06/09 20:07:05.263, 0, 0, 11178, 12, 11166, 33, 10.19, P8
2020/06/09 20:07:05.267, 0, 0, 11176, 29, 11147, 32, 11.07, P8
2020/06/09 20:07:10.271, 3, 0, 11178, 285, 10893, 34, 60.94, P2
2020/06/09 20:07:10.277, 0, 0, 11176, 29, 11147, 32, 11.07, P8
2020/06/09 20:07:15.281, 99, 41, 11178, 5921, 5257, 39, 109.90, P2
2020/06/09 20:07:15.293, 100, 45, 11176, 4570, 6606, 38, 104.47, P2
2020/06/09 20:07:20.295, 99, 45, 11178, 5921, 5257, 41, 102.67, P2
2020/06/09 20:07:20.297, 99, 40, 11176, 4570, 6606, 39, 83.00, P2
2020/06/09 20:07:25.300, 97, 36, 11178, 5921, 5257, 43, 288.08, P2
2020/06/09 20:07:25.319, 77, 16, 11176, 4570, 6606, 42, 257.96, P2
2020/06/09 20:07:30.354, 97, 35, 11178, 5921, 5257, 46, 239.16, P2
2020/06/09 20:07:30.359, 90, 31, 11176, 4570, 6606, 44, 236.37, P2
2020/06/09 20:07:35.365, 99, 43, 11178, 5921, 5257, 48, 249.87, P2
2020/06/09 20:07:35.367, 100, 45, 11176, 4570, 6606, 46, 251.40, P2
2020/06/09 20:07:40.369, 99, 45, 11178, 5921, 5257, 49, 165.71, P2
2020/06/09 20:07:40.378, 98, 35, 11176, 4570, 6606, 47, 81.54, P2
2020/06/09 20:07:45.381, 99, 40, 11178, 5921, 5257, 51, 123.24, P2
2020/06/09 20:07:45.383, 76, 24, 11176, 4570, 6606, 49, 84.93, P2
2020/06/09 20:07:50.387, 96, 37, 11178, 5921, 5257, 52, 297.22, P2
2020/06/09 20:07:50.391, 78, 16, 11176, 4570, 6606, 50, 299.87, P2
2020/06/09 20:07:55.418, 97, 43, 11178, 5921, 5257, 55, 238.70, P2
2020/06/09 20:07:55.421, 77, 19, 11176, 4570, 6606, 52, 238.28, P2
2020/06/09 20:08:00.423, 100, 46, 11178, 5921, 5257, 56, 248.57, P2
2020/06/09 20:08:00.428, 78, 18, 11176, 4570, 6606, 53, 230.27, P2
2020/06/09 20:08:05.430, 97, 43, 11178, 5921, 5257, 58, 228.25, P2
2020/06/09 20:08:05.433, 100, 38, 11176, 4570, 6606, 55, 246.47, P2
2020/06/09 20:08:10.435, 99, 44, 11178, 5921, 5257, 59, 108.09, P2
2020/06/09 20:08:10.439, 97, 36, 11176, 4570, 6606, 56, 86.20, P2
2020/06/09 20:08:15.441, 96, 35, 11178, 5921, 5257, 59, 276.22, P2
2020/06/09 20:08:15.443, 77, 14, 11176, 4570, 6606, 57, 285.94, P2
2020/06/09 20:08:20.455, 97, 34, 11178, 5921, 5257, 61, 271.46, P2
2020/06/09 20:08:20.459, 78, 25, 11176, 4570, 6606, 59, 276.09, P2
2020/06/09 20:08:25.465, 97, 42, 11178, 5921, 5257, 61, 238.37, P2
2020/06/09 20:08:25.470, 77, 16, 11176, 4570, 6606, 60, 234.98, P2
2020/06/09 20:08:30.480, 100, 44, 11178, 5921, 5257, 62, 247.15, P2
2020/06/09 20:08:30.484, 76, 20, 11176, 4570, 6606, 61, 233.55, P2
2020/06/09 20:08:35.486, 99, 45, 11178, 5921, 5257, 63, 251.03, P2
2020/06/09 20:08:35.497, 100, 39, 11176, 4570, 6606, 63, 244.46, P2
2020/06/09 20:08:40.499, 98, 38, 11178, 5921, 5257, 63, 232.95, P2
2020/06/09 20:08:40.501, 100, 45, 11176, 4570, 6606, 63, 259.05, P2
2020/06/09 20:08:45.504, 100, 46, 11178, 5921, 5257, 64, 198.10, P2
2020/06/09 20:08:45.509, 99, 44, 11176, 4570, 6606, 64, 195.69, P2
2020/06/09 20:08:50.511, 99, 45, 11178, 5921, 5257, 64, 107.51, P2
2020/06/09 20:08:50.519, 98, 37, 11176, 4570, 6606, 65, 101.21, P2
2020/06/09 20:08:55.522, 98, 41, 11178, 5921, 5257, 64, 167.68, P2
2020/06/09 20:08:55.524, 100, 45, 11176, 4570, 6606, 65, 87.47, P2
2020/06/09 20:09:00.530, 99, 41, 11178, 5921, 5257, 64, 119.58, P2
2020/06/09 20:09:00.537, 100, 45, 11176, 4570, 6606, 66, 93.65, P2
2020/06/09 20:09:05.544, 98, 37, 11178, 5921, 5257, 64, 279.63, P2
2020/06/09 20:09:05.555, 77, 17, 11176, 4570, 6606, 67, 277.34, P2
2020/06/09 20:09:10.565, 93, 39, 11178, 5921, 5257, 65, 235.54, P2
2020/06/09 20:09:10.568, 74, 17, 11176, 4570, 6606, 68, 239.34, P2
2020/06/09 20:09:15.576, 97, 34, 11178, 5921, 5257, 65, 224.66, P2
2020/06/09 20:09:15.585, 98, 34, 11176, 4570, 6606, 68, 231.72, P2
2020/06/09 20:09:20.595, 97, 44, 11178, 5921, 5257, 65, 232.26, P2
2020/06/09 20:09:20.601, 100, 45, 11176, 4570, 6606, 69, 252.95, P2
2020/06/09 20:09:25.610, 99, 43, 11178, 5921, 5257, 65, 252.56, P2
2020/06/09 20:09:25.613, 78, 25, 11176, 4570, 6606, 70, 229.00, P2
2020/06/09 20:09:30.615, 99, 45, 11178, 5921, 5257, 66, 260.74, P2
2020/06/09 20:09:30.621, 100, 45, 11176, 4570, 6606, 70, 254.09, P2
2020/06/09 20:09:35.623, 99, 44, 11178, 5921, 5257, 66, 200.95, P2
2020/06/09 20:09:35.635, 99, 45, 11176, 4570, 6606, 71, 201.21, P2
2020/06/09 20:09:40.637, 99, 46, 11178, 5921, 5257, 66, 119.68, P2
2020/06/09 20:09:40.646, 100, 42, 11176, 4570, 6606, 71, 115.61, P2
2020/06/09 20:09:45.648, 99, 44, 11178, 5921, 5257, 66, 109.36, P2
2020/06/09 20:09:45.653, 100, 45, 11176, 4570, 6606, 72, 106.05, P2
2020/06/09 20:09:50.659, 98, 40, 11178, 5921, 5257, 66, 138.87, P2
2020/06/09 20:09:50.661, 99, 42, 11176, 4570, 6606, 72, 95.61, P2
2020/06/09 20:09:55.664, 97, 43, 11178, 5921, 5257, 66, 155.65, P2
2020/06/09 20:09:55.668, 100, 44, 11176, 4570, 6606, 72, 91.53, P2
2020/06/09 20:10:00.675, 96, 25, 11178, 5921, 5257, 65, 268.61, P2
2020/06/09 20:10:00.678, 95, 21, 11176, 4570, 6606, 72, 264.91, P2
2020/06/09 20:10:05.681, 11, 1, 11178, 2, 11176, 63, 91.79, P0
2020/06/09 20:10:05.683, 0, 0, 11176, 18, 11158, 70, 90.12, P0
