timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/06/12 15:28:53.921, 0, 0, 11178, 2, 11176, 45, 11.36, P8
2020/06/12 15:28:53.925, 0, 0, 11176, 18, 11158, 47, 11.85, P8
2020/06/12 15:28:54.929, 0, 0, 11178, 2, 11176, 45, 11.26, P8
2020/06/12 15:28:54.932, 0, 0, 11176, 18, 11158, 47, 12.53, P8
2020/06/12 15:28:55.936, 0, 0, 11178, 12, 11166, 44, 11.16, P8
2020/06/12 15:28:55.939, 0, 0, 11176, 29, 11147, 47, 12.53, P8
2020/06/12 15:28:56.943, 0, 0, 11178, 12, 11166, 45, 10.58, P8
2020/06/12 15:28:56.947, 0, 0, 11176, 29, 11147, 47, 11.65, P8
2020/06/12 15:28:57.950, 0, 0, 11178, 12, 11166, 45, 10.87, P8
2020/06/12 15:28:57.954, 0, 0, 11176, 29, 11147, 47, 11.46, P8
2020/06/12 15:28:58.958, 0, 0, 11178, 12, 11166, 45, 11.35, P8
2020/06/12 15:28:58.961, 0, 0, 11176, 29, 11147, 47, 11.36, P8
2020/06/12 15:28:59.964, 1, 0, 11178, 249, 10929, 45, 62.58, P2
2020/06/12 15:28:59.967, 0, 0, 11176, 29, 11147, 47, 12.14, P8
2020/06/12 15:29:00.970, 6, 0, 11178, 893, 10285, 45, 63.65, P2
2020/06/12 15:29:00.972, 0, 0, 11176, 29, 11147, 47, 12.53, P8
2020/06/12 15:29:01.976, 0, 0, 11178, 1033, 10145, 46, 61.99, P2
2020/06/12 15:29:01.983, 6, 0, 11176, 446, 10730, 48, 62.13, P2
2020/06/12 15:29:02.985, 93, 39, 11178, 4779, 6399, 48, 99.68, P2
2020/06/12 15:29:02.990, 99, 44, 11176, 4522, 6654, 49, 84.28, P2
2020/06/12 15:29:03.992, 97, 37, 11178, 5921, 5257, 50, 232.86, P2
2020/06/12 15:29:03.999, 78, 14, 11176, 4570, 6606, 52, 235.00, P2
2020/06/12 15:29:05.001, 99, 45, 11178, 5921, 5257, 50, 141.91, P2
2020/06/12 15:29:05.003, 100, 46, 11176, 4570, 6606, 52, 85.70, P2
2020/06/12 15:29:06.005, 97, 33, 11178, 5921, 5257, 51, 257.84, P2
2020/06/12 15:29:06.009, 77, 22, 11176, 4570, 6606, 53, 254.58, P2
2020/06/12 15:29:07.011, 100, 46, 11178, 5921, 5257, 52, 257.03, P2
2020/06/12 15:29:07.013, 100, 37, 11176, 4570, 6606, 53, 236.43, P2
2020/06/12 15:29:08.015, 96, 37, 11178, 5921, 5257, 52, 298.35, P2
2020/06/12 15:29:08.019, 99, 38, 11176, 4570, 6606, 52, 296.89, P2
2020/06/12 15:29:09.034, 98, 39, 11178, 5921, 5257, 53, 232.18, P2
2020/06/12 15:29:09.040, 78, 23, 11176, 4570, 6606, 54, 240.69, P2
2020/06/12 15:29:10.049, 99, 45, 11178, 5921, 5257, 52, 111.30, P2
2020/06/12 15:29:10.051, 99, 45, 11176, 4570, 6606, 53, 126.19, P2
2020/06/12 15:29:11.053, 97, 34, 11178, 5921, 5257, 53, 233.28, P2
2020/06/12 15:29:11.056, 77, 13, 11176, 4570, 6606, 55, 230.23, P2
2020/06/12 15:29:12.061, 99, 45, 11178, 5921, 5257, 54, 133.37, P2
2020/06/12 15:29:12.063, 100, 45, 11176, 4570, 6606, 55, 87.56, P2
2020/06/12 15:29:13.065, 96, 36, 11178, 5921, 5257, 54, 254.22, P2
2020/06/12 15:29:13.068, 83, 25, 11176, 4570, 6606, 55, 240.71, P2
2020/06/12 15:29:14.084, 99, 43, 11178, 5921, 5257, 55, 173.10, P2
2020/06/12 15:29:14.090, 99, 44, 11176, 4570, 6606, 56, 147.57, P2
2020/06/12 15:29:15.096, 97, 36, 11178, 5921, 5257, 55, 294.91, P2
2020/06/12 15:29:15.104, 78, 14, 11176, 4570, 6606, 56, 292.94, P2
2020/06/12 15:29:16.113, 97, 43, 11178, 5921, 5257, 55, 227.55, P2
2020/06/12 15:29:16.116, 100, 45, 11176, 4570, 6606, 56, 248.81, P2
2020/06/12 15:29:17.118, 99, 45, 11178, 5921, 5257, 55, 105.67, P2
2020/06/12 15:29:17.120, 76, 22, 11176, 4570, 6606, 56, 87.48, P2
2020/06/12 15:29:18.123, 97, 33, 11178, 5921, 5257, 56, 222.81, P2
2020/06/12 15:29:18.132, 100, 39, 11176, 4570, 6606, 57, 249.46, P2
2020/06/12 15:29:19.137, 99, 46, 11178, 5921, 5257, 56, 116.11, P2
2020/06/12 15:29:19.142, 99, 38, 11176, 4570, 6606, 57, 87.85, P2
2020/06/12 15:29:20.150, 97, 41, 11178, 5921, 5257, 57, 261.99, P2
2020/06/12 15:29:20.154, 78, 22, 11176, 4570, 6606, 58, 238.66, P2
2020/06/12 15:29:21.168, 99, 36, 11178, 5921, 5257, 57, 160.07, P2
2020/06/12 15:29:21.174, 99, 44, 11176, 4570, 6606, 58, 122.90, P2
2020/06/12 15:29:22.187, 97, 37, 11178, 5921, 5257, 57, 290.58, P2
2020/06/12 15:29:22.192, 77, 14, 11176, 4570, 6606, 58, 292.54, P2
2020/06/12 15:29:23.195, 99, 45, 11178, 5921, 5257, 58, 255.53, P2
2020/06/12 15:29:23.205, 100, 45, 11176, 4570, 6606, 59, 257.60, P2
2020/06/12 15:29:24.216, 97, 35, 11178, 5921, 5257, 58, 229.08, P2
2020/06/12 15:29:24.218, 83, 26, 11176, 4570, 6606, 58, 232.24, P2
2020/06/12 15:29:25.220, 99, 46, 11178, 5921, 5257, 59, 246.56, P2
2020/06/12 15:29:25.223, 95, 32, 11176, 4570, 6606, 59, 237.87, P2
2020/06/12 15:29:26.232, 98, 34, 11178, 5921, 5257, 59, 154.48, P2
2020/06/12 15:29:26.234, 99, 44, 11176, 4570, 6606, 59, 85.71, P2
2020/06/12 15:29:27.236, 97, 43, 11178, 5921, 5257, 59, 247.80, P2
2020/06/12 15:29:27.240, 78, 16, 11176, 4570, 6606, 60, 244.25, P2
2020/06/12 15:29:28.247, 99, 44, 11178, 5921, 5257, 59, 203.54, P2
2020/06/12 15:29:28.249, 100, 45, 11176, 4570, 6606, 60, 148.39, P2
2020/06/12 15:29:29.259, 94, 34, 11178, 5921, 5257, 59, 301.27, P2
2020/06/12 15:29:29.270, 75, 17, 11176, 4570, 6606, 60, 286.97, P2
2020/06/12 15:29:30.295, 99, 45, 11178, 5921, 5257, 60, 259.89, P2
2020/06/12 15:29:30.299, 100, 42, 11176, 4570, 6606, 61, 247.18, P2
2020/06/12 15:29:31.301, 98, 43, 11178, 5921, 5257, 59, 183.35, P2
2020/06/12 15:29:31.303, 99, 35, 11176, 4570, 6606, 60, 194.40, P2
2020/06/12 15:29:32.305, 99, 35, 11178, 5921, 5257, 60, 236.33, P2
2020/06/12 15:29:32.307, 78, 23, 11176, 4570, 6606, 61, 230.83, P2
2020/06/12 15:29:33.312, 99, 45, 11178, 5921, 5257, 60, 262.94, P2
2020/06/12 15:29:33.314, 100, 46, 11176, 4570, 6606, 61, 257.67, P2
2020/06/12 15:29:34.319, 97, 37, 11178, 5921, 5257, 60, 287.31, P2
2020/06/12 15:29:34.325, 87, 28, 11176, 4570, 6606, 61, 289.55, P2
2020/06/12 15:29:35.327, 100, 43, 11178, 5921, 5257, 61, 239.32, P2
2020/06/12 15:29:35.329, 92, 31, 11176, 4570, 6606, 62, 230.12, P2
2020/06/12 15:29:36.331, 97, 36, 11178, 5921, 5257, 61, 156.60, P2
2020/06/12 15:29:36.334, 99, 44, 11176, 4570, 6606, 61, 86.50, P2
2020/06/12 15:29:37.339, 97, 42, 11178, 5921, 5257, 61, 230.93, P2
2020/06/12 15:29:37.350, 78, 14, 11176, 4570, 6606, 62, 237.12, P2
2020/06/12 15:29:38.360, 99, 45, 11178, 5921, 5257, 62, 115.75, P2
2020/06/12 15:29:38.362, 100, 45, 11176, 4570, 6606, 63, 105.93, P2
2020/06/12 15:29:39.368, 94, 32, 11178, 5921, 5257, 61, 290.97, P2
2020/06/12 15:29:39.370, 75, 20, 11176, 4570, 6606, 62, 289.74, P2
2020/06/12 15:29:40.380, 99, 46, 11178, 5921, 5257, 62, 262.87, P2
2020/06/12 15:29:40.385, 100, 41, 11176, 4570, 6606, 63, 244.54, P2
2020/06/12 15:29:41.388, 97, 36, 11178, 5921, 5257, 61, 151.87, P2
2020/06/12 15:29:41.392, 99, 37, 11176, 4570, 6606, 62, 186.19, P2
2020/06/12 15:29:42.396, 98, 42, 11178, 5921, 5257, 62, 233.28, P2
2020/06/12 15:29:42.400, 76, 21, 11176, 4570, 6606, 63, 231.97, P2
2020/06/12 15:29:43.405, 99, 44, 11178, 5921, 5257, 62, 107.61, P2
2020/06/12 15:29:43.407, 99, 45, 11176, 4570, 6606, 63, 94.07, P2
2020/06/12 15:29:44.412, 97, 33, 11178, 5921, 5257, 62, 277.46, P2
2020/06/12 15:29:44.417, 77, 13, 11176, 4570, 6606, 63, 278.64, P2
2020/06/12 15:29:45.421, 99, 46, 11178, 5921, 5257, 63, 262.08, P2
2020/06/12 15:29:45.429, 100, 46, 11176, 4570, 6606, 64, 265.51, P2
2020/06/12 15:29:46.431, 98, 39, 11178, 5921, 5257, 62, 276.96, P2
2020/06/12 15:29:46.434, 98, 33, 11176, 4570, 6606, 63, 291.52, P2
2020/06/12 15:29:47.446, 99, 38, 11178, 5921, 5257, 63, 234.59, P2
2020/06/12 15:29:47.448, 81, 26, 11176, 4570, 6606, 64, 232.16, P2
2020/06/12 15:29:48.451, 99, 44, 11178, 5921, 5257, 63, 158.73, P2
2020/06/12 15:29:48.453, 99, 44, 11176, 4570, 6606, 64, 88.14, P2
2020/06/12 15:29:49.460, 97, 33, 11178, 5921, 5257, 63, 232.57, P2
2020/06/12 15:29:49.467, 77, 13, 11176, 4570, 6606, 65, 230.48, P2
2020/06/12 15:29:50.482, 99, 45, 11178, 5921, 5257, 63, 115.55, P2
2020/06/12 15:29:50.485, 100, 45, 11176, 4570, 6606, 65, 107.95, P2
2020/06/12 15:29:51.490, 96, 39, 11178, 5921, 5257, 63, 284.14, P2
2020/06/12 15:29:51.493, 82, 25, 11176, 4570, 6606, 65, 291.31, P2
2020/06/12 15:29:52.498, 100, 40, 11178, 5921, 5257, 64, 253.13, P2
2020/06/12 15:29:52.501, 99, 34, 11176, 4570, 6606, 65, 232.95, P2
2020/06/12 15:29:53.506, 98, 40, 11178, 5921, 5257, 63, 116.30, P2
2020/06/12 15:29:53.509, 99, 44, 11176, 4570, 6606, 65, 124.52, P2
2020/06/12 15:29:54.512, 97, 40, 11178, 5921, 5257, 64, 238.83, P2
2020/06/12 15:29:54.514, 78, 16, 11176, 4570, 6606, 66, 236.37, P2
2020/06/12 15:29:55.519, 99, 45, 11178, 5921, 5257, 64, 114.08, P2
2020/06/12 15:29:55.523, 100, 45, 11176, 4570, 6606, 66, 93.39, P2
2020/06/12 15:29:56.524, 97, 34, 11178, 5921, 5257, 64, 273.15, P2
2020/06/12 15:29:56.527, 77, 18, 11176, 4570, 6606, 66, 279.77, P2
2020/06/12 15:29:57.532, 99, 45, 11178, 5921, 5257, 64, 256.18, P2
2020/06/12 15:29:57.534, 100, 42, 11176, 4570, 6606, 67, 256.06, P2
2020/06/12 15:29:58.538, 98, 41, 11178, 5921, 5257, 64, 297.71, P2
2020/06/12 15:29:58.540, 87, 25, 11176, 4570, 6606, 66, 301.13, P2
2020/06/12 15:29:59.549, 98, 35, 11178, 5921, 5257, 64, 234.55, P2
2020/06/12 15:29:59.551, 91, 31, 11176, 4570, 6606, 67, 226.85, P2
2020/06/12 15:30:00.556, 99, 44, 11178, 5921, 5257, 64, 111.96, P2
2020/06/12 15:30:00.563, 99, 44, 11176, 4570, 6606, 66, 91.16, P2
2020/06/12 15:30:01.569, 97, 35, 11178, 5921, 5257, 64, 230.93, P2
2020/06/12 15:30:01.573, 78, 14, 11176, 4570, 6606, 67, 237.02, P2
2020/06/12 15:30:02.582, 99, 45, 11178, 5921, 5257, 65, 110.62, P2
