timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/06/12 20:38:18.998, 0, 0, 11178, 2, 11176, 37, 10.58, P8
2020/06/12 20:38:19.002, 0, 0, 11176, 18, 11158, 38, 12.14, P8
2020/06/12 20:38:20.007, 0, 0, 11178, 2, 11176, 37, 9.71, P8
2020/06/12 20:38:20.010, 0, 0, 11176, 18, 11158, 38, 11.75, P8
2020/06/12 20:38:21.013, 0, 0, 11178, 12, 11166, 37, 9.71, P8
2020/06/12 20:38:21.017, 0, 0, 11176, 29, 11147, 38, 11.17, P8
2020/06/12 20:38:22.020, 0, 0, 11178, 12, 11166, 37, 10.29, P8
2020/06/12 20:38:22.024, 0, 0, 11176, 29, 11147, 38, 10.97, P8
2020/06/12 20:38:23.027, 0, 0, 11178, 12, 11166, 37, 10.68, P8
2020/06/12 20:38:23.031, 0, 0, 11176, 29, 11147, 38, 10.49, P8
2020/06/12 20:38:24.034, 0, 0, 11178, 12, 11166, 37, 10.58, P8
2020/06/12 20:38:24.038, 0, 0, 11176, 29, 11147, 38, 11.27, P8
2020/06/12 20:38:25.041, 0, 0, 11178, 12, 11166, 37, 9.80, P8
2020/06/12 20:38:25.044, 0, 0, 11176, 29, 11147, 38, 11.65, P8
2020/06/12 20:38:26.048, 0, 0, 11178, 12, 11166, 37, 9.71, P8
2020/06/12 20:38:26.051, 0, 0, 11176, 29, 11147, 38, 11.36, P8
2020/06/12 20:38:27.054, 0, 0, 11178, 12, 11166, 37, 10.00, P8
2020/06/12 20:38:27.058, 0, 0, 11176, 29, 11147, 38, 10.78, P8
2020/06/12 20:38:28.061, 0, 0, 11178, 12, 11166, 37, 10.58, P8
2020/06/12 20:38:28.064, 0, 0, 11176, 29, 11147, 38, 10.49, P8
2020/06/12 20:38:29.068, 0, 0, 11178, 12, 11166, 37, 10.68, P8
2020/06/12 20:38:29.072, 0, 0, 11176, 29, 11147, 38, 10.68, P8
2020/06/12 20:38:30.075, 0, 0, 11178, 12, 11166, 37, 10.87, P8
2020/06/12 20:38:30.079, 0, 0, 11176, 29, 11147, 38, 11.36, P8
2020/06/12 20:38:31.082, 0, 0, 11178, 12, 11166, 37, 10.29, P8
2020/06/12 20:38:31.086, 0, 0, 11176, 29, 11147, 38, 11.46, P8
2020/06/12 20:38:32.089, 0, 0, 11178, 12, 11166, 37, 9.80, P8
2020/06/12 20:38:32.092, 0, 0, 11176, 29, 11147, 38, 11.07, P8
2020/06/12 20:38:33.096, 0, 0, 11178, 12, 11166, 37, 10.19, P8
2020/06/12 20:38:33.099, 0, 0, 11176, 29, 11147, 38, 10.49, P8
2020/06/12 20:38:34.102, 0, 0, 11178, 12, 11166, 37, 10.68, P8
2020/06/12 20:38:34.106, 0, 0, 11176, 29, 11147, 38, 10.30, P8
2020/06/12 20:38:35.109, 0, 0, 11178, 12, 11166, 37, 10.87, P8
2020/06/12 20:38:35.112, 0, 0, 11176, 29, 11147, 38, 10.88, P8
2020/06/12 20:38:36.116, 0, 0, 11178, 12, 11166, 37, 10.09, P8
2020/06/12 20:38:36.119, 0, 0, 11176, 29, 11147, 38, 11.75, P8
2020/06/12 20:38:37.122, 0, 0, 11178, 12, 11166, 37, 9.61, P8
2020/06/12 20:38:37.126, 0, 0, 11176, 29, 11147, 38, 11.75, P8
2020/06/12 20:38:38.129, 0, 0, 11178, 12, 11166, 37, 9.61, P8
2020/06/12 20:38:38.132, 0, 0, 11176, 29, 11147, 38, 11.07, P8
2020/06/12 20:38:39.136, 0, 0, 11178, 12, 11166, 37, 10.39, P8
2020/06/12 20:38:39.139, 0, 0, 11176, 29, 11147, 38, 10.49, P8
2020/06/12 20:38:40.142, 0, 0, 11178, 12, 11166, 37, 10.68, P8
2020/06/12 20:38:40.146, 0, 0, 11176, 29, 11147, 38, 10.49, P8
2020/06/12 20:38:41.149, 0, 0, 11178, 12, 11166, 37, 10.39, P8
2020/06/12 20:38:41.153, 0, 0, 11176, 29, 11147, 38, 11.17, P8
2020/06/12 20:38:42.156, 0, 0, 11178, 12, 11166, 37, 9.90, P8
2020/06/12 20:38:42.159, 0, 0, 11176, 29, 11147, 38, 11.65, P8
2020/06/12 20:38:43.163, 0, 0, 11178, 12, 11166, 37, 9.80, P8
2020/06/12 20:38:43.166, 0, 0, 11176, 29, 11147, 38, 11.36, P8
2020/06/12 20:38:44.169, 0, 0, 11178, 12, 11166, 37, 9.80, P8
2020/06/12 20:38:44.173, 0, 0, 11176, 29, 11147, 38, 10.78, P8
2020/06/12 20:38:45.176, 0, 0, 11178, 12, 11166, 37, 10.48, P8
2020/06/12 20:38:45.180, 0, 0, 11176, 29, 11147, 38, 10.39, P8
2020/06/12 20:38:46.183, 0, 0, 11178, 12, 11166, 37, 10.68, P8
2020/06/12 20:38:46.186, 0, 0, 11176, 29, 11147, 38, 10.68, P8
2020/06/12 20:38:47.190, 0, 0, 11178, 12, 11166, 37, 10.29, P8
2020/06/12 20:38:47.193, 0, 0, 11176, 29, 11147, 38, 11.46, P8
2020/06/12 20:38:48.196, 0, 0, 11178, 12, 11166, 36, 9.71, P8
2020/06/12 20:38:48.200, 0, 0, 11176, 29, 11147, 38, 11.56, P8
2020/06/12 20:38:49.203, 0, 0, 11178, 12, 11166, 37, 9.51, P8
2020/06/12 20:38:49.207, 0, 0, 11176, 29, 11147, 38, 11.17, P8
2020/06/12 20:38:50.210, 0, 0, 11178, 12, 11166, 37, 10.09, P8
2020/06/12 20:38:50.213, 0, 0, 11176, 29, 11147, 38, 10.68, P8
2020/06/12 20:38:51.217, 0, 0, 11178, 12, 11166, 36, 10.97, P8
2020/06/12 20:38:51.220, 0, 0, 11176, 29, 11147, 38, 10.39, P8
2020/06/12 20:38:52.223, 0, 0, 11178, 12, 11166, 36, 10.87, P8
2020/06/12 20:38:52.227, 0, 0, 11176, 29, 11147, 38, 11.17, P8
