timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/06/10 16:29:33.796, 0, 0, 11178, 2, 11176, 33, 9.71, P8
2020/06/10 16:29:33.801, 0, 0, 11176, 18, 11158, 32, 10.59, P8
2020/06/10 16:29:38.805, 0, 0, 11178, 12, 11166, 33, 9.61, P8
2020/06/10 16:29:38.808, 0, 0, 11176, 29, 11147, 32, 10.20, P8
2020/06/10 16:29:43.812, 99, 45, 11178, 5921, 5257, 39, 108.36, P2
2020/06/10 16:29:43.814, 99, 43, 11176, 4570, 6606, 38, 101.37, P2
2020/06/10 16:29:48.817, 99, 45, 11178, 5921, 5257, 41, 260.88, P2
2020/06/10 16:29:48.819, 78, 24, 11176, 4570, 6606, 40, 250.76, P2
2020/06/10 16:29:53.822, 100, 43, 11178, 5921, 5257, 43, 250.23, P2
2020/06/10 16:29:53.834, 78, 13, 11176, 4570, 6606, 42, 258.87, P2
2020/06/10 16:29:58.840, 97, 39, 11178, 5921, 5257, 45, 262.40, P2
2020/06/10 16:29:58.849, 77, 11, 11176, 4570, 6606, 44, 269.85, P2
2020/06/10 16:30:03.852, 99, 35, 11178, 5921, 5257, 47, 85.00, P2
2020/06/10 16:30:03.859, 77, 21, 11176, 4570, 6606, 44, 79.83, P2
2020/06/10 16:30:08.861, 96, 38, 11178, 5945, 5233, 49, 298.14, P2
2020/06/10 16:30:08.866, 77, 11, 11176, 4594, 6582, 46, 298.71, P2
2020/06/10 16:30:13.876, 99, 34, 11178, 5945, 5233, 50, 119.24, P2
2020/06/10 16:30:13.878, 77, 18, 11176, 4594, 6582, 48, 84.36, P2
2020/06/10 16:30:18.897, 99, 44, 11178, 5945, 5233, 53, 143.20, P2
2020/06/10 16:30:18.899, 100, 43, 11176, 4594, 6582, 51, 128.70, P2
2020/06/10 16:30:23.903, 97, 37, 11178, 5945, 5233, 55, 251.32, P2
2020/06/10 16:30:23.910, 91, 31, 11176, 4594, 6582, 52, 241.36, P2
2020/06/10 16:30:28.913, 96, 32, 11178, 5945, 5233, 56, 236.35, P2
2020/06/10 16:30:28.922, 78, 14, 11176, 4594, 6582, 53, 244.74, P2
2020/06/10 16:30:33.937, 98, 37, 11178, 5945, 5233, 58, 245.81, P2
2020/06/10 16:30:33.942, 100, 43, 11176, 4594, 6582, 55, 274.45, P2
2020/06/10 16:30:38.944, 97, 34, 11178, 5945, 5233, 59, 267.19, P2
2020/06/10 16:30:38.947, 78, 23, 11176, 4594, 6582, 56, 267.63, P2
2020/06/10 16:30:43.954, 97, 41, 11178, 5945, 5233, 59, 105.00, P2
2020/06/10 16:30:43.962, 99, 44, 11176, 4594, 6582, 57, 87.36, P2
2020/06/10 16:30:48.965, 99, 39, 11178, 5945, 5233, 61, 159.49, P2
2020/06/10 16:30:48.971, 100, 45, 11176, 4594, 6582, 59, 129.19, P2
2020/06/10 16:30:53.979, 97, 40, 11178, 5945, 5233, 61, 241.65, P2
2020/06/10 16:30:53.982, 98, 34, 11176, 4594, 6582, 60, 238.08, P2
