timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/06/22 13:52:12.487, 0, 0, 11178, 2, 11176, 40, 11.46, P8
2020/06/22 13:52:12.491, 0, 0, 11176, 66, 11110, 42, 12.14, P8
2020/06/22 13:52:13.495, 0, 0, 11178, 2, 11176, 40, 11.07, P8
2020/06/22 13:52:13.499, 0, 0, 11176, 66, 11110, 42, 11.17, P8
2020/06/22 13:52:14.502, 0, 0, 11178, 12, 11166, 40, 10.39, P8
2020/06/22 13:52:14.506, 0, 0, 11176, 77, 11099, 42, 10.88, P8
2020/06/22 13:52:15.509, 0, 0, 11178, 12, 11166, 40, 9.81, P8
2020/06/22 13:52:15.513, 0, 0, 11176, 77, 11099, 42, 10.98, P8
2020/06/22 13:52:16.516, 0, 0, 11178, 12, 11166, 40, 9.81, P8
2020/06/22 13:52:16.520, 0, 0, 11176, 77, 11099, 42, 11.46, P8
2020/06/22 13:52:17.523, 0, 0, 11178, 12, 11166, 40, 10.58, P8
2020/06/22 13:52:17.527, 0, 0, 11176, 77, 11099, 42, 11.85, P8
2020/06/22 13:52:18.530, 4, 0, 11178, 371, 10807, 41, 61.92, P2
2020/06/22 13:52:18.532, 0, 0, 11176, 77, 11099, 42, 11.46, P8
2020/06/22 13:52:19.535, 6, 0, 11178, 1033, 10145, 41, 61.79, P2
2020/06/22 13:52:19.538, 6, 0, 11176, 284, 10892, 42, 60.48, P2
2020/06/22 13:52:20.540, 0, 0, 11178, 1033, 10145, 41, 61.11, P2
2020/06/22 13:52:20.542, 4, 0, 11176, 628, 10548, 42, 60.27, P2
2020/06/22 13:52:21.544, 93, 40, 11178, 9159, 2019, 45, 271.80, P2
2020/06/22 13:52:21.550, 77, 23, 11176, 7894, 3282, 46, 268.69, P2
2020/06/22 13:52:22.552, 99, 47, 11178, 9159, 2019, 47, 268.05, P2
2020/06/22 13:52:22.555, 100, 47, 11176, 7894, 3282, 47, 275.07, P2
2020/06/22 13:52:23.557, 98, 42, 11178, 9159, 2019, 47, 266.32, P2
2020/06/22 13:52:23.561, 78, 24, 11176, 7894, 3282, 48, 257.79, P2
2020/06/22 13:52:24.583, 100, 46, 11178, 9159, 2019, 48, 270.97, P2
2020/06/22 13:52:24.585, 100, 47, 11176, 7894, 3282, 49, 278.91, P2
2020/06/22 13:52:25.587, 99, 40, 11178, 9159, 2019, 48, 265.73, P2
2020/06/22 13:52:25.591, 78, 22, 11176, 7894, 3282, 49, 277.27, P2
2020/06/22 13:52:26.601, 100, 46, 11178, 9159, 2019, 49, 273.63, P2
2020/06/22 13:52:26.603, 100, 46, 11176, 7894, 3282, 50, 279.46, P2
2020/06/22 13:52:27.605, 99, 43, 11178, 9159, 2019, 49, 266.89, P2
2020/06/22 13:52:27.607, 78, 20, 11176, 7894, 3282, 50, 257.60, P2
2020/06/22 13:52:28.617, 100, 46, 11178, 9159, 2019, 50, 262.75, P2
2020/06/22 13:52:28.624, 100, 45, 11176, 7894, 3282, 51, 269.26, P2
