timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/06/19 16:16:26.267, 0, 0, 11178, 2, 11176, 37, 10.39, P8
2020/06/19 16:16:26.271, 0, 0, 11176, 67, 11109, 36, 11.07, P8
2020/06/19 16:16:27.275, 0, 0, 11178, 2, 11176, 37, 10.77, P8
2020/06/19 16:16:27.278, 0, 0, 11176, 67, 11109, 36, 11.56, P8
2020/06/19 16:16:28.282, 0, 0, 11178, 12, 11166, 37, 10.87, P8
2020/06/19 16:16:28.285, 0, 0, 11176, 77, 11099, 36, 11.46, P8
2020/06/19 16:16:29.289, 0, 0, 11178, 12, 11166, 37, 10.29, P8
2020/06/19 16:16:29.292, 0, 0, 11176, 77, 11099, 36, 11.07, P8
2020/06/19 16:16:30.296, 0, 0, 11178, 12, 11166, 37, 9.71, P8
2020/06/19 16:16:30.299, 0, 0, 11176, 77, 11099, 36, 10.59, P8
2020/06/19 16:16:31.303, 0, 0, 11178, 12, 11166, 37, 10.00, P8
2020/06/19 16:16:31.306, 0, 0, 11176, 77, 11099, 36, 10.59, P8
2020/06/19 16:16:32.309, 0, 0, 11178, 12, 11166, 37, 10.39, P8
2020/06/19 16:16:32.313, 0, 0, 11176, 77, 11099, 36, 10.97, P8
2020/06/19 16:16:33.316, 0, 0, 11178, 12, 11166, 37, 10.68, P8
2020/06/19 16:16:33.320, 0, 0, 11176, 77, 11099, 36, 11.56, P8
2020/06/19 16:16:34.323, 4, 0, 11178, 379, 10799, 38, 61.41, P2
2020/06/19 16:16:34.326, 0, 0, 11176, 77, 11099, 36, 11.26, P8
2020/06/19 16:16:35.330, 0, 0, 11178, 1033, 10145, 38, 60.73, P2
2020/06/19 16:16:35.332, 4, 0, 11176, 290, 10886, 36, 59.69, P2
2020/06/19 16:16:36.334, 0, 0, 11178, 1033, 10145, 38, 60.53, P2
2020/06/19 16:16:36.336, 6, 0, 11176, 630, 10546, 37, 59.40, P2
2020/06/19 16:16:37.338, 98, 43, 11178, 5921, 5257, 42, 144.92, P2
2020/06/19 16:16:37.340, 99, 45, 11176, 4618, 6558, 40, 79.91, P2
2020/06/19 16:16:38.345, 96, 29, 11178, 5921, 5257, 43, 283.65, P2
2020/06/19 16:16:38.355, 76, 17, 11176, 4618, 6558, 41, 278.02, P2
2020/06/19 16:16:39.357, 99, 46, 11178, 5921, 5257, 44, 269.84, P2
2020/06/19 16:16:39.359, 93, 31, 11176, 4618, 6558, 42, 250.43, P2
2020/06/19 16:16:40.361, 98, 36, 11178, 5921, 5257, 43, 117.68, P2
2020/06/19 16:16:40.363, 99, 45, 11176, 4618, 6558, 42, 82.62, P2
2020/06/19 16:16:41.365, 82, 38, 11178, 5921, 5257, 44, 252.28, P2
2020/06/19 16:16:41.369, 47, 21, 11176, 4618, 6558, 42, 244.85, P2
2020/06/19 16:16:42.371, 99, 44, 11178, 5921, 5257, 45, 103.74, P2
2020/06/19 16:16:42.373, 100, 45, 11176, 4618, 6558, 43, 86.59, P2
2020/06/19 16:16:43.376, 97, 31, 11178, 5921, 5257, 45, 286.08, P2
2020/06/19 16:16:43.394, 83, 23, 11176, 4618, 6558, 43, 272.36, P2
2020/06/19 16:16:44.404, 100, 43, 11178, 5921, 5257, 46, 261.32, P2
2020/06/19 16:16:44.406, 83, 27, 11176, 4618, 6558, 44, 250.76, P2
2020/06/19 16:16:45.408, 99, 38, 11178, 5921, 5257, 46, 109.61, P2
2020/06/19 16:16:45.411, 99, 44, 11176, 4618, 6558, 44, 82.42, P2
2020/06/19 16:16:46.413, 97, 34, 11178, 5921, 5257, 46, 250.84, P2
2020/06/19 16:16:46.417, 77, 15, 11176, 4618, 6558, 45, 243.00, P2
2020/06/19 16:16:47.419, 100, 46, 11178, 5921, 5257, 47, 266.52, P2
2020/06/19 16:16:47.421, 99, 34, 11176, 4618, 6558, 45, 248.16, P2
2020/06/19 16:16:48.423, 98, 34, 11178, 5921, 5257, 47, 103.16, P2
2020/06/19 16:16:48.427, 99, 44, 11176, 4618, 6558, 44, 83.68, P2
2020/06/19 16:16:49.433, 97, 38, 11178, 5921, 5257, 48, 242.51, P2
2020/06/19 16:16:49.436, 77, 12, 11176, 4618, 6558, 46, 248.50, P2
2020/06/19 16:16:50.446, 99, 45, 11178, 5921, 5257, 49, 262.37, P2
2020/06/19 16:16:50.448, 100, 38, 11176, 4618, 6558, 47, 189.24, P2
2020/06/19 16:16:51.455, 97, 34, 11178, 5921, 5257, 48, 218.30, P2
