timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/06/19 19:12:45.468, 0, 0, 11178, 2, 11176, 35, 10.10, P8
2020/06/19 19:12:45.472, 0, 0, 11176, 66, 11110, 34, 10.39, P8
2020/06/19 19:12:46.476, 0, 0, 11178, 2, 11176, 34, 9.61, P8
2020/06/19 19:12:46.479, 0, 0, 11176, 66, 11110, 34, 10.49, P8
2020/06/19 19:12:47.482, 0, 0, 11178, 12, 11166, 35, 10.20, P8
2020/06/19 19:12:47.486, 0, 0, 11176, 76, 11100, 34, 11.07, P8
2020/06/19 19:12:48.489, 0, 0, 11178, 12, 11166, 34, 10.58, P8
2020/06/19 19:12:48.493, 0, 0, 11176, 76, 11100, 34, 11.17, P8
2020/06/19 19:12:49.496, 0, 0, 11178, 12, 11166, 34, 10.68, P8
2020/06/19 19:12:49.500, 0, 0, 11176, 76, 11100, 34, 10.68, P8
2020/06/19 19:12:50.504, 0, 0, 11178, 12, 11166, 35, 10.19, P8
2020/06/19 19:12:50.507, 0, 0, 11176, 76, 11100, 34, 10.10, P8
2020/06/19 19:12:51.510, 0, 0, 11178, 12, 11166, 34, 9.51, P8
2020/06/19 19:12:51.514, 0, 0, 11176, 76, 11100, 34, 10.00, P8
2020/06/19 19:12:52.517, 0, 0, 11178, 12, 11166, 34, 9.71, P8
2020/06/19 19:12:52.521, 0, 0, 11176, 76, 11100, 34, 10.59, P8
2020/06/19 19:12:53.524, 0, 0, 11178, 12, 11166, 34, 10.29, P8
2020/06/19 19:12:53.527, 0, 0, 11176, 76, 11100, 34, 11.07, P8
2020/06/19 19:12:54.531, 0, 0, 11178, 12, 11166, 35, 10.48, P8
2020/06/19 19:12:54.534, 0, 0, 11176, 76, 11100, 34, 11.07, P8
2020/06/19 19:12:55.537, 0, 0, 11178, 12, 11166, 34, 10.97, P8
2020/06/19 19:12:55.540, 0, 0, 11176, 76, 11100, 34, 10.59, P8
2020/06/19 19:12:56.544, 0, 0, 11178, 12, 11166, 35, 10.10, P8
2020/06/19 19:12:56.547, 0, 0, 11176, 76, 11100, 34, 10.20, P8
2020/06/19 19:12:57.551, 0, 0, 11178, 12, 11166, 35, 9.81, P8
2020/06/19 19:12:57.554, 0, 0, 11176, 76, 11100, 34, 10.39, P8
2020/06/19 19:12:58.558, 4, 0, 11178, 329, 10849, 35, 60.55, P2
2020/06/19 19:12:58.560, 0, 0, 11176, 76, 11100, 34, 10.97, P8
