timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/06/18 22:57:37.908, 0, 0, 11178, 2, 11176, 32, 9.42, P8
2020/06/18 22:57:37.912, 0, 0, 11176, 18, 11158, 31, 11.65, P8
2020/06/18 22:57:38.916, 0, 0, 11178, 2, 11176, 32, 9.51, P8
2020/06/18 22:57:38.920, 0, 0, 11176, 18, 11158, 31, 10.97, P8
2020/06/18 22:57:39.923, 0, 0, 11178, 12, 11166, 32, 10.00, P8
2020/06/18 22:57:39.927, 0, 0, 11176, 29, 11147, 31, 10.39, P8
2020/06/18 22:57:40.931, 0, 0, 11178, 12, 11166, 32, 10.58, P8
2020/06/18 22:57:40.934, 0, 0, 11176, 29, 11147, 31, 10.30, P8
2020/06/18 22:57:41.938, 0, 0, 11178, 12, 11166, 32, 10.29, P8
2020/06/18 22:57:41.941, 0, 0, 11176, 29, 11147, 31, 10.97, P8
2020/06/18 22:57:42.945, 0, 0, 11178, 12, 11166, 32, 9.71, P8
2020/06/18 22:57:42.948, 0, 0, 11176, 29, 11147, 31, 11.36, P8
2020/06/18 22:57:43.951, 8, 0, 11178, 373, 10805, 33, 59.86, P2
2020/06/18 22:57:43.955, 0, 0, 11176, 29, 11147, 31, 11.46, P8
2020/06/18 22:57:44.959, 0, 0, 11178, 1033, 10145, 33, 60.03, P2
2020/06/18 22:57:44.961, 5, 0, 11176, 244, 10932, 32, 59.20, P2
2020/06/18 22:57:45.963, 0, 0, 11178, 1035, 10143, 33, 60.81, P2
2020/06/18 22:57:45.966, 6, 0, 11176, 672, 10504, 32, 58.82, P2
2020/06/18 22:57:46.968, 99, 44, 11178, 5921, 5257, 36, 94.74, P2
2020/06/18 22:57:46.970, 76, 17, 11176, 4570, 6606, 35, 82.42, P2
2020/06/18 22:57:47.972, 97, 39, 11178, 5921, 5257, 38, 252.45, P2
2020/06/18 22:57:47.974, 78, 15, 11176, 4570, 6606, 37, 253.05, P2
2020/06/18 22:57:48.977, 99, 44, 11178, 5921, 5257, 38, 158.50, P2
2020/06/18 22:57:48.979, 100, 45, 11176, 4570, 6606, 37, 78.52, P2
2020/06/18 22:57:49.985, 97, 35, 11178, 5921, 5257, 39, 253.90, P2
2020/06/18 22:57:49.995, 100, 39, 11176, 4570, 6606, 38, 245.65, P2
2020/06/18 22:57:51.013, 99, 45, 11178, 5921, 5257, 40, 143.95, P2
2020/06/18 22:57:51.021, 99, 35, 11176, 4570, 6606, 38, 79.91, P2
2020/06/18 22:57:52.026, 98, 41, 11178, 5921, 5257, 40, 277.81, P2
2020/06/18 22:57:52.038, 78, 19, 11176, 4570, 6606, 39, 281.99, P2
2020/06/18 22:57:53.043, 99, 39, 11178, 5921, 5257, 41, 270.48, P2
2020/06/18 22:57:53.045, 99, 45, 11176, 4570, 6606, 40, 266.56, P2
2020/06/18 22:57:54.048, 98, 36, 11178, 5921, 5257, 40, 293.66, P2
2020/06/18 22:57:54.052, 75, 13, 11176, 4570, 6606, 39, 285.87, P2
2020/06/18 22:57:55.061, 94, 41, 11178, 5921, 5257, 42, 246.27, P2
2020/06/18 22:57:55.063, 100, 45, 11176, 4570, 6606, 40, 266.60, P2
2020/06/18 22:57:56.065, 99, 44, 11178, 5921, 5257, 41, 97.06, P2
2020/06/18 22:57:56.074, 73, 22, 11176, 4570, 6606, 39, 82.52, P2
2020/06/18 22:57:57.076, 97, 35, 11178, 5921, 5257, 43, 253.05, P2
2020/06/18 22:57:57.081, 100, 41, 11176, 4570, 6606, 41, 263.69, P2
2020/06/18 22:57:58.087, 99, 45, 11178, 5921, 5257, 43, 133.07, P2
2020/06/18 22:57:58.093, 95, 32, 11176, 4570, 6606, 41, 80.18, P2
2020/06/18 22:57:59.098, 97, 35, 11178, 5921, 5257, 43, 251.77, P2
2020/06/18 22:57:59.102, 92, 32, 11176, 4570, 6606, 42, 254.34, P2
2020/06/18 22:58:00.107, 99, 45, 11178, 5921, 5257, 44, 103.93, P2
2020/06/18 22:58:00.109, 99, 41, 11176, 4570, 6606, 42, 88.32, P2
2020/06/18 22:58:01.112, 95, 39, 11178, 5921, 5257, 44, 249.27, P2
2020/06/18 22:58:01.120, 76, 22, 11176, 4570, 6606, 42, 248.72, P2
2020/06/18 22:58:02.122, 100, 46, 11178, 5921, 5257, 45, 109.65, P2
2020/06/18 22:58:02.129, 100, 45, 11176, 4570, 6606, 43, 102.83, P2
2020/06/18 22:58:03.132, 99, 38, 11178, 5921, 5257, 44, 288.68, P2
2020/06/18 22:58:03.135, 71, 14, 11176, 4570, 6606, 42, 281.61, P2
2020/06/18 22:58:04.137, 95, 42, 11178, 5921, 5257, 46, 251.41, P2
2020/06/18 22:58:04.141, 100, 45, 11176, 4570, 6606, 44, 265.91, P2
2020/06/18 22:58:05.143, 99, 44, 11178, 5921, 5257, 45, 100.55, P2
2020/06/18 22:58:05.146, 81, 26, 11176, 4570, 6606, 43, 83.58, P2
2020/06/18 22:58:06.148, 97, 36, 11178, 5921, 5257, 46, 256.52, P2
2020/06/18 22:58:06.154, 100, 37, 11176, 4570, 6606, 44, 257.80, P2
2020/06/18 22:58:07.163, 99, 45, 11178, 5921, 5257, 46, 138.83, P2
2020/06/18 22:58:07.165, 99, 38, 11176, 4570, 6606, 44, 82.89, P2
2020/06/18 22:58:08.167, 97, 35, 11178, 5921, 5257, 47, 246.10, P2
2020/06/18 22:58:08.172, 78, 25, 11176, 4570, 6606, 45, 244.11, P2
2020/06/18 22:58:09.174, 100, 45, 11178, 5921, 5257, 48, 132.08, P2
2020/06/18 22:58:09.177, 99, 44, 11176, 4570, 6606, 46, 120.19, P2
2020/06/18 22:58:10.179, 97, 42, 11178, 5921, 5257, 48, 288.85, P2
2020/06/18 22:58:10.184, 78, 16, 11176, 4570, 6606, 45, 281.63, P2
2020/06/18 22:58:11.213, 99, 39, 11178, 5921, 5257, 49, 268.66, P2
2020/06/18 22:58:11.215, 100, 44, 11176, 4570, 6606, 46, 269.06, P2
2020/06/18 22:58:12.217, 99, 37, 11178, 5921, 5257, 48, 298.50, P2
2020/06/18 22:58:12.228, 77, 15, 11176, 4570, 6606, 46, 290.66, P2
2020/06/18 22:58:13.238, 66, 29, 11178, 5921, 5257, 49, 248.24, P2
2020/06/18 22:58:13.245, 83, 38, 11176, 4570, 6606, 47, 272.65, P2
2020/06/18 22:58:14.250, 99, 45, 11178, 5921, 5257, 49, 110.42, P2
2020/06/18 22:58:14.257, 99, 36, 11176, 4570, 6606, 46, 84.07, P2
2020/06/18 22:58:15.266, 97, 35, 11178, 5921, 5257, 50, 249.87, P2
2020/06/18 22:58:15.270, 79, 26, 11176, 4570, 6606, 47, 259.15, P2
2020/06/18 22:58:16.279, 99, 45, 11178, 5921, 5257, 50, 130.08, P2
2020/06/18 22:58:16.281, 99, 44, 11176, 4570, 6606, 48, 82.70, P2
2020/06/18 22:58:17.287, 93, 40, 11178, 5921, 5257, 50, 246.87, P2
2020/06/18 22:58:17.289, 74, 15, 11176, 4570, 6606, 48, 242.55, P2
2020/06/18 22:58:18.298, 100, 41, 11178, 5921, 5257, 51, 111.55, P2
2020/06/18 22:58:18.300, 100, 46, 11176, 4570, 6606, 49, 102.54, P2
2020/06/18 22:58:19.307, 98, 35, 11178, 5921, 5257, 51, 283.97, P2
2020/06/18 22:58:19.309, 77, 14, 11176, 4570, 6606, 48, 278.52, P2
2020/06/18 22:58:20.317, 98, 43, 11178, 5921, 5257, 52, 246.77, P2
2020/06/18 22:58:20.325, 100, 45, 11176, 4570, 6606, 49, 264.45, P2
2020/06/18 22:58:21.340, 97, 36, 11178, 5921, 5257, 51, 294.29, P2
2020/06/18 22:58:21.350, 77, 20, 11176, 4570, 6606, 49, 286.61, P2
2020/06/18 22:58:22.378, 99, 45, 11178, 5921, 5257, 52, 263.93, P2
2020/06/18 22:58:22.382, 100, 43, 11176, 4570, 6606, 50, 265.60, P2
2020/06/18 22:58:23.392, 96, 35, 11178, 5921, 5257, 52, 288.78, P2
2020/06/18 22:58:23.395, 94, 32, 11176, 4570, 6606, 50, 299.22, P2
2020/06/18 22:58:24.407, 100, 37, 11178, 5921, 5257, 53, 262.63, P2
2020/06/18 22:58:24.410, 77, 18, 11176, 4570, 6606, 50, 251.24, P2
2020/06/18 22:58:25.412, 98, 39, 11178, 5921, 5257, 53, 147.26, P2
2020/06/18 22:58:25.414, 99, 44, 11176, 4570, 6606, 51, 81.44, P2
2020/06/18 22:58:26.416, 97, 42, 11178, 5921, 5257, 54, 241.63, P2
2020/06/18 22:58:26.422, 77, 14, 11176, 4570, 6606, 51, 245.41, P2
2020/06/18 22:58:27.424, 99, 44, 11178, 5921, 5257, 54, 145.25, P2
2020/06/18 22:58:27.428, 100, 45, 11176, 4570, 6606, 52, 138.91, P2
2020/06/18 22:58:28.430, 97, 36, 11178, 5921, 5257, 54, 289.69, P2
2020/06/18 22:58:28.440, 77, 21, 11176, 4570, 6606, 51, 286.11, P2
2020/06/18 22:58:29.458, 99, 44, 11178, 5921, 5257, 55, 272.46, P2
2020/06/18 22:58:29.463, 100, 43, 11176, 4570, 6606, 53, 271.29, P2
2020/06/18 22:58:30.468, 94, 34, 11178, 5921, 5257, 54, 296.57, P2
2020/06/18 22:58:30.477, 95, 32, 11176, 4570, 6606, 52, 299.97, P2
2020/06/18 22:58:31.480, 100, 45, 11178, 5921, 5257, 56, 271.06, P2
2020/06/18 22:58:31.482, 92, 31, 11176, 4570, 6606, 53, 250.07, P2
2020/06/18 22:58:32.484, 97, 44, 11178, 5921, 5257, 55, 102.09, P2
2020/06/18 22:58:32.487, 99, 43, 11176, 4570, 6606, 52, 128.60, P2
2020/06/18 22:58:33.493, 100, 41, 11178, 5921, 5257, 56, 269.98, P2
2020/06/18 22:58:33.496, 78, 20, 11176, 4570, 6606, 54, 237.72, P2
2020/06/18 22:58:34.509, 97, 37, 11178, 5921, 5257, 56, 111.48, P2
2020/06/18 22:58:34.512, 100, 46, 11176, 4570, 6606, 53, 81.38, P2
2020/06/18 22:58:35.517, 96, 20, 11178, 5921, 5257, 55, 131.04, P2
2020/06/18 22:58:35.522, 97, 17, 11176, 4570, 6606, 53, 111.24, P2
2020/06/18 22:58:36.528, 0, 0, 11178, 5921, 5257, 54, 83.86, P2
2020/06/18 22:58:36.530, 0, 0, 11176, 4576, 6600, 52, 80.60, P2
