timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/06/12 23:42:31.762, 0, 0, 11178, 2, 11176, 32, 11.55, P8
2020/06/12 23:42:31.766, 0, 0, 11176, 18, 11158, 31, 10.68, P8
2020/06/12 23:42:32.770, 0, 0, 11178, 2, 11176, 32, 10.68, P8
2020/06/12 23:42:32.774, 0, 0, 11176, 18, 11158, 31, 9.91, P8
2020/06/12 23:42:33.777, 0, 0, 11178, 12, 11166, 32, 10.48, P8
2020/06/12 23:42:33.780, 0, 0, 11176, 29, 11147, 31, 9.91, P8
2020/06/12 23:42:34.784, 0, 0, 11178, 12, 11166, 32, 10.58, P8
2020/06/12 23:42:34.787, 0, 0, 11176, 29, 11147, 31, 10.49, P8
2020/06/12 23:42:35.791, 0, 0, 11178, 12, 11166, 32, 10.29, P8
2020/06/12 23:42:35.795, 0, 0, 11176, 29, 11147, 31, 11.07, P8
2020/06/12 23:42:36.798, 0, 0, 11178, 12, 11166, 32, 10.39, P8
2020/06/12 23:42:36.802, 0, 0, 11176, 29, 11147, 31, 11.46, P8
2020/06/12 23:42:37.806, 0, 0, 11178, 12, 11166, 32, 9.90, P8
2020/06/12 23:42:37.810, 0, 0, 11176, 29, 11147, 31, 10.49, P8
2020/06/12 23:42:38.813, 0, 0, 11178, 12, 11166, 32, 9.90, P8
2020/06/12 23:42:38.817, 0, 0, 11176, 29, 11147, 31, 10.00, P8
2020/06/12 23:42:39.820, 0, 0, 11178, 12, 11166, 32, 10.39, P8
2020/06/12 23:42:39.823, 0, 0, 11176, 29, 11147, 31, 10.10, P8
2020/06/12 23:42:40.827, 0, 0, 11178, 12, 11166, 32, 10.68, P8
2020/06/12 23:42:40.830, 0, 0, 11176, 29, 11147, 31, 10.68, P8
2020/06/12 23:42:41.834, 0, 0, 11178, 12, 11166, 32, 10.19, P8
2020/06/12 23:42:41.837, 0, 0, 11176, 29, 11147, 31, 11.07, P8
2020/06/12 23:42:42.840, 0, 0, 11178, 12, 11166, 32, 9.41, P8
