timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/06/22 10:44:51.724, 0, 0, 11178, 2, 11176, 45, 11.55, P8
2020/06/22 10:44:51.729, 0, 0, 11176, 66, 11110, 44, 12.24, P8
2020/06/22 10:44:52.733, 0, 0, 11178, 2, 11176, 45, 11.07, P8
2020/06/22 10:44:52.736, 0, 0, 11176, 66, 11110, 44, 11.56, P8
2020/06/22 10:44:53.739, 0, 0, 11178, 12, 11166, 45, 10.68, P8
2020/06/22 10:44:53.743, 0, 0, 11176, 76, 11100, 44, 10.88, P8
2020/06/22 10:44:54.746, 0, 0, 11178, 12, 11166, 45, 10.49, P8
2020/06/22 10:44:54.750, 0, 0, 11176, 76, 11100, 44, 10.78, P8
2020/06/22 10:44:55.753, 0, 0, 11178, 12, 11166, 45, 10.77, P8
2020/06/22 10:44:55.757, 0, 0, 11176, 76, 11100, 44, 11.46, P8
2020/06/22 10:44:56.760, 0, 0, 11178, 12, 11166, 45, 11.16, P8
2020/06/22 10:44:56.763, 0, 0, 11176, 76, 11100, 44, 12.04, P8
2020/06/22 10:44:57.767, 4, 0, 11178, 309, 10869, 45, 62.48, P2
2020/06/22 10:44:57.769, 0, 0, 11176, 76, 11100, 44, 11.94, P8
2020/06/22 10:44:58.772, 22, 1, 11178, 1033, 10145, 46, 61.89, P2
2020/06/22 10:44:58.778, 0, 0, 11176, 241, 10935, 44, 60.55, P2
2020/06/22 10:44:59.780, 0, 0, 11178, 1033, 10145, 46, 61.39, P2
2020/06/22 10:44:59.782, 4, 0, 11176, 587, 10589, 45, 60.75, P2
2020/06/22 10:45:00.785, 100, 47, 11178, 7845, 3333, 50, 270.36, P2
2020/06/22 10:45:00.788, 100, 46, 11176, 7885, 3291, 49, 214.83, P2
2020/06/22 10:45:01.794, 97, 43, 11178, 9159, 2019, 51, 258.89, P2
2020/06/22 10:45:01.800, 100, 49, 11176, 7893, 3283, 49, 242.62, P2
2020/06/22 10:45:02.816, 100, 47, 11178, 9159, 2019, 52, 276.14, P2
2020/06/22 10:45:02.819, 100, 46, 11176, 7893, 3283, 50, 276.48, P2
2020/06/22 10:45:03.821, 97, 35, 11178, 9159, 2019, 52, 253.19, P2
2020/06/22 10:45:03.834, 100, 46, 11176, 7893, 3283, 50, 270.21, P2
2020/06/22 10:45:04.841, 100, 47, 11178, 9159, 2019, 53, 272.54, P2
2020/06/22 10:45:04.843, 100, 47, 11176, 7893, 3283, 51, 269.73, P2
2020/06/22 10:45:05.850, 97, 32, 11178, 9159, 2019, 53, 261.13, P2
2020/06/22 10:45:05.853, 97, 36, 11176, 7893, 3283, 51, 267.89, P2
2020/06/22 10:45:06.857, 100, 47, 11178, 9159, 2019, 54, 269.91, P2
2020/06/22 10:45:06.859, 100, 46, 11176, 7893, 3283, 52, 269.83, P2
2020/06/22 10:45:07.862, 96, 34, 11178, 9159, 2019, 54, 272.00, P2
2020/06/22 10:45:07.879, 77, 25, 11176, 7893, 3283, 52, 273.87, P2
2020/06/22 10:45:08.891, 100, 48, 11178, 9159, 2019, 55, 275.32, P2
2020/06/22 10:45:08.900, 100, 47, 11176, 7893, 3283, 53, 270.45, P2
2020/06/22 10:45:09.908, 96, 39, 11178, 9159, 2019, 55, 269.70, P2
2020/06/22 10:45:09.932, 78, 16, 11176, 7893, 3283, 52, 271.65, P2
2020/06/22 10:45:10.934, 99, 49, 11178, 9159, 2019, 56, 276.94, P2
2020/06/22 10:45:10.936, 100, 46, 11176, 7893, 3283, 53, 268.50, P2
2020/06/22 10:45:11.938, 98, 37, 11178, 9159, 2019, 55, 290.90, P2
2020/06/22 10:45:11.943, 76, 12, 11176, 7893, 3283, 53, 286.04, P2
2020/06/22 10:45:12.955, 100, 47, 11178, 9159, 2019, 56, 258.73, P2
2020/06/22 10:45:12.970, 100, 47, 11176, 7893, 3283, 54, 269.35, P2
2020/06/22 10:45:13.972, 97, 34, 11178, 9159, 2019, 56, 294.84, P2
2020/06/22 10:45:13.991, 77, 18, 11176, 7893, 3283, 54, 285.75, P2
2020/06/22 10:45:15.020, 99, 46, 11178, 9159, 2019, 57, 270.12, P2
2020/06/22 10:45:15.022, 100, 48, 11176, 7893, 3283, 55, 273.92, P2
2020/06/22 10:45:16.025, 97, 34, 11178, 9159, 2019, 57, 313.20, P2
2020/06/22 10:45:16.033, 86, 26, 11176, 7893, 3283, 54, 288.35, P2
2020/06/22 10:45:17.059, 100, 48, 11178, 9159, 2019, 58, 264.89, P2
2020/06/22 10:45:17.066, 100, 49, 11176, 7893, 3283, 56, 267.44, P2
2020/06/22 10:45:18.075, 97, 37, 11178, 9159, 2019, 57, 304.54, P2
2020/06/22 10:45:18.081, 98, 36, 11176, 7893, 3283, 55, 299.90, P2
2020/06/22 10:45:19.093, 100, 48, 11178, 9159, 2019, 58, 266.14, P2
2020/06/22 10:45:19.103, 100, 48, 11176, 7893, 3283, 56, 243.52, P2
2020/06/22 10:45:20.105, 94, 34, 11178, 9159, 2019, 58, 123.39, P2
2020/06/22 10:45:20.109, 99, 46, 11176, 7893, 3283, 55, 135.56, P2
2020/06/22 10:45:21.111, 99, 48, 11178, 9159, 2019, 59, 265.28, P2
2020/06/22 10:45:21.119, 100, 48, 11176, 7893, 3283, 57, 236.83, P2
2020/06/22 10:45:22.134, 99, 42, 11178, 9159, 2019, 59, 119.65, P2
2020/06/22 10:45:22.137, 100, 47, 11176, 7893, 3283, 57, 84.83, P2
2020/06/22 10:45:23.140, 100, 49, 11178, 9159, 2019, 59, 236.10, P2
2020/06/22 10:45:23.142, 100, 41, 11176, 7893, 3283, 57, 231.72, P2
2020/06/22 10:45:24.144, 100, 47, 11178, 9159, 2019, 60, 267.97, P2
2020/06/22 10:45:24.147, 100, 46, 11176, 7893, 3283, 58, 273.22, P2
2020/06/22 10:45:25.149, 99, 42, 11178, 9159, 2019, 60, 262.58, P2
2020/06/22 10:45:25.154, 78, 13, 11176, 7893, 3283, 58, 257.40, P2
2020/06/22 10:45:26.175, 100, 47, 11178, 9159, 2019, 61, 271.54, P2
2020/06/22 10:45:26.177, 100, 46, 11176, 7893, 3283, 59, 264.73, P2
2020/06/22 10:45:27.185, 95, 38, 11178, 9159, 2019, 60, 264.60, P2
2020/06/22 10:45:27.188, 75, 10, 11176, 7893, 3283, 59, 259.23, P2
2020/06/22 10:45:28.190, 100, 46, 11178, 9159, 2019, 61, 263.16, P2
2020/06/22 10:45:28.193, 100, 47, 11176, 7893, 3283, 59, 274.47, P2
2020/06/22 10:45:29.198, 97, 32, 11178, 9159, 2019, 61, 279.95, P2
2020/06/22 10:45:29.206, 76, 20, 11176, 7893, 3283, 59, 272.83, P2
2020/06/22 10:45:30.243, 100, 46, 11178, 9159, 2019, 61, 277.49, P2
2020/06/22 10:45:30.245, 100, 49, 11176, 7893, 3283, 60, 253.65, P2
2020/06/22 10:45:31.251, 97, 32, 11178, 9159, 2019, 61, 257.24, P2
2020/06/22 10:45:31.270, 92, 33, 11176, 7893, 3283, 60, 275.51, P2
2020/06/22 10:45:32.286, 99, 47, 11178, 9159, 2019, 62, 270.12, P2
2020/06/22 10:45:32.288, 100, 46, 11176, 7893, 3283, 61, 259.72, P2
2020/06/22 10:45:33.294, 97, 35, 11178, 9159, 2019, 61, 272.23, P2
2020/06/22 10:45:33.315, 78, 23, 11176, 7893, 3283, 60, 278.30, P2
2020/06/22 10:45:34.334, 100, 48, 11178, 9159, 2019, 62, 267.02, P2
2020/06/22 10:45:34.343, 100, 47, 11176, 7893, 3283, 61, 272.74, P2
2020/06/22 10:45:35.349, 98, 37, 11178, 9159, 2019, 61, 287.91, P2
2020/06/22 10:45:35.354, 77, 15, 11176, 7893, 3283, 61, 293.07, P2
2020/06/22 10:45:36.381, 100, 49, 11178, 9159, 2019, 62, 270.96, P2
2020/06/22 10:45:36.386, 99, 46, 11176, 7893, 3283, 62, 272.26, P2
2020/06/22 10:45:37.388, 99, 39, 11178, 9159, 2019, 61, 315.41, P2
2020/06/22 10:45:37.392, 77, 12, 11176, 7893, 3283, 61, 290.95, P2
2020/06/22 10:45:38.420, 99, 49, 11178, 9159, 2019, 62, 246.89, P2
2020/06/22 10:45:38.430, 100, 46, 11176, 7893, 3283, 62, 274.09, P2
2020/06/22 10:45:39.440, 99, 46, 11178, 9159, 2019, 62, 294.84, P2
2020/06/22 10:45:39.446, 74, 19, 11176, 7893, 3283, 61, 303.27, P2
2020/06/22 10:45:40.456, 100, 48, 11178, 9159, 2019, 63, 239.49, P2
2020/06/22 10:45:40.461, 100, 48, 11176, 7893, 3283, 63, 270.84, P2
2020/06/22 10:45:41.479, 97, 33, 11178, 9159, 2019, 62, 128.04, P2
2020/06/22 10:45:41.481, 96, 31, 11176, 7893, 3283, 62, 160.10, P2
2020/06/22 10:45:42.485, 100, 44, 11178, 9159, 2019, 63, 235.83, P2
2020/06/22 10:45:42.490, 100, 48, 11176, 7893, 3283, 63, 266.30, P2
2020/06/22 10:45:43.507, 97, 42, 11178, 9159, 2019, 62, 108.77, P2
2020/06/22 10:45:43.525, 99, 41, 11176, 7893, 3283, 62, 90.56, P2
2020/06/22 10:45:44.535, 100, 48, 11178, 9159, 2019, 63, 253.58, P2
2020/06/22 10:45:44.543, 100, 47, 11176, 7893, 3283, 63, 235.87, P2
2020/06/22 10:45:45.547, 100, 46, 11178, 9159, 2019, 64, 138.46, P2
2020/06/22 10:45:45.550, 100, 46, 11176, 7893, 3283, 64, 125.33, P2
2020/06/22 10:45:46.554, 100, 48, 11178, 9159, 2019, 63, 252.99, P2
2020/06/22 10:45:46.561, 94, 34, 11176, 7893, 3283, 64, 235.06, P2
2020/06/22 10:45:47.574, 100, 46, 11178, 9159, 2019, 64, 271.26, P2
2020/06/22 10:45:47.576, 100, 47, 11176, 7893, 3283, 64, 278.69, P2
2020/06/22 10:45:48.579, 100, 43, 11178, 9159, 2019, 64, 262.73, P2
2020/06/22 10:45:48.590, 78, 25, 11176, 7893, 3283, 64, 263.96, P2
2020/06/22 10:45:49.611, 100, 46, 11178, 9159, 2019, 64, 277.92, P2
2020/06/22 10:45:49.615, 100, 47, 11176, 7893, 3283, 65, 278.50, P2
2020/06/22 10:45:50.617, 99, 42, 11178, 9159, 2019, 64, 263.13, P2
2020/06/22 10:45:50.630, 78, 15, 11176, 7893, 3283, 64, 263.35, P2
2020/06/22 10:45:51.640, 100, 46, 11178, 9159, 2019, 64, 260.55, P2
2020/06/22 10:45:51.642, 100, 45, 11176, 7893, 3283, 65, 271.58, P2
2020/06/22 10:45:52.648, 97, 40, 11178, 9159, 2019, 64, 281.15, P2
2020/06/22 10:45:52.656, 78, 13, 11176, 7893, 3283, 65, 264.53, P2
2020/06/22 10:45:53.674, 100, 45, 11178, 9159, 2019, 64, 264.89, P2
2020/06/22 10:45:53.676, 100, 47, 11176, 7893, 3283, 65, 278.42, P2
2020/06/22 10:45:54.678, 97, 33, 11178, 9159, 2019, 64, 298.89, P2
2020/06/22 10:45:54.698, 76, 19, 11176, 7893, 3283, 65, 280.54, P2
2020/06/22 10:45:55.734, 100, 47, 11178, 9159, 2019, 65, 267.88, P2
2020/06/22 10:45:55.736, 100, 48, 11176, 7893, 3283, 66, 267.92, P2
2020/06/22 10:45:56.740, 97, 35, 11178, 9159, 2019, 64, 310.12, P2
2020/06/22 10:45:56.747, 91, 30, 11176, 7893, 3283, 65, 304.21, P2
2020/06/22 10:45:57.755, 99, 48, 11178, 9159, 2019, 65, 271.74, P2
2020/06/22 10:45:57.757, 100, 49, 11176, 7893, 3283, 66, 260.98, P2
2020/06/22 10:45:58.764, 98, 38, 11178, 9159, 2019, 64, 114.94, P2
2020/06/22 10:45:58.766, 98, 40, 11176, 7893, 3283, 65, 170.60, P2
2020/06/22 10:45:59.773, 99, 48, 11178, 9159, 2019, 65, 257.05, P2
2020/06/22 10:45:59.775, 100, 47, 11176, 7893, 3283, 66, 235.87, P2
2020/06/22 10:46:00.780, 99, 39, 11178, 9159, 2019, 65, 167.82, P2
2020/06/22 10:46:00.785, 100, 45, 11176, 7894, 3282, 66, 87.55, P2
2020/06/22 10:46:01.790, 100, 51, 11178, 9159, 2019, 65, 252.53, P2
2020/06/22 10:46:01.793, 100, 47, 11176, 7894, 3282, 67, 237.14, P2
2020/06/22 10:46:02.795, 99, 41, 11178, 9159, 2019, 65, 103.35, P2
2020/06/22 10:46:02.798, 100, 47, 11176, 7894, 3282, 67, 99.85, P2
2020/06/22 10:46:03.804, 100, 48, 11178, 9159, 2019, 65, 236.39, P2
2020/06/22 10:46:03.809, 100, 46, 11176, 7894, 3282, 67, 238.28, P2
2020/06/22 10:46:04.818, 100, 46, 11178, 9159, 2019, 65, 269.20, P2
2020/06/22 10:46:04.821, 100, 46, 11176, 7894, 3282, 68, 277.07, P2
2020/06/22 10:46:05.826, 99, 42, 11178, 9159, 2019, 65, 260.74, P2
2020/06/22 10:46:05.831, 78, 20, 11176, 7894, 3282, 67, 260.77, P2
2020/06/22 10:46:06.842, 100, 46, 11178, 9159, 2019, 65, 268.07, P2
2020/06/22 10:46:06.844, 100, 47, 11176, 7894, 3282, 68, 277.75, P2
2020/06/22 10:46:07.846, 97, 37, 11178, 9159, 2019, 65, 295.52, P2
2020/06/22 10:46:07.856, 77, 13, 11176, 7894, 3282, 67, 283.34, P2
2020/06/22 10:46:08.860, 100, 48, 11178, 9159, 2019, 65, 248.18, P2
2020/06/22 10:46:08.870, 100, 46, 11176, 7894, 3282, 68, 270.42, P2
2020/06/22 10:46:09.883, 97, 34, 11178, 9159, 2019, 64, 304.66, P2
2020/06/22 10:46:09.886, 76, 17, 11176, 7894, 3282, 68, 312.87, P2
2020/06/22 10:46:10.898, 99, 46, 11178, 9159, 2019, 66, 254.79, P2
2020/06/22 10:46:10.902, 100, 48, 11176, 7894, 3282, 68, 273.05, P2
2020/06/22 10:46:11.904, 96, 39, 11178, 9159, 2019, 65, 106.06, P2
2020/06/22 10:46:11.911, 93, 31, 11176, 7894, 3282, 68, 92.90, P2
2020/06/22 10:46:12.913, 99, 48, 11178, 9159, 2019, 66, 249.05, P2
2020/06/22 10:46:12.921, 100, 48, 11176, 7894, 3282, 69, 256.16, P2
2020/06/22 10:46:13.926, 97, 36, 11178, 9159, 2019, 66, 166.04, P2
2020/06/22 10:46:13.937, 99, 42, 11176, 7894, 3282, 69, 88.63, P2
2020/06/22 10:46:14.939, 99, 48, 11178, 9159, 2019, 66, 237.93, P2
2020/06/22 10:46:14.948, 100, 49, 11176, 7894, 3282, 69, 240.21, P2
2020/06/22 10:46:15.950, 99, 43, 11178, 9159, 2019, 66, 116.62, P2
2020/06/22 10:46:15.955, 100, 46, 11176, 7894, 3282, 69, 117.73, P2
2020/06/22 10:46:16.957, 100, 49, 11178, 9159, 2019, 66, 246.64, P2
2020/06/22 10:46:16.965, 100, 46, 11176, 7894, 3282, 69, 248.99, P2
2020/06/22 10:46:17.971, 100, 46, 11178, 9159, 2019, 66, 259.49, P2
2020/06/22 10:46:17.994, 100, 46, 11176, 7894, 3282, 70, 234.29, P2
2020/06/22 10:46:19.003, 100, 46, 11178, 9159, 2019, 66, 266.91, P2
2020/06/22 10:46:19.008, 95, 35, 11176, 7894, 3282, 70, 278.11, P2
2020/06/22 10:46:20.017, 100, 47, 11178, 9159, 2019, 66, 276.07, P2
2020/06/22 10:46:20.019, 100, 46, 11176, 7894, 3282, 70, 278.23, P2
2020/06/22 10:46:21.025, 99, 41, 11178, 9159, 2019, 66, 270.28, P2
2020/06/22 10:46:21.036, 78, 20, 11176, 7894, 3282, 70, 269.07, P2
2020/06/22 10:46:22.038, 100, 46, 11178, 9159, 2019, 66, 252.46, P2
2020/06/22 10:46:22.049, 100, 45, 11176, 7894, 3282, 70, 266.18, P2
2020/06/22 10:46:23.055, 97, 40, 11178, 9159, 2019, 66, 284.06, P2
2020/06/22 10:46:23.059, 77, 13, 11176, 7894, 3282, 70, 274.45, P2
2020/06/22 10:46:24.092, 99, 48, 11178, 9159, 2019, 66, 265.28, P2
2020/06/22 10:46:24.095, 100, 47, 11176, 7894, 3282, 70, 268.71, P2
2020/06/22 10:46:25.097, 97, 42, 11178, 9159, 2019, 66, 106.58, P2
2020/06/22 10:46:25.105, 99, 35, 11176, 7894, 3282, 70, 93.10, P2
2020/06/22 10:46:26.107, 99, 47, 11178, 9159, 2019, 66, 267.97, P2
2020/06/22 10:46:26.109, 100, 48, 11176, 7894, 3282, 71, 240.17, P2
2020/06/22 10:46:27.120, 98, 39, 11178, 9159, 2019, 66, 116.71, P2
2020/06/22 10:46:27.123, 100, 45, 11176, 7894, 3282, 71, 93.96, P2
2020/06/22 10:46:28.129, 99, 47, 11178, 9159, 2019, 66, 241.36, P2
2020/06/22 10:46:28.134, 100, 48, 11176, 7894, 3282, 71, 241.62, P2
2020/06/22 10:46:29.144, 100, 47, 11178, 9159, 2019, 67, 167.28, P2
2020/06/22 10:46:29.146, 100, 46, 11176, 7894, 3282, 71, 148.97, P2
2020/06/22 10:46:30.149, 100, 48, 11178, 9159, 2019, 66, 263.79, P2
2020/06/22 10:46:30.162, 100, 38, 11176, 7894, 3282, 71, 258.44, P2
2020/06/22 10:46:31.168, 100, 46, 11178, 9159, 2019, 67, 260.47, P2
2020/06/22 10:46:31.176, 100, 46, 11176, 7894, 3282, 72, 274.98, P2
2020/06/22 10:46:32.185, 100, 39, 11178, 9159, 2019, 66, 272.11, P2
2020/06/22 10:46:32.196, 78, 24, 11176, 7894, 3282, 71, 274.56, P2
2020/06/22 10:46:33.211, 100, 47, 11178, 9159, 2019, 67, 275.46, P2
2020/06/22 10:46:33.215, 100, 44, 11176, 7894, 3282, 72, 269.81, P2
2020/06/22 10:46:34.220, 96, 23, 11178, 9159, 2019, 65, 133.20, P2
2020/06/22 10:46:34.222, 95, 20, 11176, 7894, 3282, 71, 125.23, P2
2020/06/22 10:46:35.225, 96, 20, 11178, 9159, 2019, 65, 260.52, P2
2020/06/22 10:46:35.227, 96, 19, 11176, 7894, 3282, 70, 278.30, P2
2020/06/22 10:46:36.236, 96, 23, 11178, 9159, 2019, 65, 115.75, P2
2020/06/22 10:46:36.241, 95, 19, 11176, 7894, 3282, 71, 102.96, P2
2020/06/22 10:46:37.249, 94, 21, 11178, 9159, 2019, 65, 268.25, P2
2020/06/22 10:46:37.251, 96, 17, 11176, 7894, 3282, 70, 277.20, P2
2020/06/22 10:46:38.253, 95, 20, 11178, 9159, 2019, 65, 138.80, P2
2020/06/22 10:46:38.255, 95, 21, 11176, 7894, 3282, 71, 130.19, P2
2020/06/22 10:46:39.257, 95, 24, 11178, 9159, 2019, 65, 169.93, P2
2020/06/22 10:46:39.259, 96, 17, 11176, 7894, 3282, 71, 176.61, P2
2020/06/22 10:46:40.261, 93, 20, 11178, 9159, 2019, 65, 193.50, P2
2020/06/22 10:46:40.271, 96, 20, 11176, 7894, 3282, 71, 151.63, P2
2020/06/22 10:46:41.280, 0, 0, 11178, 9149, 2029, 63, 87.44, P2
2020/06/22 10:46:41.282, 0, 0, 11176, 7883, 3293, 69, 87.38, P2
