timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/06/19 16:13:37.794, 0, 0, 11178, 2, 11176, 33, 10.58, P8
2020/06/19 16:13:37.798, 0, 0, 11176, 66, 11110, 32, 13.98, P8
2020/06/19 16:13:38.804, 0, 0, 11178, 2, 11176, 33, 10.58, P8
2020/06/19 16:13:38.811, 0, 0, 11176, 66, 11110, 32, 12.62, P8
2020/06/19 16:13:39.815, 0, 0, 11178, 2, 11176, 33, 9.61, P8
2020/06/19 16:13:39.818, 0, 0, 11176, 66, 11110, 32, 10.10, P8
2020/06/19 16:13:40.822, 0, 0, 11178, 12, 11166, 33, 9.81, P8
2020/06/19 16:13:40.825, 0, 0, 11176, 77, 11099, 32, 10.30, P8
2020/06/19 16:13:41.828, 0, 0, 11178, 12, 11166, 33, 10.77, P8
2020/06/19 16:13:41.832, 0, 0, 11176, 77, 11099, 32, 10.97, P8
2020/06/19 16:13:42.835, 0, 0, 11178, 12, 11166, 33, 10.68, P8
2020/06/19 16:13:42.839, 0, 0, 11176, 77, 11099, 32, 11.07, P8
2020/06/19 16:13:43.842, 0, 0, 11178, 12, 11166, 33, 10.09, P8
2020/06/19 16:13:43.846, 0, 0, 11176, 77, 11099, 32, 10.88, P8
2020/06/19 16:13:44.849, 0, 0, 11178, 12, 11166, 33, 9.61, P8
2020/06/19 16:13:44.853, 0, 0, 11176, 77, 11099, 32, 10.20, P8
2020/06/19 16:13:45.856, 2, 0, 11178, 315, 10863, 34, 59.86, P2
2020/06/19 16:13:45.859, 0, 0, 11176, 77, 11099, 32, 10.10, P8
2020/06/19 16:13:46.862, 2, 0, 11178, 493, 10685, 34, 60.44, P2
2020/06/19 16:13:46.869, 0, 0, 11176, 77, 11099, 32, 10.97, P8
2020/06/19 16:13:47.873, 0, 0, 11178, 1033, 10145, 34, 61.02, P2
2020/06/19 16:13:47.875, 4, 0, 11176, 384, 10792, 33, 59.97, P2
2020/06/19 16:13:48.882, 45, 13, 11178, 4387, 6791, 35, 137.39, P2
2020/06/19 16:13:48.884, 58, 22, 11176, 4476, 6700, 34, 119.79, P2
2020/06/19 16:13:49.886, 97, 38, 11178, 5835, 5343, 39, 239.70, P2
2020/06/19 16:13:49.888, 100, 44, 11176, 4618, 6558, 37, 258.56, P2
2020/06/19 16:13:50.893, 99, 45, 11178, 5835, 5343, 39, 162.02, P2
2020/06/19 16:13:50.896, 99, 36, 11176, 4618, 6558, 37, 77.48, P2
2020/06/19 16:13:51.900, 97, 37, 11178, 5835, 5343, 40, 260.46, P2
2020/06/19 16:13:51.902, 78, 16, 11176, 4618, 6558, 38, 255.07, P2
2020/06/19 16:13:52.910, 97, 39, 11178, 5835, 5343, 40, 239.18, P2
2020/06/19 16:13:52.914, 100, 47, 11176, 4618, 6558, 39, 260.30, P2
2020/06/19 16:13:53.916, 99, 45, 11178, 5835, 5343, 40, 146.51, P2
2020/06/19 16:13:53.918, 86, 24, 11176, 4618, 6558, 38, 159.91, P2
2020/06/19 16:13:54.920, 97, 31, 11178, 5835, 5343, 41, 243.23, P2
2020/06/19 16:13:54.924, 82, 26, 11176, 4618, 6558, 40, 244.75, P2
2020/06/19 16:13:55.926, 99, 45, 11178, 5835, 5343, 42, 109.94, P2
2020/06/19 16:13:55.928, 99, 45, 11176, 4618, 6558, 40, 105.92, P2
2020/06/19 16:13:56.931, 99, 37, 11178, 5835, 5343, 41, 292.92, P2
2020/06/19 16:13:56.933, 77, 14, 11176, 4618, 6558, 39, 280.27, P2
2020/06/19 16:13:57.935, 97, 37, 11178, 5835, 5343, 42, 240.80, P2
2020/06/19 16:13:57.941, 100, 41, 11176, 4618, 6558, 41, 259.63, P2
2020/06/19 16:13:58.943, 99, 45, 11178, 5835, 5343, 42, 143.46, P2
2020/06/19 16:13:58.945, 99, 38, 11176, 4618, 6558, 41, 80.40, P2
2020/06/19 16:13:59.951, 97, 38, 11178, 5835, 5343, 43, 258.43, P2
2020/06/19 16:13:59.964, 78, 14, 11176, 4618, 6558, 41, 251.82, P2
2020/06/19 16:14:00.972, 99, 39, 11178, 5835, 5343, 44, 235.44, P2
2020/06/19 16:14:00.974, 100, 45, 11176, 4618, 6558, 42, 266.86, P2
2020/06/19 16:14:01.976, 15, 1, 11178, 5835, 5343, 42, 82.00, P2
2020/06/19 16:14:01.978, 57, 9, 11176, 4618, 6558, 40, 77.50, P2
2020/06/19 16:14:02.980, 0, 0, 11178, 2, 11176, 41, 89.14, P0
2020/06/19 16:14:03.037, 0, 0, 11176, 66, 11110, 39, 86.77, P0
