timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/06/09 20:20:46.309, 0, 0, 11178, 2, 11176, 41, 10.58, P8
2020/06/09 20:20:46.313, 0, 0, 11176, 18, 11158, 43, 12.24, P8
2020/06/09 20:20:51.318, 0, 0, 11178, 12, 11166, 41, 11.06, P8
2020/06/09 20:20:51.322, 0, 0, 11176, 29, 11147, 43, 11.85, P8
2020/06/09 20:20:56.325, 31, 6, 11178, 3643, 7535, 42, 179.40, P2
2020/06/09 20:20:56.328, 4, 0, 11176, 3180, 7996, 44, 164.66, P2
2020/06/09 20:21:01.341, 99, 42, 11178, 9159, 2019, 48, 273.20, P2
2020/06/09 20:21:01.343, 77, 17, 11176, 7846, 3330, 50, 271.08, P2
2020/06/09 20:21:06.356, 99, 45, 11178, 9159, 2019, 51, 248.70, P2
2020/06/09 20:21:06.365, 100, 48, 11176, 7846, 3330, 52, 263.10, P2
2020/06/09 20:21:11.371, 100, 47, 11178, 9159, 2019, 53, 116.31, P2
2020/06/09 20:21:11.381, 99, 41, 11176, 7846, 3330, 54, 88.91, P2
2020/06/09 20:21:16.383, 97, 33, 11178, 9159, 2019, 55, 257.34, P2
2020/06/09 20:21:16.391, 100, 38, 11176, 7846, 3330, 56, 259.12, P2
2020/06/09 20:21:21.397, 99, 48, 11178, 9159, 2019, 57, 256.76, P2
2020/06/09 20:21:21.399, 100, 48, 11176, 7846, 3330, 58, 237.22, P2
2020/06/09 20:21:26.402, 100, 46, 11178, 9159, 2019, 59, 269.80, P2
2020/06/09 20:21:26.404, 100, 46, 11176, 7846, 3330, 60, 264.50, P2
2020/06/09 20:21:31.411, 99, 46, 11178, 9159, 2019, 59, 301.65, P2
2020/06/09 20:21:31.414, 77, 13, 11176, 7846, 3330, 60, 290.73, P2
2020/06/09 20:21:36.420, 99, 42, 11178, 9159, 2019, 61, 227.11, P2
2020/06/09 20:21:36.422, 81, 29, 11176, 7846, 3330, 62, 231.37, P2
2020/06/09 20:21:41.430, 99, 47, 11178, 9159, 2019, 62, 267.78, P2
2020/06/09 20:21:41.434, 100, 47, 11176, 7846, 3330, 63, 270.50, P2
2020/06/09 20:21:46.442, 96, 34, 11178, 9159, 2019, 62, 100.86, P2
2020/06/09 20:21:46.444, 77, 17, 11176, 7846, 3330, 64, 89.03, P2
2020/06/09 20:21:51.447, 96, 31, 11178, 9159, 2019, 63, 254.60, P2
2020/06/09 20:21:51.453, 76, 12, 11176, 7846, 3330, 65, 269.53, P2
2020/06/09 20:21:56.467, 99, 48, 11178, 9159, 2019, 64, 251.73, P2
2020/06/09 20:21:56.469, 100, 48, 11176, 7846, 3330, 66, 245.99, P2
2020/06/09 20:22:01.472, 100, 47, 11178, 9159, 2019, 65, 268.17, P2
2020/06/09 20:22:01.488, 100, 47, 11176, 7846, 3330, 68, 271.38, P2
2020/06/09 20:22:06.491, 98, 46, 11178, 9159, 2019, 64, 138.87, P2
2020/06/09 20:22:06.497, 99, 46, 11176, 7846, 3330, 67, 155.57, P2
2020/06/09 20:22:11.499, 97, 43, 11178, 9159, 2019, 65, 258.47, P2
