timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/06/14 16:26:39.780, 0, 0, 11178, 2, 11176, 38, 11.45, P8
2020/06/14 16:26:39.785, 0, 0, 11176, 18, 11158, 33, 10.97, P8
2020/06/14 16:26:40.788, 0, 0, 11178, 2, 11176, 38, 10.49, P8
2020/06/14 16:26:40.792, 0, 0, 11176, 18, 11158, 33, 10.00, P8
2020/06/14 16:26:41.795, 0, 0, 11178, 2, 11176, 38, 9.90, P8
2020/06/14 16:26:41.799, 0, 0, 11176, 18, 11158, 33, 10.10, P8
2020/06/14 16:26:42.802, 0, 0, 11178, 2, 11176, 38, 9.90, P8
2020/06/14 16:26:42.805, 0, 0, 11176, 18, 11158, 33, 10.68, P8
2020/06/14 16:26:43.809, 0, 0, 11178, 2, 11176, 38, 10.58, P8
2020/06/14 16:26:43.812, 0, 0, 11176, 18, 11158, 33, 11.07, P8
2020/06/14 16:26:44.815, 0, 0, 11178, 2, 11176, 38, 10.87, P8
2020/06/14 16:26:44.819, 0, 0, 11176, 18, 11158, 33, 11.17, P8
2020/06/14 16:26:45.822, 0, 0, 11178, 2, 11176, 38, 10.68, P8
2020/06/14 16:26:45.826, 0, 0, 11176, 18, 11158, 33, 10.59, P8
2020/06/14 16:26:46.830, 0, 0, 11178, 2, 11176, 38, 10.87, P8
2020/06/14 16:26:46.834, 0, 0, 11176, 18, 11158, 33, 10.20, P8
2020/06/14 16:26:47.838, 0, 0, 11178, 2, 11176, 38, 9.81, P8
2020/06/14 16:26:47.841, 0, 0, 11176, 18, 11158, 33, 10.49, P8
2020/06/14 16:26:48.845, 0, 0, 11178, 2, 11176, 38, 10.00, P8
2020/06/14 16:26:48.848, 0, 0, 11176, 18, 11158, 33, 11.07, P8
2020/06/14 16:26:49.852, 0, 0, 11178, 2, 11176, 38, 10.68, P8
2020/06/14 16:26:49.855, 0, 0, 11176, 18, 11158, 33, 11.56, P8
2020/06/14 16:26:50.859, 0, 0, 11178, 2, 11176, 38, 10.97, P8
2020/06/14 16:26:50.862, 0, 0, 11176, 18, 11158, 34, 10.97, P8
2020/06/14 16:26:51.866, 0, 0, 11178, 2, 11176, 38, 10.29, P8
2020/06/14 16:26:51.870, 0, 0, 11176, 18, 11158, 34, 10.39, P8
2020/06/14 16:26:52.873, 0, 0, 11178, 2, 11176, 38, 9.90, P8
2020/06/14 16:26:52.877, 0, 0, 11176, 18, 11158, 33, 10.59, P8
2020/06/14 16:26:53.881, 0, 0, 11178, 149, 11029, 38, 60.44, P2
2020/06/14 16:26:53.883, 0, 0, 11176, 166, 11010, 34, 59.49, P2
2020/06/14 16:26:54.885, 0, 0, 11178, 10631, 547, 39, 61.02, P2
2020/06/14 16:26:54.887, 0, 0, 11176, 168, 11008, 34, 60.17, P2
2020/06/14 16:26:55.894, 41, 2, 11178, 10715, 463, 39, 62.76, P2
2020/06/14 16:26:55.896, 0, 0, 11176, 170, 11006, 34, 60.26, P2
2020/06/14 16:26:56.898, 0, 0, 11178, 10715, 463, 39, 62.96, P2
2020/06/14 16:26:56.900, 0, 0, 11176, 170, 11006, 34, 59.78, P2
2020/06/14 16:26:57.902, 0, 0, 11178, 10715, 463, 39, 62.38, P2
2020/06/14 16:26:57.904, 0, 0, 11176, 170, 11006, 35, 59.10, P2
2020/06/14 16:26:58.907, 0, 0, 11178, 10715, 463, 39, 60.44, P2
2020/06/14 16:26:58.909, 0, 0, 11176, 170, 11006, 35, 59.20, P2
2020/06/14 16:26:59.911, 0, 0, 11178, 10715, 463, 39, 60.73, P2
2020/06/14 16:26:59.913, 0, 0, 11176, 170, 11006, 35, 59.87, P2
2020/06/14 16:27:00.915, 0, 0, 11178, 10715, 463, 39, 61.31, P2
2020/06/14 16:27:00.918, 0, 0, 11176, 170, 11006, 35, 60.36, P2
2020/06/14 16:27:01.924, 0, 0, 11178, 10715, 463, 40, 76.40, P2
2020/06/14 16:27:01.929, 0, 0, 11176, 170, 11006, 35, 60.17, P2
2020/06/14 16:27:02.931, 0, 0, 11178, 10715, 463, 40, 76.11, P2
2020/06/14 16:27:02.933, 0, 0, 11176, 170, 11006, 35, 59.68, P2
2020/06/14 16:27:03.936, 0, 0, 11178, 10715, 463, 40, 75.62, P2
2020/06/14 16:27:03.938, 0, 0, 11176, 170, 11006, 35, 59.29, P2
2020/06/14 16:27:04.940, 0, 0, 11178, 10715, 463, 40, 75.33, P2
2020/06/14 16:27:04.942, 0, 0, 11176, 170, 11006, 35, 59.49, P2
2020/06/14 16:27:05.944, 0, 0, 11178, 10715, 463, 40, 75.81, P2
2020/06/14 16:27:05.946, 0, 0, 11176, 170, 11006, 36, 60.07, P2
2020/06/14 16:27:06.949, 0, 0, 11178, 10715, 463, 41, 76.40, P2
2020/06/14 16:27:06.951, 0, 0, 11176, 170, 11006, 36, 60.36, P2
2020/06/14 16:27:07.957, 0, 0, 11178, 10715, 463, 41, 76.59, P2
2020/06/14 16:27:07.963, 0, 0, 11176, 170, 11006, 36, 60.07, P2
2020/06/14 16:27:08.965, 100, 68, 11178, 10761, 417, 44, 266.23, P2
2020/06/14 16:27:08.967, 0, 0, 11176, 170, 11006, 36, 59.56, P2
2020/06/14 16:27:09.970, 0, 0, 11178, 10761, 417, 42, 80.27, P2
2020/06/14 16:27:09.975, 0, 0, 11176, 170, 11006, 36, 59.29, P2
2020/06/14 16:27:10.978, 0, 0, 11178, 10761, 417, 42, 80.18, P2
2020/06/14 16:27:10.980, 0, 0, 11176, 170, 11006, 36, 54.45, P2
2020/06/14 16:27:11.982, 0, 0, 11178, 10761, 417, 42, 80.76, P2
2020/06/14 16:27:11.984, 0, 0, 11176, 170, 11006, 36, 55.03, P2
2020/06/14 16:27:12.986, 0, 0, 11178, 10761, 417, 42, 81.34, P2
2020/06/14 16:27:12.988, 0, 0, 11176, 170, 11006, 36, 55.23, P2
2020/06/14 16:27:13.991, 100, 63, 11178, 10761, 417, 46, 258.36, P2
2020/06/14 16:27:13.993, 0, 0, 11176, 170, 11006, 35, 15.14, P5
2020/06/14 16:27:14.996, 99, 62, 11178, 10761, 417, 47, 155.16, P2
2020/06/14 16:27:14.998, 0, 0, 11176, 170, 11006, 35, 14.66, P5
2020/06/14 16:27:16.001, 99, 65, 11178, 10761, 417, 47, 257.67, P2
2020/06/14 16:27:16.007, 0, 0, 11176, 170, 11006, 35, 10.29, P8
2020/06/14 16:27:17.010, 96, 72, 11178, 10761, 417, 48, 266.34, P2
2020/06/14 16:27:17.013, 0, 0, 11176, 170, 11006, 35, 11.26, P8
2020/06/14 16:27:18.016, 96, 76, 11178, 10761, 417, 48, 261.87, P2
2020/06/14 16:27:18.018, 0, 0, 11176, 170, 11006, 35, 11.26, P8
2020/06/14 16:27:19.022, 96, 73, 11178, 10761, 417, 49, 262.84, P2
2020/06/14 16:27:19.024, 0, 0, 11176, 170, 11006, 35, 11.06, P8
2020/06/14 16:27:20.027, 100, 69, 11178, 10761, 417, 50, 259.49, P2
2020/06/14 16:27:20.035, 0, 0, 11176, 170, 11006, 35, 10.58, P8
2020/06/14 16:27:21.042, 100, 66, 11178, 10761, 417, 50, 269.71, P2
2020/06/14 16:27:21.046, 0, 0, 11176, 170, 11006, 35, 10.29, P8
2020/06/14 16:27:22.050, 99, 62, 11178, 10761, 417, 50, 150.23, P2
2020/06/14 16:27:22.054, 0, 0, 11176, 170, 11006, 35, 13.59, P8
2020/06/14 16:27:23.059, 99, 63, 11178, 10761, 417, 51, 262.05, P2
2020/06/14 16:27:23.064, 0, 0, 11176, 170, 11006, 35, 13.78, P8
2020/06/14 16:27:24.068, 96, 70, 11178, 10761, 417, 51, 275.66, P2
2020/06/14 16:27:24.075, 0, 0, 11176, 170, 11006, 35, 12.52, P8
2020/06/14 16:27:25.082, 97, 76, 11178, 10761, 417, 52, 252.70, P2
2020/06/14 16:27:25.084, 0, 0, 11176, 170, 11006, 35, 11.55, P8
2020/06/14 16:27:26.088, 96, 74, 11178, 10761, 417, 52, 266.11, P2
2020/06/14 16:27:26.090, 0, 0, 11176, 170, 11006, 35, 10.77, P8
2020/06/14 16:27:27.093, 100, 69, 11178, 10761, 417, 53, 264.69, P2
2020/06/14 16:27:27.095, 0, 0, 11176, 170, 11006, 35, 10.48, P8
2020/06/14 16:27:28.099, 100, 66, 11178, 10761, 417, 53, 266.79, P2
2020/06/14 16:27:28.101, 0, 0, 11176, 170, 11006, 35, 10.58, P8
2020/06/14 16:27:29.104, 99, 62, 11178, 10761, 417, 54, 174.39, P2
2020/06/14 16:27:29.110, 0, 0, 11176, 170, 11006, 35, 11.16, P8
2020/06/14 16:27:30.117, 99, 61, 11178, 10761, 417, 54, 260.73, P2
2020/06/14 16:27:30.119, 0, 0, 11176, 170, 11006, 35, 11.26, P8
2020/06/14 16:27:31.122, 100, 69, 11178, 10761, 417, 54, 271.03, P2
2020/06/14 16:27:31.124, 0, 0, 11176, 170, 11006, 35, 10.77, P8
2020/06/14 16:27:32.127, 96, 74, 11178, 10761, 417, 55, 251.14, P2
2020/06/14 16:27:32.130, 0, 0, 11176, 170, 11006, 35, 10.39, P8
2020/06/14 16:27:33.133, 97, 78, 11178, 10761, 417, 55, 265.08, P2
2020/06/14 16:27:33.138, 0, 0, 11176, 170, 11006, 35, 10.58, P8
2020/06/14 16:27:34.142, 100, 74, 11178, 10761, 417, 56, 252.26, P2
2020/06/14 16:27:34.144, 0, 0, 11176, 170, 11006, 35, 11.16, P8
2020/06/14 16:27:35.147, 100, 69, 11178, 10761, 417, 56, 267.84, P2
2020/06/14 16:27:35.149, 0, 0, 11176, 170, 11006, 35, 11.75, P8
2020/06/14 16:27:36.153, 100, 65, 11178, 10761, 417, 56, 176.48, P2
2020/06/14 16:27:36.155, 0, 0, 11176, 170, 11006, 35, 11.65, P8
2020/06/14 16:27:37.158, 99, 61, 11178, 10761, 417, 56, 259.93, P2
2020/06/14 16:27:37.165, 0, 0, 11176, 170, 11006, 35, 10.58, P8
2020/06/14 16:27:38.172, 97, 78, 11178, 10761, 417, 57, 264.56, P2
2020/06/14 16:27:38.174, 0, 0, 11176, 170, 11006, 35, 9.99, P8
2020/06/14 16:27:39.177, 100, 73, 11178, 10761, 417, 58, 288.68, P2
2020/06/14 16:27:39.179, 0, 0, 11176, 170, 11006, 35, 10.58, P8
2020/06/14 16:27:40.183, 100, 68, 11178, 10761, 417, 58, 259.84, P2
2020/06/14 16:27:40.185, 0, 0, 11176, 170, 11006, 35, 11.07, P8
2020/06/14 16:27:41.188, 100, 65, 11178, 10761, 417, 58, 267.08, P2
2020/06/14 16:27:41.195, 0, 0, 11176, 170, 11006, 35, 11.26, P8
2020/06/14 16:27:42.202, 99, 61, 11178, 10761, 417, 59, 260.42, P2
2020/06/14 16:27:42.204, 0, 0, 11176, 170, 11006, 35, 10.78, P8
2020/06/14 16:27:43.207, 99, 61, 11178, 10761, 417, 59, 196.99, P2
2020/06/14 16:27:43.209, 0, 0, 11176, 170, 11006, 35, 10.29, P8
2020/06/14 16:27:44.213, 100, 70, 11178, 10761, 417, 59, 166.33, P2
2020/06/14 16:27:44.219, 0, 0, 11176, 170, 11006, 35, 10.10, P8
2020/06/14 16:27:45.226, 97, 74, 11178, 10761, 417, 59, 267.74, P2
2020/06/14 16:27:45.228, 0, 0, 11176, 170, 11006, 35, 10.77, P8
2020/06/14 16:27:46.231, 97, 78, 11178, 10761, 417, 60, 263.79, P2
2020/06/14 16:27:46.233, 0, 0, 11176, 170, 11006, 35, 11.26, P8
2020/06/14 16:27:47.236, 99, 74, 11178, 10761, 417, 60, 254.34, P2
2020/06/14 16:27:47.239, 0, 0, 11176, 170, 11006, 35, 11.36, P8
2020/06/14 16:27:48.242, 100, 68, 11178, 10761, 417, 60, 263.95, P2
2020/06/14 16:27:48.250, 0, 0, 11176, 170, 11006, 35, 10.68, P8
2020/06/14 16:27:49.257, 100, 65, 11178, 10761, 417, 61, 263.50, P2
2020/06/14 16:27:49.259, 0, 0, 11176, 170, 11006, 35, 10.29, P8
2020/06/14 16:27:50.262, 99, 62, 11178, 10761, 417, 61, 261.59, P2
2020/06/14 16:27:50.264, 0, 0, 11176, 170, 11006, 35, 10.19, P8
2020/06/14 16:27:51.268, 99, 62, 11178, 10761, 417, 61, 176.23, P2
2020/06/14 16:27:51.274, 0, 0, 11176, 170, 11006, 35, 10.78, P8
2020/06/14 16:27:52.281, 99, 68, 11178, 10761, 417, 61, 251.18, P2
2020/06/14 16:27:52.283, 0, 0, 11176, 170, 11006, 35, 11.36, P8
2020/06/14 16:27:53.287, 97, 74, 11178, 10761, 417, 61, 270.32, P2
2020/06/14 16:27:53.289, 0, 0, 11176, 170, 11006, 35, 11.06, P8
2020/06/14 16:27:54.292, 98, 78, 11178, 10761, 417, 62, 279.82, P2
2020/06/14 16:27:54.294, 0, 0, 11176, 170, 11006, 35, 10.48, P8
2020/06/14 16:27:55.298, 97, 73, 11178, 10761, 417, 62, 254.01, P2
2020/06/14 16:27:55.304, 0, 0, 11176, 170, 11006, 35, 10.10, P8
2020/06/14 16:27:56.311, 100, 69, 11178, 10761, 417, 62, 271.12, P2
2020/06/14 16:27:56.313, 0, 0, 11176, 170, 11006, 35, 10.48, P8
2020/06/14 16:27:57.317, 100, 66, 11178, 10761, 417, 62, 265.84, P2
2020/06/14 16:27:57.319, 0, 0, 11176, 170, 11006, 35, 11.16, P8
2020/06/14 16:27:58.322, 99, 63, 11178, 10761, 417, 63, 271.50, P2
2020/06/14 16:27:58.324, 0, 0, 11176, 170, 11006, 35, 11.55, P8
2020/06/14 16:27:59.328, 99, 61, 11178, 10761, 417, 63, 175.48, P2
2020/06/14 16:27:59.330, 0, 0, 11176, 170, 11006, 35, 10.88, P8
2020/06/14 16:28:00.333, 100, 67, 11178, 10761, 417, 62, 270.12, P2
2020/06/14 16:28:00.336, 0, 0, 11176, 170, 11006, 35, 10.48, P8
2020/06/14 16:28:01.339, 96, 73, 11178, 10761, 417, 63, 273.62, P2
2020/06/14 16:28:01.341, 0, 0, 11176, 170, 11006, 35, 10.10, P8
2020/06/14 16:28:02.345, 97, 77, 11178, 10761, 417, 63, 264.66, P2
2020/06/14 16:28:02.354, 0, 0, 11176, 170, 11006, 35, 10.77, P8
2020/06/14 16:28:03.360, 97, 73, 11178, 10761, 417, 63, 261.20, P2
2020/06/14 16:28:03.363, 0, 0, 11176, 170, 11006, 35, 11.26, P8
2020/06/14 16:28:04.366, 100, 68, 11178, 10761, 417, 63, 258.40, P2
2020/06/14 16:28:04.368, 0, 0, 11176, 170, 11006, 35, 11.45, P8
2020/06/14 16:28:05.372, 100, 66, 11178, 10761, 417, 64, 263.99, P2
2020/06/14 16:28:05.380, 0, 0, 11176, 170, 11006, 35, 11.06, P8
2020/06/14 16:28:06.387, 100, 63, 11178, 10761, 417, 64, 205.20, P2
2020/06/14 16:28:06.389, 0, 0, 11176, 170, 11006, 35, 10.29, P8
2020/06/14 16:28:07.392, 99, 62, 11178, 10761, 417, 64, 174.16, P2
2020/06/14 16:28:07.395, 0, 0, 11176, 170, 11006, 35, 10.29, P8
2020/06/14 16:28:08.398, 99, 66, 11178, 10761, 417, 64, 265.55, P2
2020/06/14 16:28:08.406, 0, 0, 11176, 170, 11006, 35, 10.67, P8
2020/06/14 16:28:09.413, 96, 72, 11178, 10761, 417, 64, 271.79, P2
2020/06/14 16:28:09.415, 0, 0, 11176, 170, 11006, 35, 11.26, P8
2020/06/14 16:28:10.419, 97, 77, 11178, 10761, 417, 65, 260.03, P2
2020/06/14 16:28:10.421, 0, 0, 11176, 170, 11006, 35, 11.07, P8
2020/06/14 16:28:11.424, 97, 74, 11178, 10761, 417, 65, 257.42, P2
2020/06/14 16:28:11.434, 0, 0, 11176, 170, 11006, 35, 10.48, P8
2020/06/14 16:28:12.441, 100, 69, 11178, 10761, 417, 65, 252.60, P2
2020/06/14 16:28:12.443, 0, 0, 11176, 170, 11006, 35, 10.29, P8
2020/06/14 16:28:13.446, 100, 67, 11178, 10761, 417, 65, 272.66, P2
2020/06/14 16:28:13.448, 0, 0, 11176, 170, 11006, 35, 10.68, P8
2020/06/14 16:28:14.452, 99, 63, 11178, 10761, 417, 65, 178.80, P2
2020/06/14 16:28:14.459, 0, 0, 11176, 170, 11006, 35, 11.36, P8
2020/06/14 16:28:15.466, 99, 62, 11178, 10761, 417, 65, 265.02, P2
2020/06/14 16:28:15.468, 0, 0, 11176, 170, 11006, 35, 11.26, P8
2020/06/14 16:28:16.472, 99, 64, 11178, 10761, 417, 65, 271.31, P2
2020/06/14 16:28:16.475, 0, 0, 11176, 170, 11006, 35, 10.87, P8
2020/06/14 16:28:17.478, 97, 73, 11178, 10761, 417, 66, 282.01, P2
2020/06/14 16:28:17.480, 0, 0, 11176, 170, 11006, 35, 10.29, P8
2020/06/14 16:28:18.483, 96, 75, 11178, 10761, 417, 66, 257.35, P2
2020/06/14 16:28:18.488, 0, 0, 11176, 170, 11006, 35, 10.29, P8
2020/06/14 16:28:19.491, 97, 71, 11178, 10761, 417, 66, 256.97, P2
2020/06/14 16:28:19.495, 0, 0, 11176, 170, 11006, 35, 10.87, P8
2020/06/14 16:28:20.498, 100, 70, 11178, 10761, 417, 66, 267.23, P2
2020/06/14 16:28:20.501, 0, 0, 11176, 170, 11006, 35, 13.10, P8
2020/06/14 16:28:21.504, 100, 66, 11178, 10761, 417, 66, 272.66, P2
2020/06/14 16:28:21.506, 0, 0, 11176, 170, 11006, 35, 11.94, P8
2020/06/14 16:28:22.509, 99, 63, 11178, 10761, 417, 66, 177.51, P2
2020/06/14 16:28:22.512, 0, 0, 11176, 170, 11006, 35, 11.07, P8
2020/06/14 16:28:23.515, 99, 61, 11178, 10761, 417, 66, 273.33, P2
2020/06/14 16:28:23.517, 0, 0, 11176, 170, 11006, 35, 10.39, P8
2020/06/14 16:28:24.521, 99, 67, 11178, 10761, 417, 66, 287.89, P2
2020/06/14 16:28:24.523, 0, 0, 11176, 170, 11006, 35, 10.39, P8
2020/06/14 16:28:25.526, 96, 73, 11178, 10761, 417, 67, 285.75, P2
2020/06/14 16:28:25.528, 0, 0, 11176, 170, 11006, 35, 11.26, P8
2020/06/14 16:28:26.532, 97, 77, 11178, 10761, 417, 67, 270.27, P2
2020/06/14 16:28:26.534, 0, 0, 11176, 170, 11006, 35, 11.45, P8
2020/06/14 16:28:27.538, 96, 72, 11178, 10761, 417, 67, 260.05, P2
2020/06/14 16:28:27.540, 0, 0, 11176, 170, 11006, 35, 11.36, P8
2020/06/14 16:28:28.543, 100, 69, 11178, 10761, 417, 67, 260.61, P2
2020/06/14 16:28:28.545, 0, 0, 11176, 170, 11006, 35, 10.29, P8
2020/06/14 16:28:29.549, 100, 67, 11178, 10761, 417, 67, 271.00, P2
2020/06/14 16:28:29.555, 0, 0, 11176, 170, 11006, 35, 10.58, P8
2020/06/14 16:28:30.562, 99, 63, 11178, 10761, 417, 67, 153.25, P2
2020/06/14 16:28:30.564, 0, 0, 11176, 170, 11006, 35, 10.68, P8
2020/06/14 16:28:31.568, 99, 61, 11178, 10761, 417, 67, 267.06, P2
2020/06/14 16:28:31.570, 0, 0, 11176, 170, 11006, 35, 11.64, P8
2020/06/14 16:28:32.573, 100, 67, 11178, 10761, 417, 67, 268.22, P2
