timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/08/05 12:46:11.558, 2, 0, 11178, 1553, 9625, 62, 64.72, P2
2020/08/05 12:46:11.561, 0, 0, 11176, 29, 11147, 40, 11.27, P8
2020/08/05 12:46:12.565, 42, 15, 11178, 1553, 9625, 63, 114.81, P2
2020/08/05 12:46:12.567, 0, 0, 11176, 29, 11147, 40, 12.04, P8
2020/08/05 12:46:13.570, 42, 15, 11178, 1553, 9625, 64, 117.19, P2
2020/08/05 12:46:13.573, 0, 0, 11176, 29, 11147, 40, 11.75, P8
2020/08/05 12:46:14.576, 42, 15, 11178, 1553, 9625, 64, 117.13, P2
2020/08/05 12:46:14.581, 0, 0, 11176, 29, 11147, 40, 13.98, P8
2020/08/05 12:46:15.585, 42, 15, 11178, 1553, 9625, 64, 123.97, P2
2020/08/05 12:46:15.587, 0, 0, 11176, 29, 11147, 40, 11.84, P8
2020/08/05 12:46:16.590, 43, 15, 11178, 1553, 9625, 64, 127.26, P2
2020/08/05 12:46:16.592, 0, 0, 11176, 29, 11147, 40, 11.55, P8
2020/08/05 12:46:17.596, 43, 15, 11178, 1553, 9625, 64, 122.32, P2
2020/08/05 12:46:17.599, 0, 0, 11176, 29, 11147, 40, 12.14, P8
2020/08/05 12:46:18.603, 42, 15, 11178, 1553, 9625, 64, 120.10, P2
2020/08/05 12:46:18.608, 0, 0, 11176, 29, 11147, 40, 12.23, P8
2020/08/05 12:46:19.612, 42, 15, 11178, 1553, 9625, 64, 120.67, P2
2020/08/05 12:46:19.614, 0, 0, 11176, 29, 11147, 40, 11.94, P8
2020/08/05 12:46:20.618, 42, 15, 11178, 1553, 9625, 64, 117.67, P2
2020/08/05 12:46:20.620, 0, 0, 11176, 29, 11147, 40, 11.27, P8
2020/08/05 12:46:21.623, 42, 15, 11178, 1553, 9625, 64, 128.62, P2
2020/08/05 12:46:21.626, 0, 0, 11176, 29, 11147, 40, 10.78, P8
2020/08/05 12:46:22.629, 43, 15, 11178, 1553, 9625, 64, 117.77, P2
2020/08/05 12:46:22.636, 0, 0, 11176, 29, 11147, 40, 10.98, P8
2020/08/05 12:46:23.639, 42, 15, 11178, 1553, 9625, 64, 127.36, P2
2020/08/05 12:46:23.641, 0, 0, 11176, 29, 11147, 40, 11.55, P8
2020/08/05 12:46:24.644, 42, 15, 11178, 1553, 9625, 64, 119.16, P2
2020/08/05 12:46:24.646, 0, 0, 11176, 29, 11147, 40, 11.85, P8
2020/08/05 12:46:25.650, 42, 15, 11178, 1553, 9625, 64, 123.78, P2
2020/08/05 12:46:25.652, 0, 0, 11176, 29, 11147, 40, 11.26, P8
2020/08/05 12:46:26.655, 43, 15, 11178, 1553, 9625, 64, 119.12, P2
2020/08/05 12:46:26.662, 0, 0, 11176, 29, 11147, 40, 10.69, P8
