timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/08/05 12:34:04.849, 0, 0, 11178, 1553, 9625, 46, 58.72, P2
2020/08/05 12:34:04.871, 0, 0, 11176, 29, 11147, 35, 11.26, P8
2020/08/05 12:34:05.890, 44, 15, 11178, 1553, 9625, 48, 121.61, P2
2020/08/05 12:34:05.892, 0, 0, 11176, 29, 11147, 35, 10.68, P8
2020/08/05 12:34:06.895, 44, 15, 11178, 1553, 9625, 49, 120.00, P2
2020/08/05 12:34:06.897, 0, 0, 11176, 29, 11147, 35, 10.19, P8
2020/08/05 12:34:07.901, 45, 15, 11178, 1553, 9625, 49, 119.88, P2
2020/08/05 12:34:07.905, 0, 0, 11176, 29, 11147, 35, 10.87, P8
2020/08/05 12:34:08.909, 44, 15, 11178, 1553, 9625, 49, 128.35, P2
2020/08/05 12:34:08.911, 0, 0, 11176, 29, 11147, 35, 11.46, P8
2020/08/05 12:34:09.914, 44, 15, 11178, 1553, 9625, 50, 134.79, P2
2020/08/05 12:34:09.916, 0, 0, 11176, 29, 11147, 35, 11.65, P8
2020/08/05 12:34:10.920, 44, 15, 11178, 1553, 9625, 50, 119.81, P2
2020/08/05 12:34:10.922, 0, 0, 11176, 29, 11147, 35, 11.16, P8
2020/08/05 12:34:11.925, 45, 15, 11178, 1553, 9625, 50, 132.12, P2
2020/08/05 12:34:11.927, 0, 0, 11176, 29, 11147, 35, 10.58, P8
2020/08/05 12:34:12.931, 45, 15, 11178, 1553, 9625, 50, 124.65, P2
2020/08/05 12:34:12.936, 0, 0, 11176, 29, 11147, 35, 10.29, P8
2020/08/05 12:34:13.939, 44, 15, 11178, 1553, 9625, 51, 145.32, P2
2020/08/05 12:34:13.941, 0, 0, 11176, 29, 11147, 35, 10.68, P8
2020/08/05 12:34:14.945, 46, 15, 11178, 1553, 9625, 51, 134.54, P2
2020/08/05 12:34:14.947, 0, 0, 11176, 29, 11147, 35, 11.26, P8
2020/08/05 12:34:15.950, 46, 15, 11178, 1553, 9625, 51, 126.36, P2
2020/08/05 12:34:15.952, 0, 0, 11176, 29, 11147, 35, 11.26, P8
2020/08/05 12:34:16.956, 44, 15, 11178, 1553, 9625, 52, 122.52, P2
2020/08/05 12:34:16.962, 0, 0, 11176, 29, 11147, 35, 10.58, P8
2020/08/05 12:34:17.965, 45, 16, 11178, 1553, 9625, 52, 128.78, P2
2020/08/05 12:34:17.967, 0, 0, 11176, 29, 11147, 35, 10.10, P8
2020/08/05 12:34:18.971, 45, 15, 11178, 1553, 9625, 52, 137.83, P2
