timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/08/05 12:40:08.643, 0, 0, 11178, 1553, 9625, 61, 65.50, P2
2020/08/05 12:40:08.648, 0, 0, 11176, 29, 11147, 37, 11.46, P8
2020/08/05 12:40:09.651, 45, 15, 11178, 1553, 9625, 62, 132.68, P2
2020/08/05 12:40:09.653, 0, 0, 11176, 29, 11147, 37, 11.26, P8
2020/08/05 12:40:10.657, 45, 15, 11178, 1553, 9625, 63, 126.78, P2
2020/08/05 12:40:10.659, 0, 0, 11176, 29, 11147, 37, 10.49, P8
2020/08/05 12:40:11.662, 46, 15, 11178, 1553, 9625, 63, 136.67, P2
2020/08/05 12:40:11.664, 0, 0, 11176, 29, 11147, 37, 10.29, P8
2020/08/05 12:40:12.668, 44, 15, 11178, 1553, 9625, 63, 126.88, P2
2020/08/05 12:40:12.674, 0, 0, 11176, 29, 11147, 37, 10.78, P8
2020/08/05 12:40:13.678, 45, 15, 11178, 1553, 9625, 63, 138.93, P2
2020/08/05 12:40:13.680, 0, 0, 11176, 29, 11147, 37, 11.36, P8
2020/08/05 12:40:14.683, 46, 15, 11178, 1553, 9625, 63, 133.80, P2
2020/08/05 12:40:14.685, 0, 0, 11176, 29, 11147, 37, 11.55, P8
2020/08/05 12:40:15.689, 44, 15, 11178, 1553, 9625, 63, 120.10, P2
2020/08/05 12:40:15.691, 0, 0, 11176, 29, 11147, 37, 11.07, P8
2020/08/05 12:40:16.694, 44, 15, 11178, 1553, 9625, 63, 126.29, P2
2020/08/05 12:40:16.701, 0, 0, 11176, 29, 11147, 37, 10.29, P8
2020/08/05 12:40:17.704, 45, 15, 11178, 1553, 9625, 63, 127.36, P2
2020/08/05 12:40:17.706, 0, 0, 11176, 29, 11147, 37, 10.29, P8
2020/08/05 12:40:18.709, 46, 15, 11178, 1553, 9625, 63, 133.46, P2
2020/08/05 12:40:18.712, 0, 0, 11176, 29, 11147, 37, 11.16, P8
2020/08/05 12:40:19.715, 45, 15, 11178, 1553, 9625, 63, 140.21, P2
2020/08/05 12:40:19.718, 0, 0, 11176, 29, 11147, 37, 11.65, P8
2020/08/05 12:40:20.721, 45, 15, 11178, 1553, 9625, 63, 127.05, P2
2020/08/05 12:40:20.728, 0, 0, 11176, 29, 11147, 37, 11.46, P8
2020/08/05 12:40:21.731, 45, 15, 11178, 1553, 9625, 63, 138.45, P2
2020/08/05 12:40:21.733, 0, 0, 11176, 29, 11147, 37, 10.68, P8
2020/08/05 12:40:22.736, 46, 15, 11178, 1553, 9625, 63, 137.63, P2
2020/08/05 12:40:22.739, 0, 0, 11176, 29, 11147, 37, 10.68, P8
2020/08/05 12:40:23.742, 46, 15, 11178, 1553, 9625, 63, 138.04, P2
2020/08/05 12:40:23.744, 0, 0, 11176, 29, 11147, 37, 10.68, P8
2020/08/05 12:40:24.747, 45, 15, 11178, 1553, 9625, 63, 135.56, P2
2020/08/05 12:40:24.754, 0, 0, 11176, 29, 11147, 37, 11.36, P8
2020/08/05 12:40:25.758, 45, 15, 11178, 1553, 9625, 63, 126.10, P2
2020/08/05 12:40:25.760, 0, 0, 11176, 29, 11147, 37, 11.46, P8
2020/08/05 12:40:26.763, 45, 15, 11178, 1553, 9625, 63, 124.94, P2
2020/08/05 12:40:26.765, 0, 0, 11176, 29, 11147, 37, 11.46, P8
2020/08/05 12:40:27.769, 45, 15, 11178, 1553, 9625, 63, 134.96, P2
2020/08/05 12:40:27.771, 0, 0, 11176, 29, 11147, 37, 10.58, P8
2020/08/05 12:40:28.774, 45, 15, 11178, 1553, 9625, 63, 133.28, P2
2020/08/05 12:40:28.781, 0, 0, 11176, 29, 11147, 37, 10.39, P8
2020/08/05 12:40:29.784, 45, 15, 11178, 1553, 9625, 63, 137.67, P2
2020/08/05 12:40:29.786, 0, 0, 11176, 29, 11147, 37, 10.78, P8
2020/08/05 12:40:30.789, 45, 15, 11178, 1553, 9625, 63, 130.04, P2
2020/08/05 12:40:30.791, 0, 0, 11176, 29, 11147, 37, 11.46, P8
2020/08/05 12:40:31.795, 45, 15, 11178, 1553, 9625, 63, 149.04, P2
2020/08/05 12:40:31.797, 0, 0, 11176, 29, 11147, 37, 11.46, P8
2020/08/05 12:40:32.800, 46, 16, 11178, 1553, 9625, 63, 137.28, P2
2020/08/05 12:40:32.807, 0, 0, 11176, 29, 11147, 37, 11.26, P8
2020/08/05 12:40:33.811, 44, 15, 11178, 1553, 9625, 63, 122.41, P2
2020/08/05 12:40:33.813, 0, 0, 11176, 29, 11147, 37, 10.29, P8
2020/08/05 12:40:34.816, 45, 15, 11178, 1553, 9625, 63, 138.56, P2
2020/08/05 12:40:34.818, 0, 0, 11176, 29, 11147, 37, 10.78, P8
2020/08/05 12:40:35.822, 46, 15, 11178, 1553, 9625, 63, 135.83, P2
2020/08/05 12:40:35.824, 0, 0, 11176, 29, 11147, 37, 11.36, P8
2020/08/05 12:40:36.828, 45, 15, 11178, 1553, 9625, 63, 133.80, P2
