timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/07/23 00:15:15.695, 0, 0, 11178, 2, 11176, 35, 10.29, P8
2020/07/23 00:15:15.699, 0, 0, 11176, 18, 11158, 34, 10.68, P8
2020/07/23 00:15:16.703, 0, 0, 11178, 2, 11176, 35, 10.68, P8
2020/07/23 00:15:16.706, 0, 0, 11176, 18, 11158, 34, 11.17, P8
2020/07/23 00:15:17.709, 0, 0, 11178, 2, 11176, 35, 10.48, P8
2020/07/23 00:15:17.713, 0, 0, 11176, 18, 11158, 34, 11.17, P8
2020/07/23 00:15:18.716, 0, 0, 11178, 12, 11166, 35, 9.90, P8
2020/07/23 00:15:18.719, 0, 0, 11176, 29, 11147, 34, 10.68, P8
2020/07/23 00:15:19.723, 0, 0, 11178, 12, 11166, 35, 10.00, P8
2020/07/23 00:15:19.726, 0, 0, 11176, 29, 11147, 34, 10.20, P8
2020/07/23 00:15:20.729, 0, 0, 11178, 12, 11166, 35, 10.09, P8
2020/07/23 00:15:20.733, 0, 0, 11176, 29, 11147, 34, 10.10, P8
2020/07/23 00:15:21.736, 0, 0, 11178, 12, 11166, 35, 10.68, P8
2020/07/23 00:15:21.739, 0, 0, 11176, 29, 11147, 34, 10.68, P8
2020/07/23 00:15:22.743, 0, 0, 11178, 12, 11166, 35, 10.87, P8
2020/07/23 00:15:22.746, 0, 0, 11176, 29, 11147, 34, 11.36, P8
2020/07/23 00:15:23.750, 0, 0, 11178, 12, 11166, 35, 10.39, P8
2020/07/23 00:15:23.753, 0, 0, 11176, 29, 11147, 34, 11.46, P8
2020/07/23 00:15:24.757, 0, 0, 11178, 12, 11166, 35, 9.80, P8
2020/07/23 00:15:24.760, 0, 0, 11176, 29, 11147, 34, 10.78, P8
2020/07/23 00:15:25.764, 0, 0, 11178, 12, 11166, 35, 9.61, P8
2020/07/23 00:15:25.768, 0, 0, 11176, 29, 11147, 34, 10.10, P8
2020/07/23 00:15:26.771, 0, 0, 11178, 12, 11166, 35, 10.09, P8
2020/07/23 00:15:26.774, 0, 0, 11176, 29, 11147, 34, 10.29, P8
2020/07/23 00:15:27.778, 0, 0, 11178, 12, 11166, 35, 10.87, P8
2020/07/23 00:15:27.781, 0, 0, 11176, 29, 11147, 34, 11.17, P8
2020/07/23 00:15:28.785, 0, 0, 11178, 12, 11166, 35, 10.68, P8
2020/07/23 00:15:28.788, 0, 0, 11176, 29, 11147, 34, 11.56, P8
2020/07/23 00:15:29.791, 3, 0, 11178, 393, 10785, 36, 58.60, P2
2020/07/23 00:15:29.793, 0, 0, 11176, 29, 11147, 35, 11.26, P8
2020/07/23 00:15:30.798, 0, 0, 11178, 1033, 10145, 36, 58.11, P2
2020/07/23 00:15:30.800, 6, 0, 11176, 240, 10936, 35, 59.30, P2
2020/07/23 00:15:31.808, 0, 0, 11178, 1033, 10145, 36, 58.21, P2
2020/07/23 00:15:31.814, 4, 0, 11176, 572, 10604, 35, 59.10, P2
2020/07/23 00:15:32.816, 98, 44, 11178, 5921, 5257, 40, 125.14, P2
2020/07/23 00:15:32.826, 100, 45, 11176, 4570, 6606, 39, 81.93, P2
2020/07/23 00:15:33.831, 94, 34, 11178, 5921, 5257, 41, 242.69, P2
2020/07/23 00:15:33.836, 74, 18, 11176, 4570, 6606, 40, 247.35, P2
2020/07/23 00:15:34.843, 99, 45, 11178, 5921, 5257, 42, 121.20, P2
2020/07/23 00:15:34.845, 100, 44, 11176, 4570, 6606, 41, 107.44, P2
2020/07/23 00:15:35.850, 97, 35, 11178, 5921, 5257, 42, 283.48, P2
2020/07/23 00:15:35.853, 89, 29, 11176, 4570, 6606, 40, 278.76, P2
2020/07/23 00:15:36.855, 99, 46, 11178, 5921, 5257, 43, 268.57, P2
2020/07/23 00:15:36.864, 97, 34, 11176, 4570, 6606, 41, 243.77, P2
2020/07/23 00:15:37.870, 94, 41, 11178, 5921, 5257, 42, 292.32, P2
2020/07/23 00:15:37.877, 99, 40, 11176, 4570, 6606, 41, 287.19, P2
2020/07/23 00:15:38.884, 99, 40, 11178, 5921, 5257, 44, 257.38, P2
2020/07/23 00:15:38.894, 99, 45, 11176, 4570, 6606, 42, 246.39, P2
2020/07/23 00:15:39.911, 98, 36, 11178, 5921, 5257, 43, 274.07, P2
2020/07/23 00:15:39.914, 77, 15, 11176, 4570, 6606, 41, 272.96, P2
2020/07/23 00:15:40.916, 99, 42, 11178, 5921, 5257, 44, 246.50, P2
2020/07/23 00:15:40.920, 100, 46, 11176, 4570, 6606, 43, 257.48, P2
2020/07/23 00:15:41.924, 99, 44, 11178, 5921, 5257, 44, 96.72, P2
2020/07/23 00:15:41.927, 76, 20, 11176, 4570, 6606, 42, 82.91, P2
2020/07/23 00:15:42.929, 93, 37, 11178, 5921, 5257, 45, 230.83, P2
2020/07/23 00:15:42.931, 100, 43, 11176, 4570, 6606, 44, 245.83, P2
2020/07/23 00:15:43.934, 99, 45, 11178, 5921, 5257, 45, 134.82, P2
2020/07/23 00:15:43.941, 98, 33, 11176, 4570, 6606, 44, 81.73, P2
2020/07/23 00:15:44.944, 97, 34, 11178, 5921, 5257, 46, 241.63, P2
2020/07/23 00:15:44.955, 86, 29, 11176, 4570, 6606, 44, 244.16, P2
2020/07/23 00:15:45.967, 99, 45, 11178, 5921, 5257, 47, 120.26, P2
2020/07/23 00:15:45.969, 99, 44, 11176, 4570, 6606, 45, 115.36, P2
2020/07/23 00:15:46.971, 96, 41, 11178, 5921, 5257, 47, 282.31, P2
2020/07/23 00:15:46.987, 78, 17, 11176, 4570, 6606, 45, 265.42, P2
2020/07/23 00:15:48.002, 99, 42, 11178, 5921, 5257, 48, 166.84, P2
