timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/07/23 23:25:29.716, 78, 31, 11178, 9159, 2019, 83, 298.05, P2
2020/07/23 23:25:29.719, 90, 31, 11176, 7846, 3330, 91, 274.17, P2
2020/07/23 23:25:30.769, 19, 2, 11178, 2, 11176, 81, 101.08, P0
2020/07/23 23:25:30.775, 100, 10, 11176, 18, 11158, 89, 92.46, P0
2020/07/23 23:25:31.798, 0, 0, 11178, 12, 11166, 80, 93.45, P0
2020/07/23 23:25:31.800, 0, 0, 11176, 29, 11147, 89, 83.18, P0
2020/07/23 23:25:32.802, 0, 0, 11178, 12, 11166, 79, 92.38, P0
2020/07/23 23:25:32.804, 0, 0, 11176, 29, 11147, 88, 82.21, P0
2020/07/23 23:25:33.806, 0, 0, 11178, 12, 11166, 78, 68.85, P0
2020/07/23 23:25:33.808, 0, 0, 11176, 29, 11147, 88, 81.51, P0
2020/07/23 23:25:34.810, 0, 0, 11178, 12, 11166, 77, 68.96, P0
2020/07/23 23:25:34.813, 0, 0, 11176, 29, 11147, 88, 76.39, P0
2020/07/23 23:25:35.815, 0, 0, 11178, 12, 11166, 77, 69.45, P0
2020/07/23 23:25:35.817, 0, 0, 11176, 29, 11147, 87, 76.97, P0
2020/07/23 23:25:36.819, 0, 0, 11178, 12, 11166, 77, 63.26, P2
2020/07/23 23:25:36.821, 0, 0, 11176, 29, 11147, 87, 71.65, P2
2020/07/23 23:25:37.823, 0, 0, 11178, 12, 11166, 76, 62.58, P2
2020/07/23 23:25:37.832, 0, 0, 11176, 29, 11147, 87, 70.49, P2
2020/07/23 23:25:38.866, 0, 0, 11178, 12, 11166, 76, 23.19, P5
2020/07/23 23:25:38.870, 0, 0, 11176, 29, 11147, 87, 69.74, P2
2020/07/23 23:25:39.908, 0, 0, 11178, 12, 11166, 75, 21.36, P5
2020/07/23 23:25:39.912, 0, 0, 11176, 29, 11147, 86, 26.61, P5
2020/07/23 23:25:40.915, 0, 0, 11178, 12, 11166, 75, 21.65, P5
2020/07/23 23:25:40.918, 0, 0, 11176, 29, 11147, 86, 26.61, P5
2020/07/23 23:25:41.921, 0, 0, 11178, 12, 11166, 74, 17.86, P8
2020/07/23 23:25:41.924, 0, 0, 11176, 29, 11147, 86, 27.09, P5
2020/07/23 23:25:42.928, 4, 0, 11178, 321, 10857, 74, 69.39, P2
2020/07/23 23:25:42.931, 0, 0, 11176, 29, 11147, 85, 23.31, P8
2020/07/23 23:25:43.934, 10, 0, 11178, 1033, 10145, 74, 68.78, P2
2020/07/23 23:25:43.936, 2, 0, 11176, 202, 10974, 85, 77.38, P2
2020/07/23 23:25:44.948, 0, 0, 11178, 1033, 10145, 74, 68.30, P2
2020/07/23 23:25:44.954, 6, 0, 11176, 556, 10620, 85, 77.28, P2
2020/07/23 23:25:45.956, 76, 27, 11178, 9159, 2019, 78, 274.13, P2
2020/07/23 23:25:45.971, 76, 25, 11176, 7846, 3330, 87, 293.19, P2
2020/07/23 23:25:46.994, 98, 47, 11178, 9159, 2019, 79, 272.52, P2
2020/07/23 23:25:46.996, 100, 44, 11176, 7846, 3330, 88, 217.37, P2
2020/07/23 23:25:48.009, 77, 36, 11178, 9159, 2019, 78, 117.33, P2
2020/07/23 23:25:48.011, 100, 41, 11176, 7846, 3330, 87, 206.07, P2
2020/07/23 23:25:49.033, 100, 47, 11178, 9159, 2019, 79, 236.93, P2
2020/07/23 23:25:49.053, 100, 45, 11176, 7846, 3330, 88, 268.50, P2
2020/07/23 23:25:50.079, 93, 38, 11178, 9159, 2019, 79, 109.48, P2
2020/07/23 23:25:50.086, 86, 30, 11176, 7846, 3330, 88, 192.87, P2
2020/07/23 23:25:51.108, 99, 47, 11178, 9159, 2019, 80, 250.12, P2
2020/07/23 23:25:51.111, 100, 47, 11176, 7846, 3330, 89, 259.06, P2
2020/07/23 23:25:52.124, 82, 33, 11178, 9159, 2019, 80, 113.82, P2
2020/07/23 23:25:52.131, 100, 42, 11176, 7846, 3330, 88, 95.17, P2
2020/07/23 23:25:53.134, 99, 46, 11178, 9159, 2019, 80, 236.62, P2
2020/07/23 23:25:53.139, 100, 46, 11176, 7846, 3330, 89, 241.10, P2
2020/07/23 23:25:54.144, 100, 46, 11178, 9159, 2019, 81, 267.34, P2
2020/07/23 23:25:54.149, 100, 42, 11176, 7846, 3330, 89, 235.15, P2
2020/07/23 23:25:55.151, 100, 47, 11178, 9159, 2019, 80, 269.81, P2
2020/07/23 23:25:55.159, 90, 31, 11176, 7846, 3330, 89, 220.48, P2
2020/07/23 23:25:56.211, 100, 46, 11178, 9159, 2019, 81, 271.95, P2
2020/07/23 23:25:56.213, 100, 45, 11176, 7846, 3330, 89, 253.93, P2
2020/07/23 23:25:57.220, 97, 44, 11178, 9159, 2019, 80, 274.83, P2
2020/07/23 23:25:57.235, 78, 16, 11176, 7846, 3330, 90, 258.43, P2
2020/07/23 23:25:58.254, 100, 45, 11178, 9159, 2019, 81, 268.25, P2
2020/07/23 23:25:58.262, 100, 46, 11176, 7846, 3330, 90, 274.41, P2
2020/07/23 23:25:59.272, 85, 30, 11178, 9159, 2019, 80, 277.56, P2
2020/07/23 23:25:59.279, 77, 21, 11176, 7846, 3330, 90, 285.79, P2
2020/07/23 23:26:00.312, 99, 46, 11178, 9159, 2019, 81, 270.04, P2
2020/07/23 23:26:00.314, 100, 45, 11176, 7846, 3330, 90, 243.51, P2
2020/07/23 23:26:01.317, 85, 35, 11178, 9159, 2019, 80, 301.61, P2
2020/07/23 23:26:01.323, 99, 40, 11176, 7846, 3330, 89, 303.79, P2
2020/07/23 23:26:02.330, 98, 49, 11178, 9159, 2019, 81, 270.11, P2
2020/07/23 23:26:02.334, 100, 44, 11176, 7846, 3330, 89, 204.45, P2
2020/07/23 23:26:03.348, 96, 42, 11178, 9159, 2019, 81, 113.26, P2
2020/07/23 23:26:03.354, 100, 44, 11176, 7846, 3330, 90, 102.33, P2
2020/07/23 23:26:04.356, 100, 48, 11178, 9159, 2019, 81, 239.73, P2
2020/07/23 23:26:04.360, 97, 35, 11176, 7846, 3330, 90, 236.64, P2
2020/07/23 23:26:05.368, 100, 46, 11178, 9159, 2019, 82, 115.11, P2
2020/07/23 23:26:05.370, 100, 45, 11176, 7846, 3330, 91, 119.36, P2
2020/07/23 23:26:06.378, 99, 40, 11178, 9159, 2019, 82, 220.74, P2
2020/07/23 23:26:06.383, 78, 20, 11176, 7846, 3330, 90, 238.90, P2
2020/07/23 23:26:07.396, 100, 45, 11178, 9159, 2019, 82, 272.33, P2
2020/07/23 23:26:07.406, 100, 45, 11176, 7846, 3330, 91, 265.64, P2
2020/07/23 23:26:08.433, 44, 17, 11178, 9159, 2019, 81, 280.80, P2
2020/07/23 23:26:08.459, 78, 21, 11176, 7846, 3330, 89, 218.15, P2
2020/07/23 23:26:09.509, 91, 42, 11178, 9159, 2019, 82, 272.42, P2
2020/07/23 23:26:09.516, 100, 43, 11176, 7846, 3330, 89, 194.50, P2
2020/07/23 23:26:10.558, 82, 30, 11178, 9159, 2019, 81, 111.93, P2
2020/07/23 23:26:10.561, 99, 42, 11176, 7846, 3330, 89, 93.92, P2
2020/07/23 23:26:11.566, 97, 46, 11178, 9159, 2019, 82, 236.81, P2
2020/07/23 23:26:11.568, 100, 44, 11176, 7846, 3330, 90, 214.79, P2
2020/07/23 23:26:12.597, 100, 46, 11178, 9159, 2019, 82, 107.93, P2
2020/07/23 23:26:12.599, 100, 44, 11176, 7846, 3330, 91, 123.11, P2
2020/07/23 23:26:13.601, 77, 25, 11178, 9159, 2019, 81, 284.73, P2
2020/07/23 23:26:13.611, 76, 16, 11176, 7846, 3330, 89, 212.15, P2
2020/07/23 23:26:14.644, 93, 46, 11178, 9159, 2019, 82, 276.95, P2
2020/07/23 23:26:14.646, 100, 42, 11176, 7846, 3330, 90, 183.83, P2
2020/07/23 23:26:15.687, 100, 46, 11178, 9159, 2019, 81, 144.03, P2
2020/07/23 23:26:15.691, 100, 42, 11176, 7846, 3330, 90, 89.23, P2
2020/07/23 23:26:16.707, 97, 40, 11178, 9159, 2019, 82, 232.41, P2
2020/07/23 23:26:16.711, 81, 26, 11176, 7846, 3330, 90, 199.83, P2
2020/07/23 23:26:17.722, 100, 46, 11178, 9159, 2019, 83, 273.20, P2
2020/07/23 23:26:17.724, 100, 45, 11176, 7846, 3330, 91, 265.93, P2
2020/07/23 23:26:18.733, 91, 33, 11178, 9159, 2019, 82, 272.22, P2
2020/07/23 23:26:18.735, 77, 14, 11176, 7846, 3330, 90, 277.08, P2
2020/07/23 23:26:19.749, 96, 46, 11178, 9159, 2019, 83, 272.72, P2
2020/07/23 23:26:19.758, 100, 44, 11176, 7846, 3330, 91, 244.19, P2
2020/07/23 23:26:20.790, 97, 44, 11178, 9159, 2019, 82, 275.98, P2
2020/07/23 23:26:20.820, 78, 26, 11176, 7846, 3330, 91, 256.24, P2
2020/07/23 23:26:21.842, 100, 47, 11178, 9159, 2019, 83, 266.94, P2
