timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], pstate
2020/07/24 17:53:41.623, 0, 0, 11178, 2, 11176, 36, 9.81, P8
2020/07/24 17:53:41.627, 0, 0, 11176, 18, 11158, 35, 10.39, P8
2020/07/24 17:53:42.631, 0, 0, 11178, 2, 11176, 36, 10.10, P8
2020/07/24 17:53:42.634, 0, 0, 11176, 18, 11158, 35, 10.20, P8
2020/07/24 17:53:43.638, 0, 0, 11178, 2, 11176, 36, 10.68, P8
2020/07/24 17:53:43.641, 0, 0, 11176, 18, 11158, 35, 10.88, P8
2020/07/24 17:53:44.645, 0, 0, 11178, 12, 11166, 36, 10.77, P8
2020/07/24 17:53:44.648, 0, 0, 11176, 29, 11147, 35, 11.26, P8
2020/07/24 17:53:45.652, 0, 0, 11178, 12, 11166, 36, 10.29, P8
2020/07/24 17:53:45.655, 0, 0, 11176, 29, 11147, 35, 11.27, P8
2020/07/24 17:53:46.658, 0, 0, 11178, 12, 11166, 36, 9.51, P8
2020/07/24 17:53:46.662, 0, 0, 11176, 29, 11147, 35, 10.78, P8
2020/07/24 17:53:47.665, 0, 0, 11178, 12, 11166, 36, 10.09, P8
2020/07/24 17:53:47.669, 0, 0, 11176, 29, 11147, 35, 10.30, P8
2020/07/24 17:53:48.672, 0, 0, 11178, 12, 11166, 36, 10.68, P8
2020/07/24 17:53:48.676, 0, 0, 11176, 29, 11147, 35, 10.30, P8
2020/07/24 17:53:49.679, 0, 0, 11178, 12, 11166, 36, 11.06, P8
2020/07/24 17:53:49.683, 0, 0, 11176, 29, 11147, 35, 11.07, P8
2020/07/24 17:53:50.686, 1, 0, 11178, 147, 11031, 37, 59.08, P2
2020/07/24 17:53:50.688, 0, 0, 11176, 164, 11012, 36, 60.26, P2
2020/07/24 17:53:51.690, 0, 0, 11178, 147, 11031, 37, 58.69, P2
2020/07/24 17:53:51.693, 0, 0, 11176, 164, 11012, 36, 60.27, P2
2020/07/24 17:53:52.695, 0, 0, 11178, 147, 11031, 37, 58.28, P2
2020/07/24 17:53:52.700, 0, 0, 11176, 164, 11012, 37, 59.56, P2
2020/07/24 17:53:53.702, 0, 0, 11178, 147, 11031, 38, 58.40, P2
2020/07/24 17:53:53.705, 0, 0, 11176, 164, 11012, 37, 59.30, P2
2020/07/24 17:53:54.712, 0, 0, 11178, 147, 11031, 38, 58.98, P2
2020/07/24 17:53:54.714, 0, 0, 11176, 164, 11012, 37, 59.58, P2
2020/07/24 17:53:55.716, 0, 0, 11178, 147, 11031, 38, 59.47, P2
2020/07/24 17:53:55.718, 0, 0, 11176, 164, 11012, 37, 60.17, P2
2020/07/24 17:53:56.720, 0, 0, 11178, 147, 11031, 38, 59.08, P2
2020/07/24 17:53:56.728, 0, 0, 11176, 164, 11012, 37, 60.47, P2
2020/07/24 17:53:57.730, 0, 0, 11178, 147, 11031, 38, 58.59, P2
2020/07/24 17:53:57.732, 0, 0, 11176, 164, 11012, 37, 60.08, P2
2020/07/24 17:53:58.734, 0, 0, 11178, 147, 11031, 38, 58.40, P2
2020/07/24 17:53:58.737, 0, 0, 11176, 164, 11012, 37, 59.40, P2
2020/07/24 17:53:59.742, 0, 0, 11178, 147, 11031, 38, 58.69, P2
2020/07/24 17:53:59.744, 0, 0, 11176, 164, 11012, 37, 59.40, P2
2020/07/24 17:54:00.747, 0, 0, 11178, 147, 11031, 38, 59.27, P2
2020/07/24 17:54:00.749, 0, 0, 11176, 164, 11012, 37, 59.88, P2
2020/07/24 17:54:01.751, 0, 0, 11178, 147, 11031, 38, 59.45, P2
2020/07/24 17:54:01.758, 0, 0, 11176, 164, 11012, 37, 60.46, P2
2020/07/24 17:54:02.760, 0, 0, 11178, 147, 11031, 38, 58.95, P2
2020/07/24 17:54:02.762, 0, 0, 11176, 164, 11012, 37, 60.65, P2
2020/07/24 17:54:03.769, 0, 0, 11178, 147, 11031, 38, 58.39, P2
2020/07/24 17:54:03.771, 0, 0, 11176, 164, 11012, 38, 59.97, P2
2020/07/24 17:54:04.775, 0, 0, 11178, 147, 11031, 39, 58.37, P2
2020/07/24 17:54:04.778, 0, 0, 11176, 164, 11012, 38, 59.49, P2
2020/07/24 17:54:05.780, 0, 0, 11178, 147, 11031, 39, 59.05, P2
2020/07/24 17:54:05.787, 0, 0, 11176, 164, 11012, 38, 59.58, P2
2020/07/24 17:54:06.789, 0, 0, 11178, 147, 11031, 39, 59.45, P2
2020/07/24 17:54:06.793, 0, 0, 11176, 164, 11012, 38, 60.17, P2
2020/07/24 17:54:07.795, 0, 0, 11178, 147, 11031, 39, 54.33, P2
2020/07/24 17:54:07.799, 0, 0, 11176, 164, 11012, 38, 60.66, P2
2020/07/24 17:54:08.806, 0, 0, 11178, 147, 11031, 39, 53.75, P2
2020/07/24 17:54:08.808, 0, 0, 11176, 164, 11012, 38, 54.93, P2
2020/07/24 17:54:09.810, 0, 0, 11178, 147, 11031, 39, 53.37, P2
2020/07/24 17:54:09.812, 0, 0, 11176, 164, 11012, 38, 54.37, P2
2020/07/24 17:54:10.815, 0, 0, 11178, 147, 11031, 38, 14.46, P5
2020/07/24 17:54:10.819, 0, 0, 11176, 164, 11012, 38, 15.14, P5
2020/07/24 17:54:11.823, 0, 0, 11178, 147, 11031, 38, 14.84, P5
2020/07/24 17:54:11.826, 0, 0, 11176, 164, 11012, 37, 15.04, P5
2020/07/24 17:54:12.830, 0, 0, 11178, 147, 11031, 38, 15.52, P5
2020/07/24 17:54:12.834, 0, 0, 11176, 164, 11012, 37, 15.72, P5
2020/07/24 17:54:13.837, 0, 0, 11178, 147, 11031, 38, 10.77, P8
2020/07/24 17:54:13.841, 0, 0, 11176, 164, 11012, 37, 11.75, P8
2020/07/24 17:54:14.845, 0, 0, 11178, 147, 11031, 38, 10.09, P8
2020/07/24 17:54:14.850, 0, 0, 11176, 164, 11012, 37, 11.56, P8
2020/07/24 17:54:15.854, 0, 0, 11178, 147, 11031, 38, 9.90, P8
2020/07/24 17:54:15.858, 0, 0, 11176, 164, 11012, 37, 10.68, P8
2020/07/24 17:54:16.862, 0, 0, 11178, 147, 11031, 38, 10.09, P8
2020/07/24 17:54:16.866, 0, 0, 11176, 164, 11012, 37, 10.49, P8
2020/07/24 17:54:17.870, 0, 0, 11178, 147, 11031, 38, 10.77, P8
2020/07/24 17:54:17.874, 0, 0, 11176, 164, 11012, 37, 10.88, P8
2020/07/24 17:54:18.877, 0, 0, 11178, 147, 11031, 38, 11.16, P8
2020/07/24 17:54:18.881, 0, 0, 11176, 164, 11012, 37, 11.94, P8
2020/07/24 17:54:19.886, 0, 0, 11178, 147, 11031, 38, 10.19, P8
2020/07/24 17:54:19.890, 0, 0, 11176, 164, 11012, 37, 12.04, P8
2020/07/24 17:54:20.895, 0, 0, 11178, 147, 11031, 38, 9.71, P8
2020/07/24 17:54:20.899, 0, 0, 11176, 164, 11012, 37, 10.68, P8
2020/07/24 17:54:21.902, 0, 0, 11178, 147, 11031, 38, 10.00, P8
2020/07/24 17:54:21.906, 0, 0, 11176, 164, 11012, 37, 10.39, P8
2020/07/24 17:54:22.909, 0, 0, 11178, 147, 11031, 38, 10.29, P8
2020/07/24 17:54:22.913, 0, 0, 11176, 164, 11012, 37, 10.49, P8
2020/07/24 17:54:23.917, 0, 0, 11178, 147, 11031, 38, 11.06, P8
2020/07/24 17:54:23.921, 0, 0, 11176, 164, 11012, 37, 13.88, P8
2020/07/24 17:54:24.928, 0, 0, 11178, 147, 11031, 38, 10.77, P8
2020/07/24 17:54:24.933, 0, 0, 11176, 164, 11012, 37, 12.82, P8
2020/07/24 17:54:25.937, 0, 0, 11178, 147, 11031, 38, 10.97, P8
2020/07/24 17:54:25.941, 0, 0, 11176, 164, 11012, 37, 11.85, P8
2020/07/24 17:54:26.944, 0, 0, 11178, 147, 11031, 38, 10.00, P8
2020/07/24 17:54:26.947, 0, 0, 11176, 164, 11012, 37, 10.88, P8
2020/07/24 17:54:27.951, 0, 0, 11178, 147, 11031, 38, 10.09, P8
2020/07/24 17:54:27.956, 0, 0, 11176, 164, 11012, 37, 10.88, P8
2020/07/24 17:54:28.960, 0, 0, 11178, 147, 11031, 38, 10.68, P8
2020/07/24 17:54:28.963, 0, 0, 11176, 164, 11012, 37, 10.97, P8
2020/07/24 17:54:29.967, 0, 0, 11178, 147, 11031, 38, 10.87, P8
2020/07/24 17:54:29.972, 0, 0, 11176, 164, 11012, 37, 11.65, P8
2020/07/24 17:54:30.976, 0, 0, 11178, 147, 11031, 38, 10.48, P8
2020/07/24 17:54:30.980, 0, 0, 11176, 164, 11012, 37, 11.65, P8
2020/07/24 17:54:31.983, 0, 0, 11178, 147, 11031, 38, 9.90, P8
2020/07/24 17:54:31.986, 0, 0, 11176, 164, 11012, 37, 11.07, P8
2020/07/24 17:54:32.990, 0, 0, 11178, 147, 11031, 38, 9.80, P8
2020/07/24 17:54:32.994, 0, 0, 11176, 164, 11012, 37, 10.78, P8
2020/07/24 17:54:33.998, 0, 0, 11178, 147, 11031, 38, 10.09, P8
2020/07/24 17:54:34.001, 0, 0, 11176, 164, 11012, 37, 10.10, P8
2020/07/24 17:54:35.005, 0, 0, 11178, 147, 11031, 38, 11.06, P8
2020/07/24 17:54:35.011, 0, 0, 11176, 164, 11012, 37, 10.97, P8
